# USBR Lower Colorado Basin Annual reports: University of Arizona Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 29 39 39 74 53 89 78 4 79 67 32 34 617 
2004 26 36 47 28 67 69 69 116 115 54 81 27 735 
2005 43 52 48 45 72 75 76 66 60 0 0 0 537 
2006 58 32 28 56 66 83 0 0 0 0 0 0 323 
2007 38 62 28 69 81 73 86 72 67 1 32 27 638
2008 53 8 48 26 57 61 55 66 102 67 62 5 611 
2009 18 28 59 46 65 69 70 74 64 45 32 27 597 
2010 36 35 43 43 86 92 77 105 83 63 60 29 752 
2011 39 43 84 73 100 90 85 56 89 72 81 31 843 
2012 77 47 44 80 78 82 79 74 66 73 33 33 766 
2013 44 27 44 76 71 69 69 77 82 63 46 20 688 
2014 24 25 38 62 41 72 81 66 65 65 49 32 620 
2015 10 34 45 68 50 107 106 109 71 90 82 46 818 
2016 53 61 58 78 107 121 81 84 85 99 49 37 913 
2017 31 40 62 76 87 98 102 138 88 95 63 56 936 
2018 46 55 66 74 69 78 135 87 87 40 66 36 839 
2019 47 54 44 111 87 79 89 126 97 104 43 37 918 
2020 64 57 13 105 79 82 64 110 90 54 72 12 802 
2021 28 48 76 93 104 102 148 101 117 87 35 35 974 
