# USBR Lower Colorado Basin Annual reports: University of Arizona Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1983 29 27 61 89 86 116 121 88 84 56 51 29 839
1984 24 22 51 74 73 96 101 73 70 47 42 24 697
1985 50 52 66 18 81 46 75 98 81 48 40 0 655
1986 36 36 70 38 36 89 101 84 83 41 68 35 717
1987 36 68 40 56 52 128 135 111 110 64 43 52 895 
1988 38 58 76 50 102 113 118 146 69 113 42 59 984
1989 60 61 57 73 106 111 122 65 98 74 15 75 917
1990 21 33 82 43 87 78 67 111 90 98 71 32 813
1991 81 63 51 74 94 102 119 104 93 79 34 39 933
1992 66 47 39 59 63 132 107 107 99 99 76 38 932 
1993 30 38 52 85 56 44 69 56 47 92 53 40 662 
1994 52 38 84 76 88 99 82 109 41 80 50 38 837
1995 68 52 52 63 58 43 123 83 118 92 81 72 905 
1996 69 49 91 68 88 117 167 124 135 110 57 56 1131 
1997 61 86 98 93 99 119 173 100 113 96 94 68 1200 
1998 57 45 89 100 72 126 116 111 69 78 125 56 1044 
1999 78 85 67 91 102 91 120 118 90 92 81 75 1090
2000 80 49 47 40 123 106 185 99 41 88 54 38 950
2001 61 74 42 71 123 85 99 92 118 161 74 38 1038 
2002 90 46 46 106 11 96 96 83 77 45 32 27 755 
2003 29 39 39 74 53 89 78 4 79 67 32 34 617 
2004 26 36 47 28 67 69 69 116 115 54 81 27 735 
2005 43 52 48 45 72 75 76 66 60 0 0 0 537 
2006 58 32 28 56 66 83 0 0 0 0 0 0 323 
2007 38 62 28 69 81 73 88 72 67 1 32 27 638 
2008 53 8 49 26 57 61 55 66 102 87 62 5 611
2009 18 28 59 46 65 69 70 74 64 45 32 27 597 
2010 36 35 43 43 86 92 77 105 83 63 60 29 752 
2011 39 43 84 73 100 90 85 56 89 72 81 31 843 
2012 77 47 44 80 78 82 79 74 66 73 33 33 766 
2013 44 27 44 76 71 69 69 77 82 63 46 20 688 
2014 24 25 38 62 41 72 81 66 65 65 49 32 620 
2015 10 34 45 68 50 107 106 109 71 90 82 46 818 
2016 53 61 58 78 107 121 81 84 85 99 49 37 913 
2017 31 40 62 76 87 98 102 138 88 95 63 56 936 
2018 46 55 66 74 69 78 135 87 87 40 66 36 839
2019 47 54 44 111 87 79 89 126 97 104 43 37 918 
2020 64 57 13 105 79 82 64 110 90 54 72 12 802 
2021 28 48 76 93 104 102 148 101 117 87 35 35 974 
