# USBR Lower Colorado Basin Annual reports: Warren Act Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# This is just diversion data
1964 373 527 590 1006 999 886 1295 947 1040 707 384 306 9060
1964 198 228 237 475 415 516 374 3 100 412 162 168 3288
1964 80 81 88 46 59 112 96 0 0 0 121 114 797
1964 269 253 239 231 226 236 167 0 32 333 0 270 2256
1964 90 87 79 118 150 132 187 200 156 177 178 68 1622
1965 65 123 156 77 694 877 1078 1381 1100 273 48 29 5901
1966 58 128 194 472 1134 763 0 0 0 0 0 0 2749
1967
1968
1969
1970
1971 0 0 0 0 0 0 0 0 0 183 420 202 805
1972 0 0 93 69 0 0 0 12 106 141 60 224 705
1973 109 0 79 94 0 0 0 77 310 58 35 24 786
1974 0 0 0 0 0 0 0 0 287 203 122 184 796
1975 0 0 0 0 0 0 0 0 0 0 236 368 604
1976 0 0 0 0 0 0 0 22 32 0 0 583 587 # Bureau Report is wrong, diff = 50 expected =  587  got =  637
1977 0 0 0 0 182 439 118 0 0 0 0 0 739
1978 0 0 59 0 0 0 0 0 0 177 0 215 451
1979 0 0 88 61 106 43 74 55 170 224 0 0 821
1980 21 22 261 41 43 46 23 34 145 177 0 0 813
1981 108 25 162 43 40 32 6 0 82 28 41 117 684
1982 8 30 70 35 46 21 122 110 42 152 101 34 771
1983 106 33 381 32 113 12 80 0 174 419 346 129 1825
1984 337 340 541 409 529 418 399 406 469 636 180 184 4848
1985 268 163 646 585 496 343 302 535 367 255 222 255 4437
1986 642 737 932 604 483 736 783 785 325 163 642 92 6924
1987 161 465 451 535 539 301 490 617 491 619 171 203 5043
1988 116 432 483 350 453 625 584 576 655 393 451 400 5518
1989 169 218 363 493 442 548 805 338 428 379 228 388 4799

