# USBR Lower Colorado Basin Annual reports: Wellton Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 -1694 9813 25284 32707 39544 45191 46922 33130 37631 22762 2452 7525 301267
1965 1578 11477 28405 23476 47310 42176 42784 40026 40191 16797 5384 -13479 286125
1966 -12757 765 19771 38875 46975 42421 43056 42370 34365 15480 2283 2699 276303
1967 -2664 16407 28887 29606 43497 43014 37727 40248 16221 17021 958 -8072 262850
1968 -192 11582 25612 35338 37274 42537 35600 30645 28928 13048 640 -166 260846
1969 -4198 13469 25051 37898 38147 39297 40831 47774 33242 15012 -3515 387 283395
1970 4171 15132 20982 41210 41679 36325 42966 38803 33964 14742 -4841 1327 296142 # December 1971 revision needs to be applied, this one is a mess diff = -9682 expected =  296142  got =  286460
1971 3658 18209 27989 40764 41307 37681 50923 42548 41555 8765 3665 1809 318873
1972 -684 16947 31709 36165 44170 41449 47125 50427 30466 -5029 -1824 2597 293518
1973 3735 7227 12703 40550 41021 36097 52286 43997 35537 14448 3963 -1655 289909
1974 -983 19140 24342 43260 43454 50073 43280 51791 37753 16501 7715 3545 339871
1975 8733 15525 27370 44685 41559 34881 42553 47915 37587 20779 10904 617 333108
1976 5864 20770 35648 42571 27587 32618 39317 49256 24555 7162 -393 1220 286175
1977 -4000 17377 28289 30910 26187 34959 41605 28666 22069 7699 7343 -896 240208
1978 -10963 8273 20956 29691 32215 45458 47105 39525 30463 12407 5980 3139 264249
1979 -8645 4102 6100 15722 17173 26122 26105 19002 18527 5044 -540 -3524 125188
1980 -7710 7751 11563 15560 11788 19295 32269 28737 19599 4759 3958 902 148471
1981 -944 15626 23619 37211 28239 41948 48087 46853 30582 10212 6715 -50 288098
1982 3075 15878 17825 31060 31403 37196 42517 35724 26170 9655 2230 -1816 250917
1983 5646 7337 18943 25620 29805 37824 33224 17559 23967 10436 8051 3987 222399
1984 4498 23926 29826 32382 34840 37543 30241 27920 34576 14304 12422 -1697 280781
1985 2808 11556 22159 36158 28575 37541 41978 45343 28291 10014 7600 2621 274644
1986 11169 17432 31372 40968 35217 40204 35392 41394 32703 11486 10264 2335 309936
1987 6534 18910 24504 30354 35083 38673 41273 38615 38833 21299 17293 8621 319992 
1988 8463 24766 30426 29710 39217 41955 44214 32402 36128 15238 10886 8713 322118
1989 1233 16490 37722 41787 35440 39307 38372 30380 38349 20173 14977 7978 322208
1990 214 14064 27227 32462 43026 45180 43272 32383 36125 19084 14684 7916 315637
1991 599 19054 10424 28922 38315 43019 41129 39325 37022 21066 20099 1065 300039
1992 -2609 11911 12309 32337 28205 35296 39670 24378 30680 19037 24323 3655 259192
1993 -9479 4854 12690 23668 17421 23456 25242 18980 22802 13846 9900 6247 169627
1994 5355 12267 20248 30026 20391 35898 38158 31580 23879 20475 11238 2736 252251 
1995 -5408 15541 22670 24151 27168 36561 34222 29745 29039 17033 12339 4348 247409 
1996 9270 9120 11819 17312 24829 24977 28267 24299 19173 18031 10048 6642 203787
1997 9286 18166 26167 30852 42138 40992 44719 34526 22758 21844 14766 6300 312514
1998 6798 3673 25608 39441 32493 38469 42212 30561 29566 20279 14074 7181 290355
1999 6606 12749 24907 18645 40114 38499 30651 24379 25938 19946 12418 11879 266730  # Checked, diff = 1 expected =  266730  got =  266731
2000 6885 17364 22610 32420 40762 36730 35469 22718 24421 16874 11903 7591 275747 
2001 2523 10262 16451 28952 41803 39750 41788 25613 28363 21111 13350 6714 276681  # Checked,  diff = -1 expected =  276681  got =  276680
2002 9942 13116 32468 31231 35959 32906 32981 26332 28764 20789 13922 7342 285755  # Checked, diff = -3 got sum = 285752 /ark/Varuna/USBR_Reports/images/az/consumptive_use/2002_2.png
2003 7421 6614 24463 34976 31134 37976 35416 25219 24955 24484 11876 8205 272739 
2004 5126 12084 24871 30609 34918 35774 37519 27104 28154 17882 2060 473 256574 
2005 -2923 -65 22411 29855 33367 35166 32721 18818 26328 19105 15190 6350 236323
2006 7090 15861 18797 34774 39759 36370 30413 25972 23502 18980 10477 12932 274927 
2007 10337 15372 30158 30961 35819 35702 31363 25592 28039 23779 9864 -4208 272778
2008 9688 11108 31791 36441 34302 28504 30381 27004 24132 22449 8675 -5658 258817
2009 9254 7948 25592 33732 33531 28540 31218 32213 22691 16033 11923 9552 262227
2010 -96 3941 22721 30887 27073 28094 34584 32124 26596 17894 9249 5169 238236 
2011 9794 14724 24899 31344 28709 34507 30209 29059 23162 20567 4728 3109 254811 
2012 7016 12883 27305 32574 33367 32073 29718 25455 21188 21934 9699 4178 257390 
2013 7013 9787 25632 34530 33228 31135 23624 25036 23379 21234 8108 1331 244037 
2014 11348 13267 24549 32596 32580 29738 29146 18065 26421 22192 11828 4593 256323 
2015 5954 14104 26964 34489 24019 22698 20900 22575 26960 22334 12964 10602 244563 
2016 10308 17157 27555 28573 26977 27320 25616 23480 26606 24779 13757 5924 258052 
2017 3719 10986 27289 33680 26048 24999 23717 20745 24795 25833 11583 12938 246332 
2018 10212 14537 27034 34706 34990 27579 19574 20866 25853 12254 13335 3476 244416 
2019 6482 10272 22858 33370 34528 30521 28603 25980 23566 24312 9174 -2415 247251 
2020 8510 9549 9907 31459 37051 30730 30774 24193 30560 26569 12149 10577 262028 
2021 4391 14367 27501 36276 34836 34841 24497 16164 27433 21923 12523 7367 262119 
