# USBR Lower Colorado Basin Annual reports: Wellton Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 15626 25383 43044 48747 54934 58781 63792 50330 51441 35672 16262 18295 482307
1965 12322 21252 46463 39804 60591 58593 62079 58912 54631 34271 18503 4834 472255
1966 5283 16235 37211 55755 64655 59541 60436 60070 51355 33560 19323 20099 483523
1967 14846 30337 46117 46206 58297 59724 55227 58108 32891 34721 18878 10428 465780
1968 18438 26602 44032 52598 54424 59167 53650 48265 46028 31238 18490 18564 471196  # checked, diff = 300 expected =  471196  got =  471496
1969 14732 29629 43631 56018 55027 56497 58701 65044 49162 32022 13545 19487 493495
1970 23241 30942 39222 59880 58879 53545 61616 56303 50554 33442 23251 20377 511252  # December 1971 revision needs to be applied
1971 22318 33919 46569 57974 57327 54791 69163 60558 58235 27285 21875 20659 530673
1972 17816 33567 49539 53075 60840 54079 64565 68337 48196 13361 16066 20707 500148
1973 21675 23867 30243 57820 59461 53947 65416 59937 53397 31898 21703 16275 495639
1974 17497 32010 42552 61290 62174 62293 61900 70121 54543 34901 25125 21865 546271
1975 26883 31945 44140 58055 59089 52751 61323 66025 55357 39279 29124 19357 543328
1976 24035 28590 53831 53527 46535 50747 57978 68325 42222 26043 17512 20065 489410
1977 14522 34090 38873 48454 43055 52563 59681 46484 39446 26001 24056 17211 444436
1978 6633 23649 38254 46621 48841 61316 61313 54415 44076 27559 20327 16272 449276
1979 3879 16255 21064 30374 33707 41359 41190 34057 32890 20767 15393 13633 304568
1980 9933 22843 27510 31922 28775 35300 47054 45119 34588 21397 19207 17518 341166 
1981 15830 28870 38515 51568 42104 52945 58475 58022 42316 22260 18189 12140 441234
1982 15627 27293 30045 43362 44698 49028 54392 48059 38710 22550 15436 10773 399973
1983 16960 16761 30187 36760 41835 49710 45010 29196 34107 22648 20595 17415 361184
1984 16810 35773 41876 43776 46019 47421 39298 36887 43902 23987 21270 8135 405154
1985 13487 21914 33627 47775 40508 46453 50390 54544 37241 19737 17375 12640 395691
1986 21090 26366 41680 50691 45444 49229 44002 50419 41782 22191 20757 14807 428458
1987 18629 29563 36643 41971 45494 50352 55060 51077 46898 29304 24104 14609 443704 
1988 14287 33612 40941 40415 49771 51678 53739 44985 48924 27448 23263 21657 450720
1989 14365 28252 48715 51797 46080 46979 48595 41335 50823 33127 28109 21055 459232 
1990 13564 26364 40037 44762 52546 54480 52782 41773 47135 31684 27134 21446 453887
1991 14547 30687 24945 42413 49511 52811 54188 51393 49030 33157 31561 13066 447309
1992 9566 23008 22963 40927 39895 46316 50034 35650 40987 28776 29862 9110 377094 
1993 2857 10411 19688 32278 29521 35981 36820 30826 35293 27744 20308 18254 299981 
1994 16432 21642 32297 42269 34621 44081 43355 38669 32759 30147 20895 14522 371689 
1995 6658 26656 35318 34581 39019 48689 46547 41701 39330 30444 21442 18316 388701 
1996 20977 22808 38503 42343 45355 47811 48742 37221 35446 32693 25422 17810 415131 
1997 16499 27704 37383 38564 52362 55104 48976 39040 31655 28997 23236 15670 415190 
1998 16826 14601 37347 45447 38939 46901 50683 38597 37610 29446 24333 19299 400029 
1999 18797 24696 37718 30258 47815 46626 36737 33061 34083 30148 23033 19929 382902  # diff = -1 expected =  382902  got =  382901
2000 18565 27250 36561 43434 52452 47611 48492 34484 37214 27886 22934 21901 418784 
2001 16097 20606 27358 39539 52167 50142 48187 33262 38577 33045 27030 20715 406725 
2002 23236 27370 38919 43618 47661 44676 47945 41661 39000 33653 29032 22813 439585  # diff = -1 expected =  439585  got =  439584
2003 21308 18911 35698 44405 44409 49488 47170 36757 37017 34275 24997 20474 414909 
2004 17555 23240 40995 44714 45231 60277 45469 36311 38711 29062 14247 11887 407699 
2005 8662 10026 32501 39625 45487 46824 44577 30781 39743 30533 25635 17976 372370
2006 18898 24980 31912 43787 48630 46569 39901 36590 33491 30448 22831 23959 401996 
2007 22030 26201 45292 44165 49741 48672 43839 37292 38313 35458 20587 8570 420160
2008 21908 22706 43708 47435 45249 39717 41740 40540 36057 33597 20839 8480 401976 
2009 21710 18752 38059 44087 45538 40138 43258 42153 40057 29043 21705 16384 400884 
2010 11449 14182 35599 43289 40452 40918 45172 41194 38626 29450 21847 16826 379004 
2011 21500 23263 37782 43519 40694 46952 42439 40964 34107 32406 16676 14354 394656 
2012 18760 23860 39175 44249 45311 43351 41623 37296 33207 33887 20914 16221 397854 
2013 18792 20203 37154 45653 44440 42402 35848 38497 34424 31915 18448 11118 378894 
2014 21883 23213 36153 42778 43781 40618 39551 28464 36310 32884 22615 16836 385086 
2015 17614 24128 38324 45810 35634 33762 30943 32972 37475 33343 21569 19333 370907 
2016 14423 27893 39880 40794 38912 37553 36101 33844 38380 36813 23049 17061 384703 
2017 13945 21725 39713 44921 36885 35317 34148 30990 35696 37037 21295 21025 372697 
2018 21112 24969 36738 46677 46185 37217 28501 31850 38445 23386 23753 14248 373081 
2019 15781 17392 33607 44051 45365 40638 38792 35745 34492 35097 19159 8653 368772 
2020 19015 18986 20354 41425 47282 40260 41713 33936 41427 38071 22625 21927 387021 
2021 14956 23310 39313 47818 46317 47448 36610 28288 38850 30544 23267 20319 397040 
