# USBR Lower Colorado Basin Annual reports: Wellton-Mohawk Total Returns
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2007 11693 10829 15134 13204 13922 12970 12476 11700 10274 11679 10723 12778 147382 
2008 12220 11598 11917 10994 10947 11213 11359 13536 11925 11148 12164 14138 143159
2009 12456 10804 12467 10355 12007 11598 12040 9940 17366 13010 9782 6832 138657
2010 11545 10241 12878 12402 13379 12824 10588 9070 12030 11556 12598 11657 140768
2011 11706 8539 12883 12175 11985 12445 12230 11905 10945 11839 11948 11245 139845 
2012 11744 10977 11870 11675 11944 11278 11905 11841 12019 11953 11215 12043 140464
2013 11779 10416 11522 11123 11212 11267 12224 13461 11045 10681 10340 9787 134857 
2014 10535 9946 11604 10182 11201 10880 10405 10399 9889 10692 10787 12243 128763 
2015 11660 10024 11360 11321 11615 11064 10043 10397 10515 11009 8605 8731 126344 
2016 4115 10736 12325 12221 11935 10233 10485 10364 11774 12034 9292 11137 126651 
2017 10226 10739 12424 11241 10837 10318 10431 10245 10901 11204 9712 8087 126365 
