# USBR Lower Colorado Basin Annual reports: Yuma Area Office Consumptive Use
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# This is just diversion data
1994 78 62 106 115 140 170 187 180 140 118 84 82 1462
1995 62 49 84 91 111 135 147 142 111 93 66 65 1158
1996 8 7 12 13 15 19 20 20 15 13 9 9 160
1997 52 41 70 76 93 113 123 118 93 78 55 54 968
1998 82 74 82 80 82 80 82 82 80 82 80 82 968
1999 82 74 82 80 82 80 82 82 80 82 80 82 968
2000 82 74 82 80 82 80 82 82 80 82 80 82 968
2001 96 81 114 119 137 42 44 44 42 44 42 44 850 
2002 96 81 114 119 137 42 44 44 42 44 42 44 850
2003 61 49 83 90 110 133 145 140 110 92 65 64 1140
2004 93 84 108 102 109 104 94 108 104 111 103 106 1226 
2005 103 90 108 101 82 96 109 108 106 109 104 70 1186 
2006 0 0 0 3 2 3 4 4 3 4 4 2 29 
2007 8 8 8 8 8 8 10 6 6 5 5 5 85 
2008 4 5 96 99 107 106 111 105 98 89 42 0 872   # diff = -10 expected =  872  got =  862
2009 26 0 0 0 0 0 0 0 0 32 95 0 153
2010 0 9 26 28 54 55 60 60 60 59 59 62 532 
2011 62 56 67 17 32 42 11 11 4 2 8 11 323 
2012 6 0 0 0 0 0 0 0 3 9 0 0 18 
2013 0 0 0 0 0 0 0 0 0 0 1 0 1 
2014 0 0 0 0 0 0 0 0 39 0 0 21 60
2015 0 0 0 4 2 1 0 0 0 35 12 0 54 
2016 0 0 0 24 0 0 0 0 0 0 0 0 24 
2017 0 36 0 72 77 12 0 0 0 0 0 0 197 
2018 0 36 50 0 0 0 0 0 0 0 0 0 86 
2019 31 50 17 62 45 0 0 0 5 89 85 12 396 
2020 6 0 0 0 6 0 17 18 11 0 35 8 101 
2021 27 1 0 15 0 0 24 8 0 16 0 28 119 
