# USBR Lower Colorado Basin Annual reports: Yuma County Water User Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 8260 11016 7048 15431 21374 17180 22289 18315 25008 13260 5342 -748 163775
1965 685 11035 13174 12723 19994 20345 26504 22240 24234 12255 359 -8150 155398
1966 75 12502 18136 20697 24131 22494 27114 22439 21746 12647 5154 3873 191008
1967 7120 12321 15255 14921 23323 21958 24982 26416 16198 15342 5267 -1768 181335
1968 6105 15833 15894 16928 20555 24331 23431 21574 16224 10435 9162 2707 183179
1969 2087 16781 14919 19681 20449 20764 22796 20784 15767 12606 -2296 -489 163849
1970 5014 13496 10820 21466 23798 19256 22895 15288 18525 14109 4305 -342 168630
1971 6672 14023 16891 20076 20707 16588 28369 21548 19037 10926 4149 241 179227
1972 10748 13271 17464 23557 21792 21807 25844 20088 20159 431 7871 5916 188988  # checked, diff = -40 expected =  188988  got =  188948
1973 8926 7621 15919 27493 30521 23021 29994 27661 24380 16608 5649 5127 222920
1974 7680 16081 17822 27085 27488 26356 30877 26032 21401 16014 6137 7230 230203
1975 11041 15053 19313 24707 26085 21246 32070 26798 27153 15661 5488 7986 232601
1976 11331 7804 27382 24186 18005 22321 30761 25970 21592 13564 5065 4760 212741
1977 6496 16876 17632 19924 18041 29316 33880 13795 12713 10836 5259 4086 188854
1978 -839 15568 17422 19380 23223 30794 34454 20556 19751 13693 7298 5111 206411
1979 3438 12178 20694 24376 23213 27545 29242 18801 15740 13301 6210 6038 200776
1980 10889 11133 18208 23317 16776 24723 30869 25055 17012 11328 4358 5837 199505
1981 10572 17355 17168 21398 22931 28755 33880 24906 19017 11858 7293 9534 224667
1982 11310 16107 15004 22844 17329 23397 30877 24015 18952 19894 5949 521 206199
1983 7721 8171 17145 20368 17722 18449 24308 13984 17395 11970 7348 4188 168769
1984 7801 16843 20362 19451 17761 22067 12330 16897 14126 17479 8064 1529 174710  # Revised
1985 7817 12006 19578 25766 17089 17982 21762 19216 11846 20587 6843 4426 184918
1986 7599 9634 18628 21558 17397 14598 16752 18142 15885 19774 7904 3878 171749
1987 5681 6688 12254 20827 16470 17812 21110 22574 20812 25158 9676 4718 183780 
1988 4887 10585 16262 16459 23066 20819 23201 19912 21864 25817 12329 7356 202557
1989 2862 9676 21239 30799 21864 18803 16070 16659 22533 28234 13983 7697 210419
1990 5287 12460 23121 28040 25936 18931 19319 20473 21947 31738 16092 10014 233358
1991 3164 13052 14443 28171 27899 18427 18032 21352 22654 35901 18101 3877 225073 
1992 7152 10130 13372 29016 20820 17971 17269 13440 20008 34920 15487 3045 202630 
1993 -2097 1679 12584 22393 23768 19452 17663 13918 17627 35495 9969 7369 179820 
1994 6966 8699 21761 28243 20712 20975 15416 18919 15635 28726 13945 5102 205099 
1995 468 14335 22433 26467 26904 22928 19507 19385 18882 30572 14418 8993 225292 
1996 10703 15012 25989 30258 22981 14496 18972 18050 18128 29661 16743 10129 231122 
1997 10052 19228 24191 28960 27092 19401 21465 17879 11806 23749 14522 4361 222706 
1998 7424 6856 20911 29502 27004 17414 22771 15745 18125 29795 16201 9309 221057 
1999 9898 14679 21930 26093 30343 18739 20343 17505 20844 31138 15773 10302 237587 
2000 6420 12379 20461 30873 23035 13869 13378 6757 16974 6317 18358 9705 178526 
2001 7629 12169 13873 30124 30592 17905 18691 14051 20892 34651 19554 10544 230675 
2002 11269 14821 25931 32106 31222 15800 18822 16837 16291 27973 22507 7648 241227 
2003 11384 8156 25041 32286 24942 13686 18479 8734 17282 28991 13622 8000 210603 
2004 6912 13694 27974 31545 28597 20330 17394 9933 17196 24088 16590 8056 222309
2005 7190 7854 28048 31569 23820 18971 18925 15399 17031 29385 18309 11157 227658 
2006 13059 15392 25863 34553 31425 18865 20014 14258 16560 26605 16966 9531 243091
2007 11953 14189 28224 33953 30571 18277 17661 12719 18678 28584 18536 8508 241853
2008 12082 17550 33642 42200 33086 15542 20792 15479 15343 27838 15692 471 249717
2009 11932 14545 27109 34453 27835 12014 21020 11242 15361 24752 15121 9797 225181
2010 4391 11223 20768 31663 28687 19231 31913 17414 18248 22405 15090 6239 227272 
2011 11231 12214 30263 33204 29033 18111 36785 14849 14978 25420 12045 4420 242553
2012 10020 14028 31446 37318 31874 21048 26974 13997 17516 24027 14732 3075 246055
2013 8740 13080 25131 37967 30241 22240 17619 15357 15993 27475 12731 9797 236369   # checked, diff = 2 expected =  236369  got =  236371
2014 13176 14618 26614 33767 23744 20109 23463 10189 17136 26750 16204 8488 234258 
2015 9470 16565 28344 37269 19802 16836 24258 13716 10031 25337 17131 9559 228318 
2016 6000 14476 26641 33444 25268 19614 22591 13270 16159 24542 16055 4974 223034 
2017 6164 8564 27896 35630 21069 17103 22949 13378 13782 26165 14749 10564 218013 
2018 12585 15246 27541 36494 27064 16508 20759 16922 18234 23455 19429 7151 241388 
2019 9048 9439 23427 30897 25380 17650 23344 14518 15112 27338 16088 6261 218502 
2020 13071 13223 12981 34945 32923 21630 26045 16307 15089 23162 18058 14568 242002 
2021 7420 13201 25321 33273 30145 20362 22437 16325 18102 28559 20907 14472 250524
