# USBR Lower Colorado Basin Annual reports: Yuma County Water User pump
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964
1965 # No Record
1966 1604 1433 1582 1404 1541 1457 1503 1373 1390 1374 1374 1315 17350
1967 1456 1168 1317 1261 1535 1478 1557 1340 1443 946 736 15110  #  diff = -873 expected =  15110  got =  14237
1968 897 736 795 810 994 985 947 925 1070 990 926 1056 11131
1969 837 800 953 948 1132 1067 1092 943 952 988 815 965 11492
1970 938 816 874 723 1002 1041 1054 1035 1037 1111 932 969 11532
1971 1005 808 899 882 1133 886 1017 871 971 958 886 926 11244  # diff = -2 expected =  11244  got =  11242
1972 1032 801 918 868 917 769 977 833 875 829 738 679 10236
1973 714 558 611 662 806 702 825 581 862 969 874 751 8915
1974 790 710 702 701 815 697 894 747 865 888 691 553 9053
1975 634 463 483 561 746 649 802 717 733 828 637 602 7855
1976 773 531 532 488 560 720 788 781 706 911 963 815 8569  # mismatch diff = -1 expected =  8569  got =  8568
1977 794 623 618 768 891 692 798 514 877 854 742 738 8909
1978 734 650 697 683 779 620 605 737 862 886 758 765 8776
1979 836 675 758 682 757 764 886 681 752 766 597 661 8815
1980 739 592 657 591 714 562 706 657 778 800 606 608 8010
1981 652 343 620 614 725 735 796 688 674 685 653 598 7983  # mismatch diff = -200 expected =  7983  got =  7783
1982 681 434 544 560 985 1113 1062 791 870 1026 850 897 9813
1983 970 715 910 1078 991 1063 990 831 910 1062 899 999 11418
1984 1125 888 964 932 928 871 893 887 998 1070 729 859 11144
1985 965 746 820 438 659 792 810 700 608 599 472 467 8076
1986 595 475 543 504 455 442 465 678 496 504 431 413 6001
1987 462 349 349 393 351 430 411 333 331 428 424 533 4794
1988 219 248 229 229 235 249 210 228 620 704 814 807 4792
1989 812 594 724 604 753 853 502 209 1106 682 632 784 8255
1990 720 631 752 671 799 777 649 821 660 793 792 731 8796
1991 686 640 722 693 694 566 499 625 446 643 601 602 7417
1992 608 511 610 607 591 540 581 532 584 628 446 556 6794
1993 457 489 544 534 453 486 534 443 374 347 559 509 5729
1994 398 334 542 565 519 558 697 655 573 624 517 574 6556
1995 503 550 619 570 641 659 612 641 652 621 594 589 7251
1996 564 565 566 497 494 468 499 484 363 409 366 401 5676
1997 327 315 441 448 415 394 402 409 427 514 459 435 4986
1998 431 400 397 370 384 319 309 263 220 252 215 266 3826
1999 188 187 222 217 237 207 517 389 590 678 223 702 4357
2000 198 192 208 145 218 159 160 147 215 152 197 168 2159
2001 163 114 168 166 151 117 116 44 118 117 172 134 1580
2002 110 97 83 124 95 126 89 210 252 98 83 58 1425
2003 25 41 53 31 31 38 47 45 609 109 0 108 1137 
2004 109 109 108 109 108 55 92 160 212 240 209 109 1620 
2005 570 255 151 678 117 88 154 1363 63 57 298 83 3877
2006 45 70 567 84 41 56 29 65 73 0 108 17 1155 
2007 149 41 25 40 479 45 19 0 13 0 9 17 837
2008 0 0 0 0 191 133 117 32 17 137 121 112 860 
2009 112 100 0 73 0 32 135 108 14 170 141 144 1029
2010 144 79 100 114 152 41 30 74 11 81 124 106 1056 
2011 113 99 110 62 68 160 69 108 0 152 165 153 1259 
2012 110 128 0 239 270 230 259 184 0 131 203 264 2018 
2013 293 259 165 5 0 66 266 122 9 110 102 0 1397
2014 79 123 99 0 98 100 87 71 0 90 89 120 956 
2015 50 43 47 7 18 87 113 120 21 112 109 76 803 
2016 169 50 62 109 247 50 67 146 6 52 169 255 1382 
2017 83 122 121 107 148 167 148 86 44 147 136 140 1449 
2018 140 235 84 119 107 139 168 135 0 151 170 144 1592 
2019 92 90 142 162 206 201 103 147 0 134 140 125 1542 
2020 157 177 110 202 101 37 196 152 210 183 154 252 1931 
2021 143 157 152 92 171 130 182 95 99 112 166 1732 3231 
