# USBR Lower Colorado Basin Annual reports: Yuma Irrigation Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 1 0 0 0 0 0 0 0 0 0 0 0 1 # No record
1965 476 688 2437 2577 3760 3548 3107 2914 3185 3058 980 452 27182
1966 593 1898 3181 5273 5614 5344 4258 3745 2976 3212 1342 1942 39379
1967 1229 2451 4423 4987 6977 6477 4690 3487 1914 3637 1599 941 42812
1968 2207 2721 4173 5222 5764 4804 3188 3685 4488 4204 3090 2614 46160
1969 1493 3689 4959 5148 6026 5282 5045 6179 5667 4695 2289 3193 53665
1970 1820 3511 3809 5405 6091 5760 5281 4660 3985 4365 3245 2189 50141
1971 2269 4654 4801 4407 5733 5483 4754 5277 5002 3636 3560 2260 51786
1972 2118 5508 4537 5260 5997 4751 6501 6259 4236 3205 2659 2500 53531
1973 2791 3109 4684 6423 8039 6190 5873 4857 4917 5015 2907 1924 56729
1974 1578 4453 4555 5267 5515 5799 6522 6480 6404 4226 3275 2075 56149
1975 3057 4401 4686 6651 8927 5074 4456 6170 6350 5069 3709 2728 59278
1976 2972 4385 6662 6640 5651 4987 4813 6809 5597 4492 2662 2990 69660
1977 2292 5765 5310 6319 5205 6176 7997 6449 5534 3620 3647 2186 60460
1978 1043 5147 4825 5978 6453 5773 6788 5992 4478 3904 4679 3177 58237
1979 1319 5137 3936 5811 6823 6633 6722 6384 4576 4740 4251 3123 59455
1980 3319 4096 5101 6431 5503 5896 8573 7747 5629 3678 3781 3045 62739
1981 3468 4708 4489 6230 5454 6782 8586 7036 6494 4405 4311 3910 65873
1982 2680 4943 3582 4940 6174 5383 6887 5735 5900 5479 4478 2099 58280 
1983 3211 2964 3723 4436 6797 5678 6272 3940 6683 4792 3795 3441 55732
1984 3838 4001 5681 5392 6338 4447 3273 4581 6182 5930 4237 2017 55917 
1985 2522 3522 5174 7012 6104 4453 5209 6066 6691 325 4728 4030 60836
1986 3684 3510 5153 6280 5315 4182 4307 5267 7012 6425 5103 3566 59804
1987 3322 4360 4512 6016 5686 5252 4595 5412 6746 5874 4370 3244 59389 
1988 2986 3996 5465 5627 6630 5093 5068 4507 6878 5123 4548 3646 59567
1989 2271 3574 4787 5728 4396 3938 3411 3195 5454 4863 3651 3697 48965
1990 2617 3580 5802 5426 6177 4046 4528 4987 7319 6309 3596 4304 58691
1991 2406 3663 4120 6008 7086 4550 5439 5318 6624 7441 4605 2543 59803 
1992 2484 3453 3581 6567 5224 3235 3944 4161 7842 6801 4659 1733 53684 
1993 1274 1744 4949 6021 5826 3770 3834 3956 7636 6396 4174 2863 52443
1994 2762 3577 5288 6323 4910 3602 3103 3604 6413 4957 3572 2747 50858
1995 2120 3519 4479 5350 5764 4291 4104 3480 7358 6834 4192 3203 54694 
1996 3083 3779 5650 7099 6182 4408 3772 4228 6465 7015 4372 2764 58817 
1997 2549 4078 6149 6438 5752 5695 3438 4149 6202 6528 4230 2122 57330
1998 2728 1990 6172 5531 6690 5329 4765 4253 6834 7037 4758 3480 59567 
1999 3679 3269 5697 5950 7295 5780 4991 4299 5829 7193 4759 3434 62176 
2000 3925 3996 6597 7121 7941 6181 6183 4676 6386 6226 4212 4733 68177
2001 2939 3096 3702 6869 8856 4509 4713 3970 6251 7078 5445 4626 62054 
2002 3476 3589 5261 7939 8135 5708 5719 4260 5532 7181 5513 4256 66569
2003 4738 4054 6165 7216 8088 6160 5220 3848 4733 5809 4852 3944 64827
2004 4022 3912 6858 8945 7483 8730 5218 3611 5787 5408 4426 2086 66486 
2005 2769 3368 6271 7038 6877 5377 5700 4046 5802 6277 5000 5400 63925
2006 4121 4330 5964 6802 7138 6610 5277 4031 5281 5482 4691 3825 63552 
2007 3039 4464 7225 7277 7638 6200 5218 5210 4804 6388 4369 3177 65809
2008 3319 4919 7166 8631 7957 6244 6759 5515 5789 6464 4714 1839 69313 # error:  diff = 3 got sum = 69316 /ark/Varuna/USBR_Reports/images/az/consumptive_use/2008_4.png
2009 4105 4307 7014 8178 8295 5326 5417 5770 6818 6229 4832 3232 69523
2010 1787 3118 6653 7666 7777 6016 6083 6449 5776 5274 4741 3149 64489 
2011 4006 4805 8441 9469 8712 6047 7102 6832 5347 6005 4495 2529 73790 
2012 3539 4874 6935 7749 9118 7285 4710 6716 5974 6120 4365 3425 70810 
2013 3117 3916 7002 9386 8099 6647 5951 5159 5355 5930 3696 3314 67572 
2014 3951 4730 7116 8807 7991 6279 6151 4386 5695 6324 4748 3399 69577 
2015 2988 4977 7499 9446 7176 5420 6845 3796 6031 6481 5068 3562 69289 
2016 2681 4811 8094 9346 8760 6033 6791 4285 5028 6000 4058 3127 69014 
2017 2783 2864 6726 7443 6191 4094 4906 5389 5194 7116 4734 3960 61400 
2018 3915 4235 6803 8312 8393 5435 4248 5286 5892 5017 4954 2850 65340 
2019 2825 3327 6545 8198 8245 5842 6597 5053 4692 6582 4349 3583 65838 
2020 3720 3940 4125 8063 8861 6268 5563 6409 6186 7249 5115 4431 69930 
2021 2737 4136 7028 8563 8903 6689 5556 5587 6691 5350 4976 4791 71007 
