# USBR Lower Colorado Basin Annual reports: Yuma Irrigation pump
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964
1965
1966 # No Record
1967 95 218 234 338 432 464 241 374 311 454 57 5 3223
1968 # No Record
1969 1213 1262 980 1801 2113 1494 2076 3068 3558 2805 392 122 20884
1970 1241 1447 1592 2605 1944 2295 2544 1985 1675 1592 1117 641 20678 
1971 1106 1443 1951 2877 2430 2604 3155 2333 3040 1082 1002 666 23689
1972 808 1123 2446 2791 2528 2438 1868 2030 1573 522 536 610 19273
1973 665 824 1185 2117 1768 1672 1499 990 1287 1435 899 575 14916
1974 562 886 939 1537 1694 1890 1664 1588 1469 932 552 705 14418
1975 835 1031 1091 1185 1430 1377 1535 1496 1638 515 424 811 13368
1976 860 757 1187 1723 1582 1088 932 1270 1796 832 374 628 13029
1977 712 1055 1111 1323 1427 1405 1774 1808 2649 918 820 705 15707
1978 337 455 478 1079 752 1058 1157 1056 779 526 410 8507
1979 621 579 635 991 1019 1327 1241 1324 1131 840 614 726 11048 
1980 677 653 765 1179 1148 1432 2298 1604 1761 867 744 726 13854
1981 764 850 795 1552 1491 1733 2128 2340 1683 532 447 580 14895
1982 1031 770 782 1115 1261 1311 1470 1728 934 636 533 682 12253
1983 707 718 1084 853 1086 1164 1303 1040 1668 589 511 604 11327
1984 511 643 671 793 1004 1266 1126 866 676 499 299 433 8787
1985 605 450 502 717 663 589 801 798 953 579 580 343 7580
1986 505 671 634 760 910 934 1179 1238 1320 951 531 463 10096 
1987 577 604 637 865 1073 1052 1067 930 838 677 381 714 9415 
1988 434 726 572 751 1136 1089 1203 879 409 555 658 571 8983
1989 882 1140 1463 1164 1810 2114 2022 635 740 840 727 803 14340 
1990 170 221 201 283 627 793 797 665 258 534 924 624 6107
1991 829 732 327 778 422 801 674 600 1057 955 783 434 8392 
1992 192 368 318 611 786 792 434 396 862 608 636 2 6005 
1993 461 671 823 651 161 736 764 648 860 757 739 812 8083 
1994 473 783 1069 745 818 772 977 708 735 750 591 752 9173 
1995 829 896 1077 843 840 833 453 710 856 607 585 681 9210 
1996 681 592 694 665 726 627 465 658 666 652 562 506 7494 
1997 609 601 611 580 581 576 494 573 498 454 73 64 5714 
1998 10 15 152 242 129 246 307 158 305 323 133 149 2169 
1999 78 44 90 82 284 230 221 286 126 234 54 117 1846
2000 28 138 203 401 284 82 177 117 335 317 132 91 2305 
2001 47 64 54 179 115 170 50 88 191 112 116 58 1244 
2002 72 89 241 234 375 133 96 100 153 153 143 55 1844 
2003 118 251 312 231 232 217 207 234 213 186 146 138 2486 
2004 74 86 193 268 209 253 229 180 251 138 151 110 2142
2005 40 37 283 224 147 39 48 163 118 48 10 16 1173
2006 47 58 81 172 352 239 161 155 251 139 210 67 1932
2007 127 94 199 176 193 108 202 145 158 115 71 25 1613
2008 11 21 165 188 172 27 307 74 254 253 48 29 1549
2009 24 44 89 110 116 16 52 128 38 46 38 13 714
2010 39 15 95 38 88 60 60 32 62 105 88 57 739
2011 88 97 97 40 85 87 137 32 59 59 69 92 942
2012 72 95 114 176 88 59 60 45 63 34 25 7 838 
2013 16 66 58 132 49 147 83 128 53 46 22 14 814 
2014 10 21 72 117 93 28 28 28 66 35 21 4 523 
2015 21 49 150 230 58 44 71 45 48 31 11 57 815 
2016 30 77 169 229 136 89 153 121 149 156 95 57 1461 
2017 27 32 123 221 29 72 221 184 184 80 81 64 1318 
2018 25 52 126 248 352 0 73 78 32 16 22 112 1136 
2019 160 74 217 247 130 106 86 191 128 59 111 82 1591 
2020 10 71 130 163 93 93 89 26 51 50 68 65 909 
2021 24 72 160 329 297 239 135 46 59 74 20 0 1455 
