# USBR Lower Colorado Basin Annual reports: Yuma Irrigation Return
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1983
1984 750 634 830 80 943 671 681 867 1074 1016 714 362 9340 # error:  diff = 718 got sum = 8622 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1984_4.png
1985 442 570 808 1099 971 709 793 934 1106 866 732 620 9650 
1986 567 551 782 962 841 665 641 824 1093 1018 7197 569 9310 # error:  diff = 6400 got sum = 15710 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1986_4.png
1987 502 633 657 872 885 794 692 833 1068 955 692 528 9111 
1988
1989 359 892 795 911 699 589 659 498 1059 897 770 647 8775 
1990 644 4431 715 4614 4009 4199 3196 3012 2367 2982 2082 3579 3 87 # error:  diff = 20845456 got sum = 20845543 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1990_3.png
1991 820 932 696 1244 1120 1102 1072 1011 1049 1323 1079 600 12045 # error:  diff = 3 got sum = 12048 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1991_3.png
1992 402 504 540 962 1100 763 803 715 1566 1370 1015 420 10160 
1993 1146 1004 1626 1551 1115 1133 1204 1058 1601 1517 1520 1076 15551 
1994 900 1184 1488 1575 1324 1234 997 1125 1847 1331 804 1182 14991 
1995 1447 1132 1331 1010 1236 1053 788 854 1463 1438 1158 1013 13923 
1996 947 1026 1452 1535 1254 1082 1109 1080 1415 1677 1034 627 14238 
1997 635 995 1357 941 985 1611 471 717-1855 1008 959 635 12169 # error:  diff = 2572 got sum = 9597 /ark/Varuna/USBR_Reports/images/az/consumptive_use/1997_3.png
1998 544 548 1398 453 901 890 974 825 1215 1332 955 965 11000 
1999 949 970 1376 1518 1278 992 579 1099 1469 1572 1247 382 13432 
2000 1212 991 2295 1685 1833 1387 1364 1115 1726 1520 1019 1606 17753 
2001 1047 636 769 1347 1760 995 1217 701 1063 1444 1521 1627 14127 
2002 938 861111 565 1643 1381 1082 1479 1313 909 1560 1957 1844 45782 # error:  diff = 830000 got sum = 875782 /ark/Varuna/USBR_Reports/images/az/consumptive_use/2002_3.png

