# USBR Lower Colorado Basin Annual reports: Yuma Mesa Fruit Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1983 1 1 1 1 1 1 1 1 1 1 1 1 12
1984 1 1 1 1 1 1 1 1 1 1 1 1 12
1985 1 1 1 1 1 1 1 1 1 1 1 1 12
1986 1 1 1 1 1 1 1 1 1 1 1 1 12
1987 1 1 1 1 1 1 1 1 1 1 1 1 12
1988 1 1 1 1 1 1 1 1 1 1 1 1 12
1989 1 1 1 1 1 1 1 1 1 1 1 1 12
1990 1 1 1 1 1 1 1 1 1 1 1 1 12
1991 1 1 1 1 1 1 1 1 1 1 1 1 12 
1992 1 1 1 1 1 1 1 1 1 1 1 1 12 
1993 1 1 1 1 1 1 1 1 1 1 1 1 12 
1994 1 1 1 1 1 1 1 1 1 1 1 1 12 
1995 1 1 1 1 1 1 1 1 1 1 1 1 12 
1996 1 1 1 1 1 1 1 1 1 1 1 1 12 
1997 1 1 1 1 1 1 1 1 1 1 1 1 12 
1998 1 1 1 1 1 1 1 1 1 1 1 1 12 
1999 1 1 1 1 1 1 1 1 1 1 1 1 12 
2000 1 1 1 1 1 1 1 1 1 1 1 1 12
2001 1 1 1 1 1 1 1 1 1 1 1 1 12 
2002 1 1 1 1 1 1 1 1 1 1 1 1 12
2003 1 1 1 1 1 1 1 1 1 1 1 1 12 
2004 1 1 1 1 1 1 1 1 1 1 1 1 12 
2005 0 0 0 0 0 0 0 0 0 0 0 1 1
2006 0 0 0 0 0 0 0 0 0 0 0 1 1
2007 0 0 0 0 0 0 0 0 0 0 0 0 0 
2008 0 0 0 0 0 0 0 0 0 0 0 0 0
2009 0 0 0 0 0 0 0 0 0 0 0 0 0
2010 0 0 0 0 0 0 0 0 0 0 0 0 0 
2011 0 0 0 0 0 0 0 0 0 0 0 0 0 
