# USBR Lower Colorado Basin Annual reports: Yuma Mesa I Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 14494 12582 14736 24585 30578 32632 34905 33319 28001 21143 12979 13708 273662
1965 9310 10167 14473 18661 30334 29683 33321 32135 25739 19514 10029 6739 240095  # diff = 10 expected =  240095  got =  240105
1966 8365 8973 14309 23106 30817 29600 30574 32588 25591 16932 11031 12732 244618
1967 8854 10458 15820 18851 27332 28709 31226 32210 20779 19385 12502 8154 234280
1968 10872 11535 17340 22519 28995 30875 32050 30919 26605 18518 12653 12171 255052
1969 10166 11056 15010 21812 27673 28609 31719 32635 27450 19899 7860 9891 243780
1970 12303 9045 14110 23739 27961 31241 33284 33297 27502 19845 14541 12973 259841
1971 14233 13143 18397 23100 26513 30043 32372 31522 24409 15152 11741 10649 251274
1972 10512 11518 17298 18639 26161 26993 32107 32982 21934 8815 10505 12454 229828  # diff = 90 expected =  229828  got =  229918
1973 11233 9205 12771 17778 27938 29076 33312 30027 23052 17893 12500 11780 236565
1974 9436 10312 13183 19168 24712 28104 31372 32146 25220 18102 12817 10999 235571
1975 9912 10314 13568 17135 22762 27940 31138 30469 22504 16749 12847 11327 226665
1976 11616 7206 16680 17467 24563 26969 28509 27788 18948 14783 10435 14093 219057
1977 6526 10596 16056 18242 20905 27698 29855 21458 23271 15796 12145 9020 211508  # diff = 60 expected =  211508  got =  211568
1978 2213 8484 12724 15336 24572 27101 29907 28681 22269 15011 10293 10196 206817  # diff = -30 expected =  206817  got =  206787
1979 6954 10520 12871 19675 26951 29433 29456 24529 23699 17032 13756 9426 224302
1980 9998 7443 15397 20671 24028 27454 32986 31196 22510 16924 13642 8101 230350
1981 11825 10507 14892 20564 23670 29457 32973 31376 27048 16256 12157 10564 241289
1982 8503 11332 10642 18922 23770 24825 28707 24618 20782 15565 9680 7405 204751
1983 9430 7979 14510 17161 22380 25477 27699 18797 24117 13712 13554 7158 203034  # diff = -1060 expected =  203034  got =  201974
1984 9835 11497 14779 19425 26646 30282 24303 22099 24049 16311 10810 3121 213157
1985 9669 10013 14138 24908 27332 30303 33069 30512 17189 12179 9959 9024 228295
1986 12882 12243 16711 22527 25723 29220 28914 28625 20935 16431 12151 6705 233067
1987 13604 12667 14585 23010 26617 28748 32368 28135 23450 16485 8400 14911 242980
1988 9151 11584 16347 17486 25347 29258 32038 28894 23399 15367 14333 14842 238046
1989 9188 12008 16695 24827 27057 30224 29784 23723 22003 18672 12984 12040 239205
1990 12586 11469 17803 24164 28421 30321 30795 30205 23800 15575 11850 17975 254964
1991 7510 10661 12500 21328 26930 27192 30456 27271 22244 19728 12459 5963 224242
1992 9797 8708 12086 19441 26653 28775 32016 28736 24560 17903 14140 4700 227515
1993 1855 8315 18539 23035 26620 28863 30726 29673 22707 17761 10066 10187 228347 
1994 12108 9862 16670 22081 24617 29876 30273 30994 21912 18418 12835 7844 237490 
1995 6602 12803 20178 18775 24444 25468 27811 32401 27436 21125 12450 9757 239250 
1996 11651 11549 15054 20393 26827 27845 33417 29061 22907 21065 12514 8633 240916
1997 9079 10800 16591 18981 24851 28671 25863 25612 17152 19011 12455 6168 215234 
1998 8577 5611 17208 16398 21185 25468 31209 28941 21688 16337 13060 10544 216226
1999 11043 10562 17163 16605 22972 25935 26110 28948 23384 15743 14940 12595 226001  # diff = -1 expected =  226001  got =  226000
2000 10445 10976 17139 19366 26951 28552 28833 26827 26257 17460 11660 9396 233862 
2001 10103 8139 10018 16937 25798 26142 26775 24766 20489 20030 15428 8344 212968  # diff = 1 expected =  212968  got =  212969
2002 13867 11740 12990 19984 23756 25450 30227 28447 18304 17568 11983 11216 225532
2003 11123 7934 11894 16983 19190 22787 27486 21745 20642 19544 10343 9388 199059
2004 7388 7645 15943 20850 21399 8811 24766 23939 21106 12350 10668 5815 180680
2005 7359 6190 13467 15299 22563 25266 24873 24210 23829 13755 11582 9883 198276 
2006 9961 8675 13529 14847 23026 24352 21863 24632 16419 13405 10994 8746 190449
2007 11217 10143 15204 18951 24236 24863 28700 25408 16297 13992 11745 5713 206469
2008 8290 10643 14346 17545 20390 23750 26191 22624 18258 14893 9507 5054 191491
2009 9740 8080 15308 15835 18085 21707 26248 23923 19927 13453 10057 7350 189713
2010 5445 7272 12899 14940 17920 23493 25250 24304 21231 14351 11171 9496 187772
2011 7915 8646 14481 16816 20292 23300 23443 25133 18039 13466 7362 7774 186667 
2012 11176 11836 14744 18575 23750 23633 22685 24876 16007 17273 10270 8836 203661
2013 10091 10021 13658 19797 24017 26448 26815 20390 17830 18990 11523 9331 208911
2014 11785 10921 14277 18083 21689 22185 24486 19696 17282 14390 10985 8025 193804
2015 8888 9823 14355 17979 17286 20740 22245 20159 14977 13649 11778 9272 181151
2016 7443 11001 16297 16814 19703 23381 22805 24300 17740 14306 11279 7481 192550 
2017 9233 8283 14901 15833 20357 23010 24765 24739 18437 16653 10437 10606 197254
2018 12535 12073 14622 19943 24323 26504 29728 29435 23291 15184 11062 11552 230252 
2019 10195 11322 13720 19385 24250 25161 30023 29026 22754 18241 12325 8078 224480 
2020 10883 10106 10520 18391 23545 27053 30601 28775 24877 17918 14217 9851 226737 
2021 9110 9988 17270 19968 21213 27249 28359 29154 23705 14344 14141 13528 228029 
