# USBR Lower Colorado Basin Annual reports: Yuma Mesa I Return
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1983 1252 1518 1740 1737 1746 1107 1226 1378 1394 1352 1584 1906 17940
1984 1556 1408 1653 1070 858 684 1002 2754 3640 2696 2195 2079 21595
1985 2672 3590 3067 2801 2896 1404 1393 1889 1714 1077 2021 2082 26606 
1986 1231 1353 1784 2231 2902 1178 1882 1743 2227 1805 1809 1661 21806 
1987 1017 961 328 1012 1953 1939 2006 2345 1429 2007 1575 1824 18396
1988 1802 1896 2116 2184 2110 1607 1662 1325 1571 1474 753 1374 19874
1989 3385 4353 5766 5441 5432 3853 4385 3754 3733 1880 2018 4253 48253
1990 3644 4431 S715 4614 4009 4199 3196 3012 2367 2989 2082 3579 43837
1991 2961 3613 2045 3335 3815 3897 4939 4745 3827 3949 3556 2612 43294
1992 3026 2867 3055 3754 1352 2445 4968 4049 3956 3050 2116 1876 36514
1993 2948 2986 3951 3682 4226 3790 3436 3096 1652 2450 2567 2581 37365 
1994 3285 3273 3677 3908 3567 3345 2461 3226 3309 2575 2187 3815 38628 
1995 3970 2901 5948 4383 2206 2385 1918 3270 3576 2669 2019 2984 38229 
1996 2381 2429 3235 3081 1998 2868 5150 4762 3734 3034 2466 1991 37129
1997 1669 2424 3224 1758 1791 4559 -579 752 3521 1428 2929 3402 26878
1998 2815 2763 3629 1109 1934 2510 3726 3574 2716 4034 3560 4722 37092 
1999 5067 4678 4626 4993 3920 3979 2121 5694 4424 2964 3062 783 46311
2000 3899 3542 6306 4782 5095 5154 5332 5268 5303 3639 2606 3797 54723
2001 4710 2727 2730 5590 7201 6135 6414 3994 4352 5606 6316 6557 62332 
