# USBR Lower Colorado Basin Annual reports: Yuma Proving Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 0 2 1 2 0 1 0 2 3 2 2 1 16 # Probably aren't reporting wells were most of the use is until 1995
1965 0 1 2 2 2 0 0 2 2 0 0 3 14
1966 0 3 0 0 3 1 0 0 0 0 0 2 9
1967 2 3 1 2 2 0 1 1 1 1 1 1 16
1968 3 0 1 2 0 1 2 1 1 2 0 0 13
1969 0 5 5 4 3 4 2 1 1 1 6 0 32
1970 3 1 7 6 0 5 0 0 0 0 0 1 23
1971 0 0 0 0 0 0 1 3 0 6 0 3 13
1972 0 0 5 0 3 3 1 0 3 2 0 2 19
1973 0 0 0 2 1 0 0 0 0 0 3 1 7
1974 3 0 1 1 4 8 0 0 0 0 0 0 17
1975 37 0 13 13 30 0 20 3 5 0 0 1 122
1976 2 2 1 0 30 0 12 0 0 1 1 5 54
1977 0 6 0 0 0 1 3 1 2 5 0 0 18
1978 1 0 2 0 2 0 0 4 0 0 0 3 12
1979 1 0 0 0 3 0 2 0 0 2 0 0 8
1980 0 0 2 3 0 0 5 0 3 0 0 1 14
1981 0 0 2 2 0 0 0 0 0 0 0 0 4
1982 0 1 0 0 2 0 0 0 5 8 0 0 16 
1982 0 1 0 0 2 0 0 0 5 8 0 0 16
1983 3 0 2 0 0 0 0 0 0 2 1 0 8
1984 2 0 0 0 3 0 0 0 0 2 2 0 9
1985 0 2 0 2 0 1 1 1 1 0 0 0 8
1986 2 0 3 1 0 0 0 0 0 0 0 2 8
1987 1 0 0 2 3 1 1 2 2 1 0 0 13
1988 1 0 0 1 2 1 2 3 2 2 0 4 18
1989 0 3 2 0 2 0 1 1 3 1 0 0 13
1990 0 0 0 4 1 0 9 0 2 1 0 4 21
1991 1 0 3 1 0 0 3 0 0 3 0 1 12
1992 0 2 0 2 4 3 1 1 0 2 0 4 19 
1993 0 5 4 3 0 0 1 1 2 1 0 0 17
1994 0 1 0 0 1 7 1 1 0 4 2 0 17
1995 2 2 1 1 4 2 1 1 1 4 4 4 27
1995 69 56 95 102 125 152 166 159 125 105 75 73 1303
1996 0 0 0 4 0 0 1 3 1 0 0 4 13
1996 41 42 90 156 148 152 200 197 153 81 60 48 1368
1997 0 0 0 0 2 0 0 0 0 0 0 0 2
1997 27 30 87 122 126 151 167 145 88 30 36 28 1037
1998 1 3 1 0 1 6 0 0 9 7 0 7 35
1998 42 34 58 63 76 93 101 97 77 64 46 45 795
1999 0 0 0 0 14 0 6 0 0 1 8 0 29
1999 41 33 57 61 75 91 99 95 75 63 44 44 778
2000 0 12 1 0 0 15 0 0 0 2 0 0 30
2000 48 38 65 70 86 104 114 109 86 72 51 50 893
2001 0 0 0 0 2 0 0 3 0 0 0 0 5
2001 27 25 28 79 128 124 129 124 98 51 32 25 870
2002 0 0 0 0 0 6 0 5 0 3 1 0 15
2002 18 17 21 83 92 88 83 93 80 24 25 28 651
2003 0 1 1 0 0 0 0 2 0 0 0 0 4
2003 17 21 25 77 83 87 101 74 48 14 5 17 569
2004 0 0 0 0 0 0 0 0 0 0 0 0 0
2004 16 12 19 52 81 82 99 107 95 17 18 18 616
2005 0 0 0 0 0 0 0 0 4 0 1 0 5
2006 11 11 9 34 69 77 81 88 136 23 36 20 595
2006 0 1 3 0 4 1 1 3 2 0 0 0 15
2006 19 22 19 60 89 128 95 94 89 42 27 29 713
2007 0 1 1 0 0 0 3 1 0 0 0 1 7
2007 22 20 25 67 93 72 96 112 27 60 51 60 705
2008 0 0 0 0 0 0 1 1 0 1 0 2 5
2008 37 37 26 35 78 84 87 84 84 26 28 44 650
2009 1 0 2 1 3 1 1 3 1 0 0 2 15
2009 27 23 31 35 76 85 92 77 91 37 52 32 658
2010 0 1 1 1 0 0 0 0 0 0 0 0 3
2010 30 25 24 44 108 133 91 92 94 51 55 35 782
2011 0 0 0 0 0 2 2 0 1 0 1 0 6
2011 27 20 36 62 62 107 114 55 72 44 38 30 667
2012 1 3 0 0 2 1 5 2 0 3 0 0 17
2012 35 23 25 39 32 75 79 62 57 40 41 26 534
2013 2 0 0 5 0 2 1 1 0 1 0 0 12
2013 23 23 23 41 51 111 61 59 53 36 37 20 538
2014 1 0 0 1 1 1 0 2 1 0 0 0 7
2014 23 17 24 62 32 55 54 43 50 32 9 17 418
2015 1 0 0 0 1 2 2 0 4 1 0 2 13
2015 13 12 18 58 57 79 68 57 54 27 21 17 481
2016 0 2 1 1 1 3 0 2 2 2 0 2 16
2016 14 14 24 39 53 50 58 62 50 25 25 18 432
2017 0 1 2 1 1 2 0 4 0 1 0 2 14
2017 16 18 20 35 50 75 75 61 45 50 24 9 478
2018 0 1 1 1 1 1 0 0 0 0 0 0 5
2018 15 18 21 58 64 61 67 56 39 48 14 13 474
2019 0 2 2 0 2 17 9 7 2 2 0 0 43
2019 16 13 17 35 72 54 97 74 67 32 17 43 537
2020 0 0 0 3 2 2 0 1 0 1 0 0 9
2020 33 23 17 36 47 59 57 52 64 48 20 28 484
2021 0 0 0 0 1 0 0 0 4 0 2 1 8
2021 28 22 23 34 24 31 44 60 50 28 16 17 377
