# USBR Lower Colorado Basin Annual reports: Yuma Union High School Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 5 7 4 4 4 6 4 4 4 4 1 1 48 
2004 11 5 10 10 16 20 22 19 19 7 3 1 143 
2005 11 11 10 11 16 26 12 16 16 7 10 11 157
2006 6 5 10 10 11 25 16 11 10 13 1 1 119
2007 7 10 10 18 32 27 31 26 19 17 12 21 230
2008 20 11 20 26 37 29 49 32 34 23 22 17 320 
2009 4 7 12 16 8 15 10 12 12 7 4 6 113 
2010 7 7 7 7 16 18 16 22 19 0 30 16 165 
2011 1 2 2 7 38 5 19 39 1 10 10 14 148 
2012 5 4 10 4 16 19 19 19 8 12 19 13 148 
2013 5 9 10 10 17 16 27 14 10 10 10 8 148 
2014 6 8 10 13 20 20 22 16 13 4 10 4 146 
2015 3 4 5 8 12 14 16 16 10 2 11 8 109
2016 4 10 6 11 23 19 19 16 9 10 10 5 142 
2017 4 4 10 13 10 17 19 11 10 13 7 7 125 
2018 5 6 7 10 16 13 20 22 12 8 11 5 135
2019 4 3 4 11 16 17 14 16 16 8 13 4 126 
2020 4 2 4 13 16 6 13 19 9 10 11 11 118 
2021 5 5 10 10 13 15 12 17 8 10 9 3 117 
