# USBR Lower Colorado Basin Annual reports: Yuma Union High School Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1984 5 6 18 22 30 30 26 22 17 16 5 3 200 
1985 4 8 16 24 39 56 22 33 27 13 14 5 261 
1986 5 13 14 22 37 41 34 24 25 28 10 6 259 
1987 5 4 10 20 31 27 38 27 27 17 6 5 217
1988 7 2 17 10 24 22 22 24 21 11 4 3 167
1989 2 6 13 17 18 27 30 25 8 18 3 5 172
1990 2 4 18 16 0 38 40 30 20 22 13 16 219
1991 4 4 8 14 25 31 36 29 22 19 12 3 207
1992 39 27 27 27 21 29 27 27 31 22 22 18 317 
1993 21 27 4 5 4 5 46 41 35 20 15 15 238 
1994 0 20 13 16 7 11 7 54 18 8 6 3 163 
1995 4 7 7 11 13 12 20 25 18 15 11 7 150 
1996 4 7 10 16 24 26 30 24 20 12 13 9 195 
1997 4 6 11 12 22 28 28 34 13 20 14 8 200 
1998 5 4 10 12 21 30 32 25 19 21 11 36 226 
1999 8 12 11 10 14 16 25 30 26 19 11 9 191 
2000 6 0 9 22 34 25 30 30 27 11 9 8 211
2001 9 11 7 9 34 23 27 25 15 15 13 12 200 
2002 5 9 13 19 20 12 15 5 15 15 9 9 146 
2003 7 10 6 6 5 8 6 6 5 6 2 1 68 
2004 15 7 13 14 22 27 29 25 25 10 4 1 192 
2005 15 15 13 15 22 35 16 22 21 9 14 15 212 
2006 8 7 14 13 15 33 22 15 14 17 1 2 161 
2007 10 13 14 24 43 36 41 35 26 23 16 28 309 
2008 27 15 27 35 50 39 65 43 46 31 29 23 430 
2009 6 10 16 21 11 20 13 16 16 9 6 8 152 
2010 9 10 9 10 22 24 21 29 25 0 40 21 220 
2011 2 3 3 9 51 7 26 52 1 13 14 19 200 
2012 7 6 13 6 22 25 26 26 11 16 25 17 200 
2013 7 12 13 14 23 22 36 19 14 14 13 11 200  # diff = -2 expected =  200  got =  198
2014 8 11 13 17 27 27 29 21 18 5 14 5 195 
2015 4 5 7 11 16 19 22 21 13 3 15 11 147
2016 5 13 8 15 31 26 25 21 12 13 13 7 189 
2017 6 6 14 18 14 23 25 15 13 17 10 10 171 
2018 7 8 10 13 22 18 27 30 16 11 15 7 184 
2019 6 4 6 15 22 23 19 21 22 11 17 5 171 
2020 5 3 5 18 22 8 18 26 12 13 15 15 160 
2021 7 7 13 14 18 20 16 23 11 13 12 4 158 
