# USBR Lower Colorado Basin Annual reports: Needles Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 125 1 223 1 277 295 3 355 29 28 103 8 2527 # error:  diff = 1079 got sum = 1448 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1964_1.png
1966 6 65 162 252 308 380 47 305 160 209 92 2304 # error:  diff = 318 got sum = 1986 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1966_1.png
# Gap from 1964 to 1966
1967 90 109 12 146 257 282 493 805 394 269 1 3236 # error:  diff = 378 got sum = 2858 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1967_1.png
1968 72145 75238 64793 98120 109134 105756 106222 108524 104252 106937 102 18 107979 1161527 # error:  diff = 102307 got sum = 1059220 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1968_1.png
1971 18 135 162 225 327 578 6 389 228 235 214 3403 # error:  diff = 886 got sum = 2517 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1971_1.png
# Gap from 1968 to 1971
1972 1 1 218 261 28 315 425 522 387 218 118 3142 # error:  diff = 648 got sum = 2494 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1972_1.png
1975 121 1 157 213 325 451 509 493 5 29 184 155 3333 # error:  diff = 690 got sum = 2643 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1975_1.png
# Gap from 1972 to 1975
1977 167 183 271 33 327 426 508 400 393 33 259 177 3788 # error:  diff = 611 got sum = 3177 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1977_1.png
# Gap from 1975 to 1977
1978 163 70 106 176 2 362 379 371 213 155 122 2768 # error:  diff = 649 got sum = 2119 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1978_1.png
1980 85 101 132 179 291 395 395 357 239 166 150 2930 # error:  diff = 440 got sum = 2490 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1980_1.png
# Gap from 1978 to 1980
1981 120 135 139 243 312 4 482 421 300 245 126 153 3092 # error:  diff = 412 got sum = 2680 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1981_1.png
1982 141 124 158 229 331 426 474 4 316 233 168 102 3114 # error:  diff = 408 got sum = 2706 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1982_1.png
1984 126 144 214 255 261 444 414 398 360 331 212 175 3334 
# Gap from 1982 to 1984
1986 417 110 167 203 340 403 428 362 291 195 138 107 2861 # error:  diff = 300 got sum = 3161 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1986_1.png
# Gap from 1984 to 1986
1987 101 112 150 242 309 388 416 407 356 252 136 112 2981 
1988 103 126 242 206 320 401 472 398 327 275 188 139 3203 # error:  diff = 6 got sum = 3197 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1988_1.png
1989 12 118 220 295 344 406 473 449 383 269 168 149 3395 # error:  diff = 109 got sum = 3286 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1989_1.png
1990 97563 92127 100251 96223 105075 102937 105041 102786 102480 102395 100004 199439 1218321 # error:  diff = 88000 got sum = 1306321 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1990_1.png
1991 162 165 180 288 385 422 428 373 276 268 182 137 3266 
1992 17 92 113 196 271 317 317 35 272 187 146 99 2442 # error:  diff = 380 got sum = 2062 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1992_1.png
1993 183 144 169 292 407 481 481 477 409 295 230 142 3709 
1994 153 128 209 269 306 402 429 375 330 280 212 197 3289 
1995 164 178 198 238 229 300 360 371 370 290 234 187 3119 
1996 168 134 229 248 303 367 400 385 303 253 180 177 3148 
1997 8 15 23 25 30 33 33 30 20 15 10 10 252 
1998 4 3 5 6 7 8 9 9 7 6 4 4 71 
1999 80 64 109 118 144 174 190 183 144 120 86 84 150 # error:  diff = 1346 got sum = 1496 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1999_1.png
2000 3 2 4 4 5 6 6 6 5 4 3 3 50 
2002 4 5 5 6 6 6 7 5 5 5 2 2 58 
# Gap from 2000 to 2002
2003 2 2 3 4 4 5 6 6 4 4 3 3 46 
2004 0 1 1 1 1 1 1 1 1 1 1 1 11 
2005 1 2 2 3 2 3 2 3 2 2 2 1 25 
2006 2 2 2 3 3 3 3 4 5 2 2 1 32 
2007 4 2 4 3 6 5 4 3 5 5 9 1 48 # error:  diff = 3 got sum = 51 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/2007_1.png
2008 2 4 3 4 6 7 3 6 6 1 4 3 49 
2009 132 112 145 197 269 256 280 290 227 231 183 119 2441 
2010 104 103 130 184 262 265 300 262 203 206 190 134 2343 
2011 137 92 126 144 200 214 224 241 164 160 150 123 1975 
2012 122 125 151 194 248 249 241 239 161 201 170 126 2227 
2013 111 82 164 197 229 269 281 224 138 186 175 144 2200 
2014 126 130 179 185 197 224 230 179 133 177 166 115 2041 
2015 106 107 132 158 167 187 181 202 161 124 152 142 1819 
2016 99 112 137 135 172 202 201 192 152 183 137 114 1836 
2017 90 90 136 153 182 191 202 199 154 198 157 135 1887 
2018 116 111 131 166 190 155 204 210 113 162 160 127 1845 
2019 102 93 117 157 170 188 210 212 155 168 145 112 1829 
2020 118 121 115 134 196 200 217 200 152 191 168 149 1961 
2021 120 115 147 174 204 200 205 193 135 196 127 124 1940 
