# USBR Lower Colorado Basin Annual reports: Yuma Project Reservation Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 1877 3830 3 4388 397 55045 6485 459 3838 2915 1329 1299 43486 # error:  diff = 38379 got sum = 81865 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1964_1.png
1966 735 203 5079 4 788 6268 7041 6381 4500 2304 1865 1705 227 # error:  diff = 36646 got sum = 36873 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1966_1.png
# Gap from 1964 to 1966
1967 2777 479 3952 4093 4792 5129 5678 5734 3535 5337 2567 1010 49 083 # error:  diff = 45049 got sum = 45132 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1967_1.png
1968 2172 3592 5452 4759 5647 6269 6365 4 438 1925 2401 1760 1606 46 337 # error:  diff = 42099 got sum = 42436 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1968_1.png
1971 1840 3722 4 933 4730 3323 2555 4232 4330 4 482 3018 2474 1644 41282 # error:  diff = 7991 got sum = 33291 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1971_1.png
# Gap from 1968 to 1971
1972 1991 3197 4431 4738 3199 2681 4774 3008 3277 1567 2490 1939 37292 
1974 1781 3545 3809 4865 5619 5718 6076 4938 3482 2775 3097 1860 47565 
# Gap from 1972 to 1974
1976 3022 2764 5210 472 3943 5430 52 6042 3593 3787 37 2 # error:  diff = 34350 got sum = 34352 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1976_2.png
# Gap from 1974 to 1976
1977 1190 3389 2746 2832 3531 4777 6043 3908 2259 1265 1260 951 3 151 # error:  diff = 34003 got sum = 34154 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1977_2.png
1978 5730 160689 256724 340039 306762 277222 320646 312052 271207 148586 121494 2757199 # error:  diff = 236048 got sum = 2521151 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1978_2.png
1979 727 2156 4597 4634 3999 6218 6988 3931 2181 1739 1188 900 39258 
1980 1149 250 5301 3872 3332 6234 6896 5687 3876 1606 827 1148 32 # error:  diff = 40146 got sum = 40178 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1980_1.png
2010 1400 1896 4101 5555 4945 1502 4165 3192 4795 4411 3008 1791 40761 
# Gap from 1980 to 2010
2011 2339 1752 5991 6536 5432 1635 3909 5123 1595 4416 3024 2495 44247 
2012 2350 2631 5977 6112 4907 2898 2774 4405 2103 4454 3437 3395 45443 
2013 1795 2497 4901 7462 5259 3628 2490 4550 3044 4817 3316 2608 46367 
2014 2276 2820 5812 7720 5592 3194 1992 5444 2083 4215 3611 2436 47195 
2015 1718 3261 6287 8316 4164 1824 1321 5543 3150 4810 3958 2695 47047 
2016 1302 3098 5848 7289 5532 3542 3266 3261 1762 4096 3653 2132 44781 
2017 1880 2044 5328 7394 5506 3144 1846 3436 2803 4619 3368 3072 44440 
2018 2321 2872 5465 7600 5586 2878 1582 3522 2222 2879 3668 2044 42639 
2019 2000 2129 4051 6453 6459 4058 3485 3331 2375 4373 3334 1970 44018 
2020 2782 2380 2416 6401 5872 3923 2634 3978 2949 4257 5633 3155 46380 
2021 2713 2403 4030 7183 6655 3544 1787 3076 2319 4434 3334 3062 44540 
