# USBR Lower Colorado Basin Annual reports: Bureau of Reclamation - Parker Dam Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1972 14 13 14 33 36 34 36 34 33 10 9 10 276  # Parker Dam and Government Camp
1973 5 5 6 22 23 23 60 60 60 13 13 12 302  # FIXME cu here
1974 20 21 21 21 20 21 21 21 20 21 21 21 249 # extrapolated from total
1975 6 7 9 15 21 30 32 34 22 14 10 6 206
1976 6 5 9 13 40 38 36 36 23 11 7 10 234
1977 11 12 16 18 19 25 28 26 22 18 13 11 219
1978 12 14 18 21 22 29 32 30 25 21 15 12 251
1979 14 15 18 24 28 38 45 37 32 27 19 16 313
1980 8 8 11 21 26 32 38 45 34 26 14 11 273
1981 8 10 13 16 2 38 36 55 31 2 16 45 280
1982 7 8 8 19 23 36 40 30 28 15 7 7 228
1983 4 3 4 10 18 24 29 18 15 8 6 4 143
1984 3 4 9 12 20 25 27 23 22 13 8 5 171
1985 4 5 7 14 20 22 28 28 20 19 10 185
1986 5 8 12 19 25 32 33 33 28 20 15 8 238
1987 7 7 10 17 28 34 36 39 32 25 12 8 255
1988 7 10 14 18 28 34 37 33 32 33 16 11 273
1989 10 6 23 32 33 34 39 38 38 24 15 16 308
1990 11 9 12 18 27 34 30 32 25 21 11 7 237
1991 11 9 10 12 21 29 31 30 24 20 10 5 222
1992 22 19 21 26 27 31 30 34 31 27 17 16 301
1993 13 13 18 24 30 37 38 35 38 22 9 6 283
1994 6 5 16 28 36 36 34 33 31 25 14 12 276
1995 12 5 6 12 22 22 39 38 29 30 12 10 237
1996 15 12 21 23 28 34 37 35 28 23 17 16 290
1997 10 8 14 15 18 22 24 23 18 15 11 11 189
1998 5 3 4 6 9 16 19 20 12 14 9 3 121
1999 7 4 9 8 8 12 18 24 17 17 11 7 141
2000 12 11 18 18 25 25 26 27 14 17 7 5 205
2001 6 5 7 7 19 27 19 28 22 14 7 5 167
2002 9 7 12 13 16 19 21 20 16 13 9 9 165
2003 8 6 6 4 16 18 24 19 17 18 10 11 156
2004 10 5 9 13 17 16 19 22 17 17 10 10 165
2005 4 3 7 19 19 22 23 21 19 6 11 11 165
2006 10 11 12 15 17 23 18 21 16 16 13 12 184 # Returns and cu here
2007 16 12 15 18 20 19 18 23 19 20 11 6 197
2008 6 6 8 9 10 15 18 20 21 17 14 12 156
2009 7 11 16 11 9 9 10 12 8 5 7 5 110
2010 4 4 6 10 10 15 19 14 13 10 9 7 121
2011 6 6 7 8 8 10 12 10 2 6 0 5 80
2012 6 5 3 9 9 9 10 13 13 14 8 8 107
2013 6 3 5 11 12 13 15 16 11 10 9 5 116 # End Parker Dam and Government Camp
2014
2015
2016
2017 0 0 0 0 0 1 0 0 0 0 0 0 1 
2018 0 0 0 0 0 0 0 0 1 0 0 0 1 
2019 0 0 0 0 0 0 0 0 0 1 0 0 1 
2020 0 0 0 0 0 0 0 0 0 0 0 0 0 
2021 0 0 0 0 0 0 0 0 0 0 0 0 0 
