# USBR Lower Colorado Basin Annual reports: Chemehuevi Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1996 45 36 62 67 82 99 108 104 81 68 49 48 848  # Diversion data
1997 8 15 23 25 30 33 33 30 20 15 10 10 252
1998 35 29 49 53 64 77 84 81 64 53 38 37 664
1999 10 3 19 25 25 20 42 32 29 26 19 14 265
2000 11 26 26 17 63 30 80 26 15 34 6 9 342
2001 13 18 19 12 17 13 36 34 20 22 7 5 216
2002 7 14 14 10 14 17 5 2 0 5 1 0 89
2003 0 0 8 9 2 0 1 3 103 102 106 0 334   # Real Consumptive use data
2004 0 0 130 130 129 129 129 129 0 0 0 0 776 
2005 0 0 130 130 26 129 131 129 129 0 0 0 804
2006 8 6 16 9 12 13 16 14 12 33 10 9 158 
2007 8 6 16 9 12 13 16 14 12 33 10 9 158
2008 9 10 15 16 19 23 25 24 19 16 11 11 198
2009 9 10 15 16 19 23 25 24 19 16 11 11 198
2010 3 4 6 6 8 9 10 10 8 6 4 4 78 
2011 5 6 5 5 6 9 9 11 11 10 9 6 92 
2012 7 7 7 7 8 10 9 9 8 8 7 5 92 
2013 11 6 8 9 11 13 15 12 11 10 9 8 123 
2014 6 5 10 10 12 17 17 18 9 10 10 8 132 
2015 6 6 8 8 12 13 11 14 8 6 5 22 119 
2016 8 6 8 8 14 16 10 17 15 13 7 10 132 
2017 5 7 10 9 13 16 20 131 15 13 15 9 263 
2018 21 7 11 9 17 18 20 40 18 14 12 5 192 
2019 8 7 12 14 19 19 20 21 18 17 10 8 173 
2020 13 10 11 11 19 20 24 25 19 18 15 6 191 
2021 9 10 14 15 19 19 23 19 18 17 13 12 188 
