# USBR Lower Colorado Basin Annual reports: Blythe Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 101 119 122 170 289 328 411 506 319 263 120 94 2842
1965 112 107 135 147 311 313 536 483 336 243 150 98 2971
1966 112 95 133 191 365 358 598 505 400 254 124 144 3279
1967 107 126 156 154 353 316 463 506 328 293 163 150 3115
1968 123 131 138 250 283 377 508 472 315 195 168 110 3070
1969 99 110 190 221 399 391 444 584 361 210 181 124 3314
1970 147 125 145 200 374 409 465 540 342 268 156 126 3297
1971 174 163 207 246 341 427 619 432 402 289 203 176 3679
1972 238 209 259 324 349 430 604 420 415 220 139 153 3760
1973 104 101 112 231 294 385 538 370 377 208 213 141 3074
1974 88 119 183 212 366 410 415 475 338 207 160 107 3080
1975 118 120 176 148 329 364 438 488 287 247 127 104 2946
1976 147 105 151 233 281 335 505 380 256 235 142 117 2887
1977 134 139 159 258 230 377 532 348 342 223 148 126 3016
1978 94 115 183 213 292 410 531 337 391 207 126 122 3021
