# USBR Lower Colorado Basin Annual reports: City of Needles Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 # No Record
1965 # No Record
1966 29 27 10 70 145 201 270 314 198 68 57 55 1444
1967 66 72 102 100 199 202 422 734 308 192 103 69 2569
1968 94 101 216 169 257 273 319 312 214 170 101 77 2303
1969 56 55 85 128 242 310 335 355 211 126 84 58 2045
1970 54 38 68 120 212 324 335 278 261 185 120 79 2074
1971 92 111 135 192 277 370 484 373 320 180 193 86 2813
1972 95 123 163 206 226 214 318 427 318 170 113 91 2464
1973 89 71 80 195 328 431 449 327 340 224 149 98 2781
1974 72 84 136 214 291 392 424 357 297 197 126 84 2674
1975 81 73 105 151 263 369 420 403 288 173 138 110 2574
1976 91 88 144 170 301 370 433 425 246 156 202 139 2765
1977 124 142 217 297 268 342 411 307 290 275 197 139 3009
1978 127 38 106 137 181 282 317 290 285 167 115 88 2133
1979 47 53 83 145 164 261 333 295 278 210 100 68 2037
1980 54 65 86 130 219 319 345 309 278 174 112 103 2194
1981 74 92 91 183 242 336 388 341 217 182 71 134 2351
1982 91 81 114 179 265 346 361 298 237 159 104 53 2288
1983 75 74 74 147 244 339 343 233 233 101 124 73 2060
1984 97 118 189 223 226 400 347 324 311 266 171 138 2810
1985 174 178 104 186 248 332 357 382 236 148 83 62 2490
1986 74 73 127 160 290 349 370 299 232 152 98 67 2291 
1987 65 71 104 193 257 327 355 341 298 204 105 83 2403 
1988 77 97 206 170 274 352 417 357 278 227 152 106 2713 
1989 88 88 181 248 294 351 410 387 328 222 132 115 2844
1990 # No Record
1991 162 165 180 288 385 422 428 373 276 268 182 137 3266 
1992 170 134 160 277 385 452 452 449 386 273 213 137 3489 
1993 59 44 52 120 176 220 211 206 174 115 87 37 1502 
1994 58 44 88 130 121 189 190 196 171 123 68 88 1467 
1995 88 88 86 100 87 130 165 199 175 118 116 60 1412 
1996 78 63 107 116 141 171 187 180 141 118 84 83 1471 
1997 74 60 101 110 134 164 178 171 134 112 80 78 1396 
1998 62 49 84 91 111 135 147 142 111 93 66 65 1159  # checked diff = -3 expected =  1159  got =  1156
1999 64 52 88 95 116 141 154 148 116 97 69 68 1209 
2000 44 35 60 65 79 96 105 101 79 67 47 46 826
2001 45 81 90 170 244 308 301 210 220 174 140 150 2132
2002 76 61 104 112 137 166 181 174 137 115 82 80 1425
2003 92 53 110 118 145 176 192 184 145 121 86 85 1506
2004 105 -16 136 196 235 167 -4 204 195 158 103 101 1580
2005 87 70 126 173 209 230 254 197 180 167 138 126 1957
2006 104 93 108 141 184 192 194 198 143 129 125 104 1715
2007 79 87 119 152 169 198 197 191 157 150 114 54 1667
2008 76 95 159 147 166 194 220 155 140 171 73 18 1614
2009 86 72 112 135 205 194 226 240 180 183 125 73 1831
2010 66 59 86 127 204 209 246 208 155 139 129 73 1701 
2011 70 32 60 75 144 173 184 199 127 122 115 86 1387 
2012 94 99 121 167 220 223 211 207 132 169 143 99 1885
2013 85 58 139 170 199 243 250 193 109 154 147 111 1858 
2014 98 104 148 156 169 197 198 148 105 149 139 88 1699 
2015 67 62 84 85 125 141 128 146 109 81 96 87 1211 
2016 40 70 87 69 115 136 136 135 103 110 70 57 1128 
2017 51 52 43 79 142 144 139 115 115 69 78 63 1090 
2018 65 65 67 62 85 112 106 113 71 70 66 41 923 
2019 50 38 44 61 86 140 111 113 105 102 66 38 954 
2020 48 49 50 59 86 119 132 111 63 79 74 72 942 
2021 54 39 78 92 143 145 142 126 76 135 58 52 1140 
