# USBR Lower Colorado Basin Annual reports: City of Needles Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 125 115 123 174 277 295 389 355 269 218 101 86 2527
1965 71 78 95 108 208 261 384 356 246 163 83 60 2113
1966 66 64 65 162 252 308 380 421 305 160 109 92 2384
1967 90 109 142 146 257 282 493 805 394 269 149 94 3230
1968 115 138 253 209 306 374 429 407 269 218 130 98 2946
1969 84 86 153 209 307 410 472 515 337 207 142 105 3027
1970 101 113 120 178 308 437 480 422 368 247 149 107 3030
1971 118 135 162 225 327 428 578 464 389 228 235 114 3403
1972 111 140 218 261 284 315 425 522 387 218 142 118 3141
1973 116 95 106 244 364 474 552 443 431 292 194 140 3451
1974 109 118 175 268 368 483 507 469 398 272 171 126 3464
1975 121 111 157 213 325 451 509 493 365 249 184 155 3333
1976 133 126 186 217 369 449 524 517 317 224 251 184 3497
1977 167 183 271 343 327 426 508 400 393 334 259 177 3788
1978 163 70 106 176 242 362 409 379 371 213 155 122 2768
1979 78 84 128 192 229 337 416 379 358 267 145 100 2713
1980 85 101 132 179 291 395 440 395 357 239 166 150 2930
1981 120 135 139 243 312 416 482 421 300 245 126 153 3092
1982 141 121 158 229 331 426 474 415 316 233 168 102 3114
1983 126 4 127 209 324 447 460 336 329 74 162 112 2917
1984 126 144 214 255 261 444 414 398 360 331 212 175 3334 
1985 207 212 144 227 295 391 420 444 285 196 124 104 3049
1986 117 110 167 203 340 403 428 362 291 195 138 107 2861
1987 101 112 150 242 309 388 416 407 356 252 136 112 2981 
1988 109 126 242 206 320 401 472 398 327 275 188 139 3203
1989 121 118 220 295 344 406 473 449 383 269 168 149 3395
1990 174 140 238 257 314 381 416 400 314 263 187 184 3267
1991 162 165 180 288 385 422 428 373 276 268 182 137 3266 
1992 117 92 113 196 271 317 317 315 272 187 146 99 2442    # Pumped from River
1992 166 131 154 265 371 437 437 434 372 268 209 129 3373  # Pumped from Wells
1993 183 144 169 292 407 481 481 477 409 295 230 142 3709 
1994 153 128 209 269 306 402 429 375 330 280 212 197 3289 
1995 164 178 198 238 229 300 360 371 370 290 234 187 3119 
1996 168 134 229 248 303 367 400 385 303 253 180 177 3148 
1997 151 121 206 223 272 331 361 347 272 228 162 159 2833
1998 134 107 183 198 242 293 320 308 242 203 144 142 2517
1999 138 111 188 203 249 302 329 317 249 209 148 146 2588
2000 132 106 180 195 238 289 315 303 238 199 142 139 2475
2001 106 120 135 211 287 354 352 264 269 251 189 178 2717
2002 136 109 186 201 246 298 325 313 246 206 146 144 2559
2003 138 110 188 203 248 301 329 316 249 208 148 145 2583
2004 143 5 179 251 290 208 11 265 248 206 151 140 2097
2005 113 92 155 216 262 289 319 250 225 216 170 154 2461
2006 160 143 164 216 281 293 297 303 219 198 192 160 2626
2007 137 146 100 227 259 289 296 278 241 231 182 411 2587
2008 132 146 216 228 255 262 290 227 205 250 167 103 2481
2009 132 112 145 197 269 256 280 290 227 231 183 119 2441 
2010 104 103 130 184 262 265 300 262 203 206 190 134 2343 
2011 137 92 126 144 200 214 224 241 164 160 150 123 1975 
2012 122 125 151 194 248 249 241 239 161 201 170 126 2227 
2013 111 82 164 197 229 269 281 224 138 186 175 144 2200 
2014 126 130 179 185 197 224 230 179 133 177 166 115 2041 
2015 106 107 132 158 167 187 181 202 161 124 152 142 1819 
2016 99 112 137 135 172 202 201 192 152 183 137 114 1836 
2017 90 90 136 153 182 191 202 199 154 198 157 135 1887 
2018 116 111 131 166 190 155 204 210 113 162 160 127 1845 
2019 102 93 117 157 170 188 210 212 155 168 145 112 1829 
2020 118 121 115 134 196 200 217 200 152 191 168 149 1961 
2021 120 115 147 174 204 200 205 193 135 196 127 124 1940 
