# USBR Lower Colorado Basin Annual reports: Coachella Valley Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Bureau wasn't tracking returns until 1984 so this is diversion data
1964 28709 32781 40930 48121 55766 55010 59507 59101 52806 36144 27990 29552 526417 # 0 in 40930 is illegible but it totals correctly
1965 30945 32428 39791 47520 60431 55579 60133 64144 52659 38226 24464 18366 524686
1966 24019 26206 39058 46214 56660 54210 59517 58622 47143 29692 25292 22796 489429
1967 25548 30993 38016 36118 52288 50705 55443 53252 41489 34696 24090 21415 464053
1968 26868 30657 38050 40770 49322 53962 55839 52528 46477 32789 25764 25557 478583
1969 22657 27824 39183 44847 56713 53117 58037 61655 51605 33581 22816 23047 495082
1970 27434 27959 34432 40460 48236 50319 50674 52357 41846 32023 23693 19830 449263
1971 27963 28994 36869 38813 47431 44482 53219 53113 44962 32079 26976 29544 464445
1972 33500 28960 41969 45435 55024 49126 61691 57140 44548 34954 27632 31497 511476
1973 29736 25923 34740 44932 55355 56223 64650 59318 54451 42757 28251 26020 522356
1974 26962 33450 37183 50146 57612 60713 67188 67213 53747 41434 30381 32835 558864
1975 32057 30859 40531 44448 61488 64500 63575 67895 57024 45099 31909 31602 570987
1976 32496 31838 45814 48503 58537 57691 64025 63975 33249 32508 28977 27188 524801
1977 26337 31971 38533 48936 53906 55739 61827 52388 47147 36519 30026 25306 508635
1978 15925 23400 33996 45448 55313 59755 60130 63680 50529 41069 31655 28591 509491
1979 22917 29272 39133 55602 56623 58371 58247 55456 55656 41685 30739 27032 530733
1980 29426 21501 32641 51568 51386 59837 68728 69803 55340 46777 23712 21072 531791
1981 22537 26851 35210 47570 46238 48081 53683 54791 45762 29924 20450 21163 452260
1982 20675 26151 30299 40635 50947 50334 52506 50354 35332 28779 19572 19284 424868
1983 22521 19018 24657 35736 45643 43981 45354 32365 31773 24893 19096 17229 362266
# Bureau started tracking return flows here so this is real consumptive use data
1984 20233 25288 34342 35688 41923 36580 35876 36224 36693 26904 15391 10647 355789
1985 15214 19436 27196 34841 37823 38000 40304 43330 32075 22571 13981 12231 337002
1986 15346 19416 27143 34789 37800 37977 40316 43358 32115 22610 14022 12252 337144
1987 17747 21133 24003 32982 35034 35537 38439 42735 32556 22857 11240 18372 332635 
1988 16806 21845 32312 28288 37118 33643 35759 37853 30442 24180 16279 17296 331821
1989 16115 20677 32496 38152 38947 37050 40045 38905 33430 25249 19599 18754 359419 
1990 19484 21393 30981 36759 43150 37131 40445 38995 33191 24047 21052 23057 369685 
1991 15928 23740 15333 30659 38005 34628 35917 35147 29008 25277 18614 15307 317563 
1992 13441 14187 18874 29183 37873 34344 35868 36485 30115 22633 22092 14272 309367 
1993 8252 10141 26595 34694 37288 34835 35308 37257 32340 24934 21251 16095 318990 
1994 19627 14292 24249 33408 33809 34682 36350 36539 32462 25623 20134 14927 326102 
1995 11235 17389 24171 32024 34212 35207 37229 39236 33186 26392 21621 14795 326697 
1996 18562 17458 26096 34906 39374 33082 35214 34674 29139 24449 22135 16384 331473 
1997 13451 20420 30034 34082 37319 34672 35708 37785 28079 21241 23225 22012 338028 
1998 16067 11314 24856 31318 34911 36569 38599 38333 35777 26532 24836 18354 337466 
1999 17536 18151 27543 29862 35450 34279 35125 34267 30179 26083 25502 19832 333810 
2000 18192 17970 24338 33990 39665 38773 37172 37580 23909 16974 23891 16913 329367 
2001 15350 15459 19612 30057 39914 36064 34002 36063 30160 25548 25579 17289 325096 
2002 16031 18498 27138 31120 35436 36133 36817 35171 30408 24443 22841 17071 331107 
2003 18025 15027 20807 27742 30475 29777 30572 30550 30874 28013 19658 15288 296808 
2004 16978 16146 24327 29172 35255 34392 34033 37586 30555 25322 20000 14850 318616 
2005 7551 8430 23009 30544 36805 35815 37721 32614 28613 22736 23950 16980 304768 
2006 17435 18873 21428 32598 33512 34937 36631 33753 28875 26169 27414 17697 329322 
2007 18646 18662 25192 23999 32264 30931 33772 32132 27573 26243 28237 14320 311971
2008 11461 14748 22977 26744 30577 32833 33988 31280 26712 27678 25208 14858 299064 
2009 15770 14540 23157 27636 31178 29866 35380 33041 29348 26640 24787 17217 308560 
2010 11535 13004 21595 27894 31828 33291 36394 34855 30675 24486 24613 15971 306141 
2011 15987 17552 22779 27363 31144 32284 33106 34951 28209 26443 22532 16998 309348 
2012 16022 20009 25742 30340 35806 33869 34361 34051 26844 27485 26426 18621 329576 
2013 16670 19160 26271 31063 34021 34001 33839 33679 27528 27103 26221 21581 331137 
2014 20372 21097 27157 33462 33525 34441 37642 35301 29862 28504 26923 21086 349372 
2015 18626 21372 26610 32255 31875 33368 32569 37426 31263 26998 27385 22321 342068 
2016 14118 23365 29735 31436 34730 39175 38325 39710 31184 27360 27076 20144 356358 
2017 11627 18365 25897 31453 35702 36535 37104 36427 28076 28714 26681 18740 335321 
2018 15074 20700 24639 30230 35029 35236 38340 36974 31281 24747 25553 20232 338035
2019 16702 14975 24751 31763 34858 35697 38886 41149 33302 30299 24128 17461 343971 
2020 18069 22853 20067 26254 36011 36860 39183 37635 33827 31394 25249 23216 350618 
2021 19583 21868 25994 31685 36039 36864 36787 37023 31780 28535 24379 21367 351904 
