# USBR Lower Colorado Basin Annual reports: Coachella Valley Water Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 28709 32781 40930 48121 55766 55010 59507 59101 52806 36144 27990 29552 526417 # 0 in 40930 is illegible but it totals correctly
1965 30945 32428 39791 47520 60431 55579 60133 64144 52659 38226 24464 18366 524686
1966 24019 26206 39058 46214 56660 54210 59517 58622 47143 29692 25292 22796 489429
1967 25548 30993 38016 36118 52288 50705 55443 53252 41489 34696 24090 21415 464053
1968 26868 30657 38050 40770 49322 53962 55839 52528 46477 32789 25764 25557 478583
1969 22657 27824 39183 44847 56713 53117 58037 61655 51605 33581 22816 23047 495082
1970 27434 27959 34432 40460 48236 50319 50674 52357 41846 32023 23693 19830 449263
1971 27963 28994 36869 38813 47431 44482 53219 53113 44962 32079 26976 29544 464445
1972 33500 28960 41969 45435 55024 49126 61691 57140 44548 34954 27632 31497 511476
1973 29736 25923 34740 44932 55355 56223 64650 59318 54451 42757 28251 26020 522356
1974 26962 33450 37183 50146 57612 60713 67188 67213 53747 41434 30381 32835 558864
1975 32057 30859 40531 44448 61488 64500 63575 67895 57024 45099 31909 31602 570987
1976 32496 31838 45814 48503 58537 57691 64025 63975 33249 32508 28977 27188 524801
1977 26337 31971 38533 48936 53906 55739 61827 52388 47147 36519 30026 25306 508635
1978 15925 23400 33996 45448 55313 59755 60130 63680 50529 41069 31655 28591 509491
1979 22917 29272 39133 55602 56623 58371 58247 55456 55656 41685 30739 27032 530733
1980 29426 21501 32641 51568 51386 59837 68728 69803 55340 46777 23712 21072 531791
1981 22537 26851 35210 47570 46238 48081 53683 54791 45762 29924 20450 21163 452260
1982 20675 26151 30299 40635 50947 50334 52506 50354 35332 28779 19572 19284 424868
1983 22521 19018 24657 35736 45643 43981 45354 32365 31773 24893 19096 17229 362266
1984 20351 25359 34438 35791 42038 36677 35974 36653 37123 27222 15577 10772 357975 
1985 15393 19639 27447 35187 38243 38421 40804 43887 32510 22898 14205 12406 341040 
1986 15393 19639 27447 35187 38243 38421 40804 43887 32510 22898 14205 12406 341040
1987 18018 21376 24301 33489 35638 36153 39159 43545 33320 23475 11621 18659 338754 
1988 16885 22287 32769 28765 38149 34314 36571 38475 31717 24733 16632 18014 339311
1989 16913 21040 33112 38815 39590 38089 41180 39505 34498 25967 20626 19255 368590
1990 20399 21850 31547 37729 44082 37467 41596 39543 34300 24879 21895 24332 379619
1991 16909 24524 15790 31196 38958 35280 36686 35899 30062 26377 19529 16207 327417 
1992 13967 14872 19555 30358 39704 35482 36740 37973 31609 23578 22884 15233 321955 
1993 9082 10894 27676 35671 38643 36069 36771 38495 33946 25742 22853 16812 332654 
1994 20917 15113 25282 34661 35127 35767 37596 37624 33553 26587 21284 16019 339530 
1995 12058 17800 24848 32846 35065 36207 38561 40295 34595 27274 22461 15795 337805 
1996 19176 17936 26678 35711 40654 34032 36429 35770 30568 25652 23558 17664 343828 
1997 13970 20586 30307 34908 37510 35607 36117 38420 28637 22719 24279 23429 346489 
1998 16333 11457 25096 31771 35611 37112 38931 39412 36367 27020 25047 18440 342597 
1999 17282 18711 28134 29962 35709 34618 35483 34600 30588 26141 25979 20302 337509
2000 18281 17839 24019 34297 40498 39824 37891 38578 24609 17351 24591 17288 335066 
2001 15661 15787 20027 30689 40950 36887 35138 37462 31594 26729 26942 18066 335932 
2002 16434 18656 27241 31512 36452 36788 37262 36109 31499 25721 23576 18256 339506
2003 18366 15408 21316 27841 31393 30573 31327 31392 31764 29217 20996 16330 305923 
2004 17487 16588 24449 29444 36180 35511 34725 39194 31653 26672 21357 15073 328333 
2005 8216 8543 23097 31227 38540 36885 39172 34017 29734 24063 25303 17682 316479 
2006 17969 19259 21505 32958 35077 36342 37171 35171 29932 26961 28372 18348 339065 
2007 19321 19215 25882 24574 32816 31827 34260 32901 28417 27397 29859 14705 321174
2008 11839 14944 23217 27351 31031 33546 34836 32974 28182 29448 26577 16214 310159
2009 16756 14944 23931 28447 32088 31011 36559 34751 31171 28271 26500 18301 322730 
2010 12169 13691 22204 28571 33822 34927 38154 36305 31873 25492 25597 16293 319098 
2011 16356 17641 23358 27842 32108 33318 34096 36940 29634 27853 23616 17811 320573 
2012 16517 20569 26380 30699 36418 35546 36480 36699 28650 29301 28326 19338 344923 
2013 17345 19993 26925 31959 35336 35299 35528 34905 29258 28212 27872 22972 345604 
2014 21442 21807 28378 34395 34607 35750 39344 37152 31932 29920 28556 23496 366779 
2015 19891 22229 27418 33116 32211 34808 34087 39388 33767 28341 29939 25186 360381 
2016 14340 24326 30283 31913 36109 41725 40829 42276 32408 27546 28205 22411 372371 
2017 13207 19622 26805 31836 35883 36715 37300 36673 28945 29222 28214 19508 343930 
2018 16302 21572 25067 30350 35198 35410 38698 37185 31594 25539 27291 22161 346367 
2019 17331 15255 24920 31996 35781 36286 39085 43223 35643 32383 25888 20884 358675 
2020 20363 24409 21640 26953 36433 38499 40826 39668 36345 34467 27425 24560 371588 
2021 20352 23500 27362 33445 37956 39690 41058 42032 35378 30488 26307 23167 380735 
