# USBR Lower Colorado Basin Annual reports: Colorado River Indian Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Same as Diversion Data or no record until 2003
1987 475 101 436 244 469 1073 772 1443 421 122 72 104 5732
1988 131 119 220 313 325 469 629 676 418 450 235 220 4205
1989 132 457 396 375 472 430 719 591 522 457 588 340 5479
1990 191 352 277 479 508 560 699 513 680 437 451 232 5380
1991 298 392 521 812 896 1250 1178 1025 787 628 349 312 8448 
1992 # No Record
1993 # No Record
1994 160 175 224 653 759 912 845 1028 1053 359 269 262 6700 
1995 52 210 570 800 1028 1232 1607 1277 1419 349 241 55 8840 
1996 522 134 1108 913 515 856 881 752 574 384 339 343 7320 
1997 # No Record
1998 # No Record
1999 172 331 479 536 550 970 753 966 414 328 129 160 5788 
2000 139 228 187 396 430 509 493 339 276 178 232 151 3557 
2001 120 236 175 468 492 556 485 536 419 371 172 267 4296
2002 146 175 186 155 370 373 381 422 259 258 173 161 3059
# Real Consumptive Use Data starts here
2003 78 219 87 237 208 347 313 275 256 260 114 102 2497 
2004 199 185 202 263 362 412 500 444 410 226 169 162 3534 
2005 167 180 259 316 391 466 535 400 415 341 215 236 3921 
2006 152 176 231 255 321 384 420 409 324 264 193 178 3307 
2007 138 167 229 249 308 366 403 393 318 259 181 162 3173 
2008 129 156 212 231 280 338 367 351 279 236 170 159 2908 
2009 127 150 206 226 281 333 362 351 283 236 171 161 2887 
2010 160 192 264 290 358 430 468 453 362 301 216 211 3705 
2011 139 167 225 246 299 364 395 381 302 257 181 174 3130 
2012 142 173 233 251 309 368 395 378 307 256 185 178 3175 
2013 138 167 227 246 299 359 388 374 296 252 180 174 3100 
2014 139 169 227 248 303 365 394 375 302 255 188 176 3141 
2015 132 158 213 233 283 342 371 365 288 241 175 169 2970 
2016 135 163 225 240 295 355 387 369 295 249 180 172 3065 
2017 78 92 124 138 166 199 216 206 168 142 103 98 1730 
2018 61 72 97 105 128 157 168 161 129 110 82 78 1348 
2019 32 36 49 57 67 79 86 85 68 58 44 43 704 
2020 37 44 54 59 73 85 101 99 77 64 49 45 787 
2021 34 39 48 54 66 76 91 90 68 58 44 41 709 
