# USBR Lower Colorado Basin Annual reports: Colorado River Indian Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1973 23 23 19 25 50 56 66 49 57 0 0 48 417
1973 57 62 55 69 147 190 216 195 175 0 0 122 1288
1973 42 79 57 93 163 192 244 232 179 0 0 0 1281
1973 0 0 46 184 75 0 396 106 251 0 0 0 1058
1973 0 27 86 52 53 0 0 0 0 105 125 290 738
1973 4 5 39 75 63 95 112 41 80 36 6 40 596
1973 353 364 1276 1525 1140 1464 1455 1143 418 0 0 0 9138
1974 30 35 47 50 53 57 68 71 63 55 46 42 617
1974 0 18 26 52 23 0 0 0 0 42 32 35 228
1974 0 93 135 193 111 0 0 0 0 49 36 60 677
1974 115 89 179 254 126 0 0 0 0 62 44 41 910
1974 0 0 0 172 27 159 182 169 109 0 0 0 818
1974 0 37 131 56 64 55 26 91 128 95 0 0 683
1974 7 45 92 96 91 71 67 76 100 8 59 34 746
1974 0 0 0 874 108 1087 1165 1137 1334 32 0 0 5737
1975 32 36 49 52 55 59 71 74 66 57 48 44 643
1975 44 53 37 104 108 117 118 133 126 107 63 40 1050
1975 31 86 51 134 163 227 191 191 184 88 102 101 1549
1975 16 98 81 149 120 240 184 181 142 108 111 100 1530
1975 77 93 75 147 155 246 248 186 104 192 93 84 1700
1975 156 54 1 200 171 0 109 230 323 332 0 0 1576
1975 0 0 0 92 130 28 0 95 101 67 46 0 559
1975 50 66 74 66 81 146 156 119 102 24 124 20 1028
1975 82 52 122 132 243 0 0 0 0 0 126 136 893
1975 202 61 121 101 20 0 0 0 0 0 0 26 531
1975 208 190 298 369 423 0 0 0 0 1 215 65 1769
1975 134 31 52 69 131 0 0 0 0 0 109 36 562
1976 0 1 0 1 1 1 1 2 1 1 0 0 9
1976 0 39 23 39 50 39 45 22 41 3 25 14 340
1976 0 49 45 62 91 106 110 45 116 5 62 51 742
1976 0 56 45 62 91 105 110 45 116 5 62 51 748
1976 66 0 37 66 54 169 80 70 49 0 0 0 591
1976 32 15 40 33 16 26 55 22 41 0 0 0 280
1976 14 17 29 35 56 56 49 66 8 17 24 6 377
1976 52 27 27 49 12 74 91 59 51 0 0 0 442
1976 30 29 62 57 15 80 63 61 68 0 0 0 465
1976 58 80 396 168 100 411 416 404 158 3 0 0 2194
1976 77 36 118 13 4 201 152 76 27 0 0 0 704
1977 0 1 1 1 1 1 1 2 1 1 0 0 10
1977 14 50 76 156 80 237 244 204 166 56 67 48 1398
1977 28 81 59 54 110 135 140 111 136 83 92 44 1073
1977 0 107 25 146 162 179 180 82 215 113 142 134 1485
1977 71 83 80 169 181 189 230 113 370 198 196 167 2047
1977 0 0 0 138 27 78 127 144 82 6 0 0 602
1977 0 71 57 0 0 102 132 61 53 0 0 0 476
1977 6 33 36 50 72 86 87 49 61 18 74 17 589
1977 0 0 0 127 9 113 94 104 54 0 0 0 500
1977 0 0 0 205 14 233 207 337 107 0 0 0 1103
1977 0 0 208 164 20 465 520 389 107 0 0 0 1873
1977 0 0 103 111 0 198 114 134 58 0 0 0 718
1978 6 183 1899 576 1697 2584 2166 1720 320 276 327 60 11814
1978 1 1 1 1 1 1 1 2 1 1 1 1 13
1979 331 253 444 1092 1582 843 902 804 1166 362 321 344 8444
1979 0 1 1 1 1 1 2 2 2 1 1 1 14 
1980 465 587 306 369 544 1175 1364 1407 1135 1079 1023 1317 10771
1980 36 39 70 93 114 124 174 179 157 135 86 63 1270
1981 757 264 480 1435 2139 1985 1519 839 1982 1249 831 566 14046
1981 44 47 77 101 125 137 197 191 196 172 148 95 69 1402
1982 110 294 192 356 485 545 638 128 266 83 203 107 3407
1982 124 120 144 202 275 307 280 229 231 165 183 109 2339
1983 177 137 404 122 184 33 349 334 365 348 559 418 3430
1983 74 90 140 126 259 243 293 299 226 231 141 102 2224
1984 241 218 0 369 404 558 650 516 349 208 156 1 3670
1984 54 46 64 81 91 100 96 113 76 49 77 43 890
1985 0 0 139 387 1046 444 754 1068 833 221 16 15 4923
1985 26 41 95 99 216 78 139 132 85 73 72 69 1125
1986 76 254 414 183 386 583 626 759 328 210 117 99 4035
1986 35 35 41 84 79 118 138 62 74 81 45 42 834
1987 440 66 395 160 390 955 634 1381 347 41 27 62 4898
1987 35 35 41 84 79 118 138 62 74 81 45 42 834
1988 48 29 91 184 154 283 411 479 237 285 119 130 2450
1988 83 90 129 129 171 186 218 197 181 165 116 90 1755
1989 57 370 276 219 291 235 503 375 331 298 466 261 3682
1989 75 87 120 156 181 195 216 216 191 159 122 79 1797
1990 126 300 188 383 390 418 544 363 562 339 381 163 4156
1990 65 52 89 96 118 143 156 150 118 99 70 69 1224
1991 52 57 53 10 101 113 123 106 96 87 60 50 906
1991 246 335 468 803 795 1136 1055 919 692 541 290 262 7542
1992 305 259 388 1162 1215 738 1292 1433 1437 1267 107 190 9793
1993 50 676 1108 985 860 958 1544 877 116 219 198 196 7787
1994 48 38 66 71 86 105 114 110 86 72 51 51 900
1994 112 137 159 583 672 807 731 918 967 287 218 212 5801
1995 52 210 570 800 1028 1232 1607 1277 1419 349 241 55 8840
1996 522 134 1108 913 515 856 881 752 574 384 339 343 7320
1997 84 228 397 385 659 651 555 556 263 243 388 88 4496
1998 697 79 571 1151 1072 1220 1869 1356 1009 1359 457 97 10937
1999 83 260 358 404 389 776 540 761 253 193 33 66 4117
1999 89 71 122 131 161 195 213 205 161 135 96 94 1671
2000 47 155 62 261 265 309 274 128 111 39 134 54 1838
2000 92 73 125 135 165 200 219 211 165 139 98 97 1719
2001 31 123 37 287 286 350 293 358 302 284 101 100 2643
2001 89 113 138 180 206 206 192 178 117 86 71 77 1653
2002 96 123 119 77 276 260 251 297 163 178 110 120 2068
2002 84 88 111 130 157 187 216 209 161 133 106 68 1652
2003 52 324 66 305 206 419 349 308 301 314 109 104 2857 
2003 85 64 88 113 161 194 205 179 151 143 93 75 1551 
2004 254 260 253 347 497 554 694 597 564 280 231 223 4754 
2004 97 67 104 116 141 172 188 186 159 118 67 62 1477 
2005 241 276 389 452 556 668 752 690 578 478 346 332 5758 
2005 53 41 68 106 133 154 191 15 154 123 34 84 1156
2006 188 235 321 346 424 514 561 539 424 355 252 248 4407 
2006 80 76 86 104 142 163 179 183 147 111 89 66 1426 
2007 180 227 309 334 409 496 541 520 409 343 243 239 4250 
2007 64 68 94 105 134 150 170 173 151 114 76 47 1346 
2008 181 225 308 332 407 493 538 518 407 341 242 238 4230 
2008 41 42 56 64 73 86 91 83 71 63 49 34 753
2009 181 225 308 332 407 493 538 518 407 341 242 238 4230 
2009 37 32 46 56 75 78 83 83 79 64 52 38 723 
2010 243 303 414 447 547 664 724 697 548 459 326 321 5693 
2010 32 27 39 50 66 73 79 80 72 57 44 40 659 
2011 201 251 344 371 453 550 600 577 454 380 270 266 4717 
2011 38 35 42 50 60 75 77 77 64 61 41 33 653
2012 202 253 345 373 455 553 603 580 456 382 271 267 4740 
2012 41 44 55 57 74 78 74 69 70 57 46 38 703
2013 202 253 345 373 455 553 603 580 456 382 271 267 4740 
2013 34 33 45 48 58 62 62 62 52 50 38 31 575 
2014 206 257 351 379 463 562 613 590 464 389 276 271 4821 
2014 32 32 39 47 57 64 62 53 53 48 46 31 564 
2015 193 241 329 355 435 527 575 554 435 364 259 255 4522 
2015 34 30 36 45 51 60 61 72 59 50 41 34 573
2016 199 248 339 366 447 542 592 570 448 375 266 262 4654
2016 32 32 47 46 58 67 72 63 57 52 43 33 602
2017 104 129 177 192 234 283 310 298 234 196 139 137 2433
2017 30 29 36 43 49 59 61 56 54 47 38 31 533
2018 79 99 135 146 179 215 236 227 178 149 106 104 1853
2018 26 24 32 35 40 55 52 49 43 40 34 29 459
2019 35 44 60 65 80 96 105 101 80 67 47 47 827
2019 20 18 24 32 35 40 43 44 36 33 28 27 380
2020 38 47 64 69 84 102 112 107 84 71 50 49 877
2020 26 28 29 33 41 43 61 62 48 39 34 28 472
2021 34 42 57 62 76 92 100 96 76 64 45 44 788
2021 24 25 26 30 37 39 56 58 41 35 31 26 428
