# USBR Lower Colorado Basin Annual reports: East Blythe Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 12 12 13 16 20 33 40 47 42 28 18 13 294
1965 15 16 14 18 26 35 43 45 40 26 21 13 312
1966 14 14 18 22 33 37 46 47 41 24 17 17 330
1967 15 15 19 18 25 31 43 37 38 26 20 16 303 
1968 14 16 20 28 31 39 29 42 38 27 22 21 327
1969 16 20 18 20 22 28 32 40 35 26 21 22 300
1970 22 26 24 35 35 51 58 53 50 36 31 27 448
1971 24 28 29 38 39 45 60 62 53 41 34 25 478
1972 28 28 34 42 45 50 56 64 52 36 27 28 490
1973 26 28 25 32 46 45 56 54 46 38 37 32 465
1974 27 31 33 38 46 54 58 59 57 48 26 24 501
1975 25 25 29 33 40 53 66 59 48 41 29 25 473
1976 26 22 26 35 42 57 56 52 47 33 31 27 454
1977 23 27 30 35 44 47 59 64 47 42 34 28 480
1978 23 19 24 42 41 58 72 58 54 49 29 26 495
