# USBR Lower Colorado Basin Annual reports: Fort Mojave Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# This is Diversion data or no record until 2003
1999 # No Record
2000 1250 1638 2111 4247 4701 2741 1865 2074 1318 780 576 3 23303 
2001 389 640 3372 1341 2484 2590 2579 2706 938 484 623 367 18512
2002 409 904 1058 1477 1543 2091 2091 2450 2058 1290 850 273 16494
# Real Consumptive Use Data starts here
2003 305 263 529 914 934 1269 1197 1095 1213 760 221 166 8866 
2004 368 459 627 677 828 1005 1096 1055 829 695 493 485 8617 
2005 189 329 853 932 1024 1271 1231 1120 1066 379 244 135 8773 
2006 340 615 754 1121 1147 1601 1129 1505 1139 480 249 49 10129
2007 313 742 1033 1150 1006 1627 1517 1399 1042 795 510 337 11471 
2008 160 495 871 1163 1075 592 1091 629 713 404 481 348 8023 
2009 781 353 1417 1662 1034 693 938 624 342 758 1006 149 9757 
2010 312 360 438 800 835 831 512 565 469 286 606 319 6333 
2011 236 505 1243 857 1067 884 691 1065 315 265 649 199 7976 
2012 324 588 907 627 902 1177 696 828 296 840 782 554 8521 
2013 232 339 947 966 1049 1097 1176 611 211 307 551 744 8230 
2014 263 592 970 975 1023 810 921 714 622 798 461 732 8881 
2015 278 542 1080 1249 847 779 587 1082 1141 314 188 70 8157
2016 10 251 773 565 779 881 481 966 914 386 160 47 6213 
2017 62 206 655 784 995 1043 645 1159 934 637 261 60 7441 
2018 123 344 761 895 1175 914 703 1122 793 382 417 37 7666 
2019 13 131 466 616 625 685 684 704 435 444 298 1 5102 
2020 110 461 218 665 1020 1035 992 902 726 621 225 80 7055 
2021 293 387 527 801 901 925 696 872 632 500 392 116 7042 
