# USBR Lower Colorado Basin Annual reports: Fort Mojave Pumped
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1975 0 0 0 0 66 146 121 185 128 50 6 18 720
1976 390 252 711 1154 1041 2231 2848 2585 1274 560 505 249 13800
1977 0 0 0 3086 992 1702 813 1413 1432 874 1356 932 12600
1978 211 180 1050 1374 1069 1302 2514 2205 1322 664 554 161 12606
1979 379 536 799 1761 1142 1315 1318 1632 1347 706 530 307 11772
1980 214 290 727 1440 1359 1469 1861 1759 1154 629 407 283 11592
1981 267 332 716 2133 1691 1972 2883 3109 2789 1591 1412 233 19128
1982 289 590 1744 2252 2707 3027 2875 3496 2070 1129 425 156 20760
1983 757 902 1843 3334 2408 2579 1304 1851 2760 2359 2102 153 22352
1984 1408 783 1239 2234 3196 2768 3373 2724 2014 1021 0 0 20760
1985 0 0 0 4138 3316 1348 4162 3602 354 0 0 0 16920
1986 0 0 0 4209 753 6224 4389 4537 164 0 0 0 20276
1987 101 112 150 242 309 388 416 407 356 252 136 112 2981
1988 103 126 242 206 320 401 472 398 327 275 188 139 3203
1989 121 118 220 295 344 406 473 449 383 269 168 149 3395
1990 1109 887 1512 1633 1995 2419 2640 2540 1995 1673 1189 1169 20760
1991 1126 1234 1148 217 2187 2468 2685 2295 2079 1884 1299 1083 19704
1992 28 912 374 941 3612 2998 3100 2623 2017 2343 649 1008 20604
1993 95 0 457 2538 3103 2837 3518 3017 1284 658 798 421 18725
1994 153 128 209 269 306 402 429 375 330 280 212 197 3289
1995 3 368 724 938 2529 2711 3418 4383 1254 2720 1394 922 21364
1996 1085 1239 1614 3066 2871 5161 5325 2811 1337 2587 2019 1075 30189
1997 808 1236 2130 2804 3232 3758 3506 3152 1249 2728 1717 920 27241
1998 1008 404 1042 2174 3477 3510 3284 3677 2704 2816 1224 884 26205
1999 1652 1086 1504 2607 2213 2637 2820 2289 2385 1130 117 519 20959
2000 1247 1636 2107 4243 4696 2735 1859 2068 1313 776 573 0 23253
2001 386 637 3369 1337 2479 2583 2572 2700 933 479 619 363 18457
2002 405 899 1053 1471 1537 2085 2084 2445 2053 1285 848 271 16436
2003 565 486 981 1695 1732 2355 2219 2029 2251 1408 408 306 16435
2004 684 853 1165 1258 1538 1867 2036 1960 1540 1290 916 901 16008
2005 351 609 1583 1730 1902 2360 2286 2078 1979 702 452 250 16282 
2006 630 1141 1399 2081 2129 2972 2096 2794 2113 890 460 90 18795 
2007 577 1378 1919 2135 1864 3019 2816 2598 1932 1472 939 626 21275 
2008 295 917 1617 2158 1993 1093 2025 1163 1320 750 891 646 14868
2009 1446 654 2632 3086 1920 1286 1738 1155 632 1406 1869 275 18099
2010 577 668 811 1485 1547 1539 944 1042 867 527 1123 590 11720
2011 437 936 2306 1588 1975 1636 1278 1972 580 487 1202 365 14762
2012 600 1090 1682 1160 1671 2180 1286 1532 545 1557 1451 1028 15782
2013 428 629 1759 1791 1946 2035 2180 1132 389 566 1022 1382 15259
2014 485 1097 1800 1808 1895 1498 1707 1324 1152 1480 855 1359 16460 
2015 511 1005 2005 2317 1571 1443 1087 2008 2116 579 346 127 15115 
2016 13 464 1433 1046 1444 1633 889 1791 1694 713 295 85 11500 
2017 111 380 1214 1454 1845 1932 1193 2149 1731 1179 483 110 13781 
2018 227 638 1412 1661 2178 1694 1301 2080 1467 705 771 66 14200 
2019 22 240 865 1141 1156 1268 1265 1303 803 823 553 0 9439 
2020 203 854 403 1236 1893 1919 1840 1670 1344 1151 416 146 13075 
2021 543 718 976 1484 1670 1714 1286 1616 1169 926 726 213 13041
