# USBR Lower Colorado Basin Annual reports: Fort Mojave Needles
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1999 8 6 11 12 14 17 19 18 14 12 9 8 150
2000 3 2 4 4 5 6 6 6 5 4 3 3 50 
2001 3 3 3 4 5 7 7 6 5 5 4 4 55
2002 4 5 5 6 6 6 7 5 5 5 2 2 58 
2003 2 2 3 4 4 5 6 6 4 4 3 3 46 
2004 0 1 1 1 1 1 1 1 1 1 1 1 11
2005 1 2 2 3 2 3 2 3 2 2 2 1 25
2006 2 2 2 3 3 3 3 4 5 2 2 1 32
2007 4 2 1 3 6 5 4 3 5 5 9 1 48
2008 2 4 3 4 6 7 3 6 6 1 4 3 49
2009 6 2 2 3 2 2 5 5 4 4 2 2 39
2010 3 2 3 3 5 6 7 8 5 4 4 3 53
2011 2 2 4 5 8 8 6 8 5 6 5 5 64
2012 3 3 4 5 6 8 7 7 5 4 3 2 57
2013 3 2 2 4 4 5 6 4 4 4 2 2 42
2014 3 3 3 5 6 8 5 4 4 4 2 2 49
2015 5 2 3 5 4 5 5 4 5 5 3 3 49
2016 5 2 3 4 4 5 5 4 5 5 2 2 46
2017 5 2 3 3 5 6 5 5 5 5 3 2 49
2018 2 2 2 3 6 5 6 6 7 4 3 3 49
2019 3 3 1 4 5 5 6 6 5 3 2 2 45
2020 2 2 2 1 3 5 3 7 5 4 3 2 39
2021 2 2 4 4 5 5 8 5 5 4 3 2 49
