# USBR Lower Colorado Basin Annual reports: Brock Reservoir Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2010 0 0 0 0 0 0 0 0 0 0 8287 2932 11219
2011 0 4106 15495 12214 12659 1388 11421 12698 16761 13226 10499 4173 114640
2012 11937 11167 15065 10844 9287 6359 10173 17219 10828 10503 9693 3781 126856 
2013 8682 12790 8684 15584 16687 12189 9447 2227 3072 6938 8374 16669 121343 
2014 11058 10616 16225 15509 10630 12758 9854 12776 13049 13877 7599 14416 148367 
2015 9368 13238 16475 10017 17955 8043 13295 6075 13549 10306 9076 15906 143303 
2016 11397 18804 13531 14745 16651 10679 12409 9731 8759 9941 11012 5949 143608 
2017 11514 12385 14275 12542 12290 9489 9140 9392 0 0 10550 14632 116209 # error:  diff = 8 got sum = 116217 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/2017_4.png
2018 12647 9114 14190 11026 13248 13865 13319 18657 13577 13349 20741 8928 162661 # error:  diff = 8 got sum = 162669 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/2018_3.png
2019 13113 6270 9997 13510 10493 9505 5958 11651 9142 8438 8212 8938 115227 # error:  diff = 8 got sum = 115235 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/2019_4.png
2020 16477 12450 11441 16043 10130 11951 6155 13807 8351 7002 12078 12048 137933 # error:  diff = 10 got sum = 137943 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/2020_3.png
2021 6254 11000 8680 10721 14722 9152 8708 12560 16146 10725 13000 11441 133109 
