# USBR Lower Colorado Basin Annual reports: Imperial Irrigation District Consumptive Use
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Bureau wasn't tracking returns until 1984 so this is diversion data
1964 160414 219576 279089 292682 271502 276374 303788 295222 271354 232983 154357 133814 2891155
1965 139548 182472 256718 249850 279260 271357 310602 319947 281478 242228 131056 76793 2741309
1966 103268 166626 258870 311762 311025 331081 325703 316681 256027 230533 155750 177169 2944495
1967 160788 195171 299017 267367 283762 300427 326461 306163 214155 246522 150397 69494 2819724
1968 168766 195649 274280 284980 280745 286905 269518 281248 270935 241192 175592 165731 2895541
1969 104712 202164 294664 291918 288898 275301 284159 282723 213632 250625 121463 156665 2766924
1970 176418 175055 248293 317469 284767 276293 289088 258406 228885 260696 176347 156848 2848565
1971 178390 202119 302853 309761 280014 252181 307047 260622 240857 248532 181569 168593 2932538
1972 213364 199072 301139 320356 303886 273223 303757 281853 268640 162973 157613 180034 2965910
1973 187069 150822 266619 347210 329832 283324 296269 287020 294193 259853 184848 160841 3047899
1974 114592 226609 286729 362442 339987 302846 335320 341891 312343 241020 168454 139744 3171977
1975 194490 198916 289254 311143 347343 265424 286503 297133 283623 255563 178712 162870 3070974
1976 179832 140607 328748 306344 327539 284688 309953 329984 187618 209868 122330 149473 2876984
1977 132503 187912 277938 318347 288312 292331 363218 235092 218141 183424 151577 123267 2772062
1978 57304 160689 256714 340039 306762 277222 320646 312052 271207 194484 148586 111494 2757199
1979 78077 163044 258863 354318 310910 283508 311491 301207 286264 228235 157964 150354 2884235
1980 122274 84770 269671 348545 270006 269965 319777 339150 293787 228967 154119 144748 2845779
1981 114266 195563 267408 349322 289034 275583 327183 299999 263014 212895 146807 131215 2872289
1982 161740 179706 226654 341663 272236 226518 274422 262597 207590 220670 143397 78385 2595578
1983 151450 97313 199652 304463 291918 258499 294651 234777 220484 214052 166052 122306 2555617
# Bureau started tracking return flows here so this is real consumptive use data
# Not sure where returns come from, maybe seepage from All American?
1984 148675 202074 274498 317727 287983 257100 255278 253895 230083 218245 145085 75892 2666535
1985 113062 165987 258412 334378 302019 270479 289880 313498 224501 203284 144295 66042 2685837
1986 114133 165814 257921 333873 301841 270311 289965 313698 224772 203657 144729 66161 2686875 
1987 144170 162609 245524 312994 299807 278808 308669 302740 253716 203711 123511 128606 2764865 
1988 141929 150588 282782 297195 323656 291464 324406 301741 261696 226393 188480 157251 2947581
1989 111321 183731 299503 352195 315680 290587 324604 294799 256873 253037 177845 149276 3009451
1990 142132 179818 274260 325756 345230 306410 339789 306032 251032 239401 190056 154272 3054188
1991 115061 173782 201590 339955 347866 313629 341923 307214 240797 256586 185289 75271 2898963   # 1991-  Return flows appear, not sure from where
1992 119450 123396 197864 311918 305662 284571 307467 228465 199401 223225 177312 93928 2572659 
1993 37765 91233 292369 342050 319455 303076 313901 297833 242503 242838 139230 149895 2772148 
1994 150784 130957 266959 359713 324847 332001 353436 319979 262139 254036 172756 120469 3048076 
1995 55194 166575 310670 336841 337729 341607 364485 332322 256030 245167 175841 148121 3070582
1996 171663 196231 308837 360518 326311 312616 339333 304430 245871 250630 183188 159981 3159609
1997 150354 212160 308131 355427 336072 329783 362694 331212 222508 235982 187820 126343 3158486 
1998 154651 104898 296257 337843 347079 322428 374707 312249 259646 255175 175058 161557 3101548 
1999 164816 174031 289486 310225 342556 328496 310850 294821 253546 264884 191354 163915 3088980 
2000 158755 180485 287587 348919 354864 323688 345689 297317 174190 142743 174208 142806 2931251 
2001 123272 164389 216969 335355 362086 331537 358899 327392 279888 253925 188818 147381 3089911 
2002 149328 191086 276000 328383 350676 327975 372590 332368 263197 244923 181922 134536 3152984 
2003 159259 122913 271705 335677 329714 310733 333122 285588 258034 259556 167528 144394 2978223 
2004 136905 138308 264987 293618 323207 310892 318742 287663 245528 190114 133631 100314 2743909 
2005 98913 90893 263827 312414 325128 309466 326607 253315 255721 204725 177337 138500 2756846 
2006 150565 173519 235192 296102 326851 304453 321454 289904 255962 237608 170171 147899 2909680 
2007 152162 169715 280166 310211 327872 301643 334555 283514 242552 220728 141274 108362 2872754 
2008 117228 176693 299437 346878 321270 287936 316732 273395 222610 207973 156063 98901 2825116 
2009 140917 134520 282114 309782 276354 245190 262306 236834 203085 213474 149318 112818 2566713
2010 82497 97831 238798 284376 302897 269453 296747 263254 235942 179412 163404 119763 2534374 
2011 145509 134978 280666 324170 320862 297813 335676 299550 248710 241509 162356 123985 2915784
2012 153580 181523 291013 339186 338253 308369 295926 243863 236126 238885 164940 111552 2903216
2013 131981 145945 249001 298923 299882 278922 262723 216628 176719 222841 142806 128483 2554854
2014 118093 153047 246639 275660 302145 285409 288395 217518 199814 197573 152414 96707 2533414
2015 117003 157031 234845 276132 234443 253785 250515 235991 203747 217573 169019 130849 2480933
2016 94281 181095 250506 253133 281389 273686 250935 231403 199468 211683 161695 114984 2504258
2017 62921 131912 251544 278050 294189 287259 269301 236779 208689 225927 158292 143308 2548171
2018 126407 167475 232567 291067 309827 292424 269255 259295 216685 217597 161503 81320 2625422
2019 99097 124434 233812 285301 314993 294501 297670 273940 221761 214894 122875 74858 2558136
2020 114309 137756 148124 246220 334156 287971 272904 245581 209804 207834 158108 130856 2493623
2021 95397 145666 249888 285758 301303 276519 263118 237272 209391 209497 152618 130815 2557242
