# USBR Lower Colorado Basin Annual reports: Water Transferred to SDCWA Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2004 0 0 0 0 1714 2154 1722 2142 2351 3221 1055 0 14359
2005 0 0 0 0 1267 8262 5471 0 0 0 0 0 15000 
2006 0 0 0 0 0 9073 10927 0 0 0 0 0 20000 
2007 0 7007 1673 1888 2267 3847 4484 2014 0 0 0 126 23306 
2008 0 1842 2712 773 2317 1632 988 990 3314 4924 6191 402 26085
2009 6002 2194 3449 1480 2132 525 1567 752 2669 4239 3943 1206 30158 
2010 344 0 0 1346 0 0 0 3228 27324 24419 22608 1013 80282 
2011 0 0 0 0 0 0 0 0 0 0 0 0 0 
2012 0 0 0 0 0 0 0 0 5745 8163 0 1202 15110 
2013 3878 4605 1240 2452 1574 2926 2654 2737 17741 19417 12246 0 71470 
2014 13008 5441 7492 7051 4698 5189 5999 7965 2875 9366 9850 10234 89168 
2015 12989 4921 1662 2724 6550 10010 8534 19276 17977 26394 23071 19219 153327 
2016 21353 12464 15368 8138 9473 6971 2472 2473 6651 15443 15875 14115 130796 
2017 17178 10428 5068 3278 2431 4647 6840 7330 3447 11442 13207 19859 105155 
2018 0 0 0 0 0 0 0 149 0 0 0 0 149 
2019 0 0 0 0 0 0 0 0 16 0 0 0 16
