# USBR Lower Colorado Basin Annual reports: Metropolitan Water District Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 77930 9507 82294 105017 100452 102248 99348 98 626 102192 9 522 100 379 1134504 # error:  diff = 453782 got sum = 680722 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1964_1.png
1966 -8260 24910 45880 88540 360 60 380 67 320 5 8 43490 390 12000 6550 0560 # error:  diff = 214140 got sum = 214700 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1966_1.png
# Gap from 1964 to 1966
1971 8750 30720 38840 52270 51990 54090 76620 44200 42660 17780 20780 19880 458570 # error:  diff = 10 got sum = 458580 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1971_1.png
# Gap from 1966 to 1971
1972 14 13 13 33 35 33 35 33 33 10 9 9 270 
1977 57553 97538 124432 110209 136302 122745 117709 113671 89486 117205 113394 116648 1276891 # error:  diff = 40001 got sum = 1316892 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1977_1.png
# Gap from 1972 to 1977
1978 71081 43907 64337 310 42133 62308 61598 66098 63126 63189 51681 57085 709859 # error:  diff = 63006 got sum = 646853 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1978_1.png
1979 48 69 39100 51453 74604 86008 81650 8149 81 60382 68912 66859 68021 808757 # error:  diff = 203421 got sum = 605336 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1979_1.png
1980 52374 86122 42121 68438 92435 80914 81079 86632 59813 75357 70397 61465 817147 # error:  diff = 40000 got sum = 857147 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1980_1.png
1982 36089 89637813 57845 6681 6101443 896823 92463 87041 32925 34224 30680 38789 712951 # error:  diff = 96339865 got sum = 97052816 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1982_1.png
# Gap from 1980 to 1982
1984 86821 62302 106008 108377 11996 109383 112638 112337 109442 112550 109013 92652 1233519 # error:  diff = 100000 got sum = 1133519 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1984_1.png
# Gap from 1982 to 1984
1985 83513 81604 104171 106555 118538 110769 113748 114669 108205 112418 111201 104135 1269526 
1986 82914 98760 109071 110360 115338 110637 112300 112768 10183 113164 110230 113925 1299650 # error:  diff = 100000 got sum = 1199650 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1986_1.png
1987 109943 101946 105935 110267 106170 111402 108063 109320 109464 103251 99599 103476 1278836 
1989 92199 9116 98745 97017 100074 95964 106734 105096 104662 107166 93019 109553 1201390 # error:  diff = 82045 got sum = 1119345 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1989_1.png
# Gap from 1987 to 1989
