Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 78433 72460 99990 81775 105140 100585 102248 99348 98626 102192 95522 100379 1136698
1965 97865 71897 104794 101933 105210 102214 97093 105875 100009 103293 99735 88140 1178058
1966 50927 63034 87617 102996 108484 104709 107531 107334 102440 105383 100425 105302 1146182
1967 105239 88851 79701 89372 96583 99547 104862 108196 103966 96660 102670 46986 1122633
1968 72145 75238 84793 98120 109134 105766 106222 108524 104251 106937 102418 107979 1181527
1969 103975 92268 65376 69858 89539 82628 110705 110091 102157 101461 97550 102967 1128575
1970 78502 97871 92515 104883 109970 106837 109301 105789 102971 106762 94618 90334 1200353
1971 97884 82481 102276 104432 107971 104139 107793 107045 103799 107763 103620 82797 1212000
1972 107209 100147 107934 96414 109117 103494 115473 113591 102879 107734 97353 50655 1212000
1973 107544 67258 57922 94058 108179 104851 108332 107672 104473 107481 104236 98134 1170140
1974 100044 44778 103356 103552 107637 104316 106731 106048 102098 107493 53953 81782 1121788
1975 55085 53111 68495 66992 79964 75476 82247 80320 66446 67710 40681 41968 778495
1976 48117 52310 67639 68407 76949 78962 93952 94015 71771 51639 40023 50836 794620
1977 57895 97844 114763 110509 116597 113018 118001 113969 89786 117528 113706 116982 1280598
1978 71435 44390 64680 63462 42444 62690 61898 66411 63428 63514 52021 57443 713816
1979 49048 39414 51804 75002 86305 81950 81790 81815 60692 69237 67183 68368 812608
1980 52745 46435 42468 68763 92762 81221 81394 86939 60114 75719 70758 61847 821165
1981 62456 46612 57336 78616 97515 84337 93356 73755 78948 66651 48646 42000 830228
1982 36416 38107 58148 67100 101709 97088 92745 87333 33222 34538 31000 39130 716536
1983 80216 29125 40396 59939 53189 66980 100577 102415 100355 93407 99509 81456 907564
1984 87162 62608 106338 108686 112283 109656 112942 112644 109722 112869 109324 92996 1237230
1985 83859 81909 104508 106863 118838 111032 114020 114980 108518 112734 111509 104466 1273236
1986 83252 99057 109392 110652 115628 110912 112603 113051 110472 113480 110524 114253 1303276
1987 110272 102234 106256 110555 106460 111654 108318 109573 109706 103546 99899 103804 1282277
1988 103115 88448 103354 99686 99078 101025 104548 105713 93933 102042 100180 102449 1203571
1989 92520 91441 99037 97278 100348 96214 106952 105256 104897 107457 93309 109869 1204578
1990 97563 92127 100251 96223 105075 102937 105041 103786 102480 102395 100004 110439 1218321
1991 106398 97079 102139 96969 109746 104761 110195 107163 104936 107462 101426 107446 1255720
1992 105206 80114 80399 67553 110477 106373 111106 104651 105008 111585 104801 110149 1197422
1993 96127 75305 55497 107767 111286 107108 111885 110537 108843 110613 102199 110164 1207331
1994 110894 100136 111248 105869 110439 106918 110324 111262 109069 110177 106483 110393 1303212
1995 105094 52796 69756 55351 68716 89269 100747 112160 109708 98960 67317 67540 997414
1996 79704 82958 101481 107247 112531 107548 110897 113028 108548 109932 97811 98668 1230353
1997 84340 71401 109542 107354 111957 107547 111903 111843 109305 112531 106152 97946 1241821
1998 109503 73607 64205 50215 62486 86048 109388 110925 101467 97482 107138 103831 1076295
1999 80553 65865 95155 105639 110370 107321 112179 109171 108242 106749 102703 111277 1215224
2000 110395 103016 110734 107207 111766 106455 111351 111116 106475 110073 105295 109265 1303148
2001 98605 97880 106470 105630 109377 105988 108907 109979 96830 106189 105182 102542 1253579
2002 107628 98124 109414 105566 109671 106214 108817 111405 106218 58572 109036 110423 1241088
2003 58009 6390 81919 83190 53477 34569 50924 62910 56943 57644 66941 75127 688043
2004 58168 56204 55576 69165 65819 67778 49989 41506 40190 38366 95510 94824 733095
2005 767 36515 16657 77392 84138 102121 101079 93584 92458 98151 99967 36875 839704
2006 42457 35509 38658 59230 73437 73909 77987 84472 56190 20889 10658 21148 594544
2007 44145 52675 13191 69480 79316 76463 56987 91007 84397 21071 22980 26952 638664
2008 74333 60387 39002 68858 89357 86628 79912 75030 74649 69110 46398 57550 821212
2009 88954 70242 86646 84918 88837 85815 88168 88135 83783 14603 95095 92299 967495
2010 87372 54322 77532 31152 89995 78850 95038 96124 86344 90091 86104 77159 950083
2011 40138 17523 54757 55355 64490 74175 77208 70178 64351 6673 5401 11752 542001
2012 54645 49143 21531 97207 100058 96743 101162 100235 74027 14589 14103 15574 739017
2013 57146 7378 97929 84474 97143 103862 100496 99033 91631 98945 77244 100525 1015806
2014 100886 48534 89762 104968 110487 95067 105428 106116 101854 105189 102029 108774 1179094
2015 104934 54259 86138 104523 108699 103626 107504 107286 103856 102236 98027 100509 1181597
2016 96884 13000 88401 92503 97213 94779 99653 85106 88504 79594 78314 85868 999819
2017 68003 13265 24003 42451 44199 57439 58044 57955 55601 69368 89259 100180 679767
2018 29412 12386 60965 75328 86502 90959 101030 99448 94717 86296 85170 69631 891844
2019 87256 30770 11177 27666 51179 53447 58529 67254 60675 30390 15577 46288 540208
2020 16841 3351 42623 55422 61481 93553 95238 78050 91361 93756 91498 95046 818220
2021 70063 0 99342 101821 106984 103170 105993 99981 96859 99115 96384 98409 1078121
