# USBR Lower Colorado Basin Annual reports: other users pumping Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 597 509 874 981 1159 1277 1425 1319 1199 1113 741 648 11841 
2004 554 681 1063 1108 1237 1411 1172 1475 1074 896 1164 624 12459 
2005 511 610 910 999 1224 1287 1395 1345 1221 959 817 664 11942 
2006 458 545 730 887 1028 1226 1324 1200 1014 952 668 614 10645 
2007 479 561 767 857 1057 4172 1381 1210 987 840 699 597 10607 # error:  diff = 3000 got sum = 13607 2007_2
2008 468 601 854 907 1012 1146 1222 1165 917 765 545 536 10137 
2009 395 489 665 720 883 1063 1167 1125 878 737 530 498 9450 # error:  diff = 300 got sum = 9150 2009_2
2010 208 253 338 373 454 552 608 567 458 392 278 262 4743 
2011 293 358 481 524 634 767 860 817 641 536 399 378 6688 
2012 330 401 538 660 811 1023 1020 1003 760 643 527 441 8157 
2013 330 392 544 671 757 931 877 867 761 583 462 411 7586 
2014 322 399 556 610 711 867 876 886 671 578 447 414 7337
2015 267 361 525 536 575 692 724 741 649 519 366 366 6321
