# USBR Lower Colorado Basin Annual reports: other users pumping diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 2133 2845 3467 3346 3812 4030 4144 3759 3579 2468 1796 1206 36585
1965 1313 2748 3592 2775 3633 4201 4825 4452 4131 2653 1412 610 36345
1966 774 2331 3586 3855 4098 4171 4827 4427 4064 2449 1945 1719 38246
1967 1982 2934 3615 4035 4797 4928 5020 4780 4020 3552 2321 1391 43375
1968 1661 3090 3757 4104 4629 4677 4141 5598 4001 2936 2230 2600 43424
1969 2125 3133 3850 4208 4656 3795 4576 4645 4260 2670 1648 2086 41652
1970 1705 2425 2555 3663 3675 3928 4181 3760 2722 2240 2048 1350 34252
1971 1645 2052 2872 4130 4163 4234 4999 4049 3363 1675 1697 1842 36721
1972 1431 1617 3390 3540 3929 3170 4103 4328 3370 1448 698 1475 32499
1973 1038 1191 2050 1923 3011 3045 3702 3908 2870 1597 1353 1119 26807
1974 761 1180 2298 2770 2936 3032 3742 3525 2956 1010 821 469 25500
1975 1452 868 2651 3383 3896 3347 3252 3299 3806 2361 1462 1366 31143
1977 336 543 2219 1673 1607 2591 3213 3095 1392 438 258 422 17787
1978 459 646 811 2986 1681 2753 2575 2119 2160 502 259 86 17037
1979 369 197 2228 1509 1460 2712 3294 3706 2035 434 238 267 18449
1980 161 945 1982 2726 1723 2703 3380 4967 3284 1848 452 276 24447
1981 429 918 1401 2152 2448 2651 4609 4141 2886 1203 475 611 23924
1982 919 719 1362 1970 3048 2213 3588 2912 1806 1089 794 241 20661
1983 417 603 1431 1914 2120 2362 2074 2882 1469 761 436 175 16644
1984 238 532 1479 1232 2502 2441 1637 1433 958 916 637 336 14341
1985 899 610 1410 1748 2799 1811 2045 2434 2173 769 547 228 17473
1986 1067 534 1622 1435 1642 1448 2118 2103 1691 1003 412 789 15864
1987 740 572 1505 1352 1993 2343 1957 2517 2607 1630 1106 611 18933
1988 331 690 1454 900 1693 2489 2492 2080 2038 1519 1951 1502 19139
1989 846 1157 2845 1686 2804 2509 2435 1205 2326 1721 1316 1144 21994
1990 979 1343 2006 1974 2621 2422 2642 1974 2153 1946 2224 1234 23518
1991 1290 1926 1575 2411 2957 3579 3625 2345 2660 2513 3070 2063 30014
1992 1572 1355 1338 2557 2395 2350 2331 2267 1477 1442 1627 890 21603 # error:  diff = 1569 got sum = 20034 1992_2
1993 950 1005 2524 2939 2540 2568 2920 2554 2119 2643 1927 1690 26381
1994 1244 1453 2053 2923 3156 2476 2475 2019 1911 1901 2046 1602 25261
1995 814 1725 2074 2387 2420 2118 2268 2543 2284 2647 2078 1721 25081
1996 1849 1613 1982 2506 2986 2509 2477 2350 1769 1551 1174 1184 23950
1997 751 1113 1332 1736 2619 1984 1974 1815 1062 1198 1035 1180 17799
1998 1088 878 1760 2120 2640 2269 2449 2583 1750 1385 1637 1128 21687
1999 1023 912 1343 1599 1886 2259 2547 2347 1906 1528 1213 1024 19590
2000 1121 862 1437 1694 1987 2460 2603 2502 1954 1717 1142 1082 20561
2001 862 802 1169 1492 2118 1733 1857 1943 1952 1625 1220 1077 17850
2002 890 964 1273 1601 2192 2247 2404 2351 2058 1711 1121 1189 20000
2003 1071 910 1565 1757 2075 2285 2552 2361 2148 1996 1328 1160 21208
2004 999 1228 1914 1995 2228 2543 2109 2656 1935 1612 2098 1119 22436 
2005 910 1088 1628 1791 2188 2302 2493 2407 2187 1716 1462 1188 21360 
2006 818 974 1306 1564 1830 2187 2358 2139 1809 1699 1187 1092 18963 
2007 854 1003 1373 1535 1902 2103 2486 2170 1774 1502 1237 1054 18993 
2008 837 1081 1528 1631 1817 2061 2194 2092 1648 1376 979 960 18203
2009 710 881 1200 1298 1589 1917 2104 2024 1582 1330 950 907 16492
2010 366 447 604 661 805 983 1077 1014 818 691 490 469 8425 
2011 523 643 871 949 1145 1390 1551 1477 1157 964 718 677 12065 
2012 588 723 973 1185 1467 1851 1846 1808 1377 1157 948 795 14718 
2013 591 704 984 1209 1374 1680 1590 1568 1383 1054 830 740 13707 
2014 579 719 1009 1102 1285 1555 1579 1604 1220 1050 810 744 13256
2015 477 654 947 973 1038 1255 1314 1340 1171 940 668 660 11437
