# USBR Lower Colorado Basin Annual reports: Palo Verde Irrigation Consumptive Use
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1990 2646 25160 38300 46705 59871 70110 72028 57153 34398 20600 11898 20746 459615 
1991 1090 23430 10271 47822 55501 67816 67948 55380 36917 27951 8051 10788 412965 
1992 589 14219 17665 49421 59116 67016 60135 21567 25247 14664 8774 -3724 334689 
1993 -11219 -3389 30351 44314 47579 50948 59176 44689 31274 19075 5556 16113 334467 
1994 5715 12797 23165 39677 41711 55116 55076 64105 39417 24896 14700 6101 382476 
1995 -13835 6811 38608 49316 56855 64460 68438 63033 39762 20403 11293 21455 426599 
1996 11352 26907 44958 59997 61061 63980 69571 56589 33276 28493 14046 23342 493572 
1997 6312 28393 38305 46803 63304 63995 61350 60241 21731 19850 5455 6112 421851 
1998 3739 -3972 33811 54248 62690 67592 70294 59509 30463 30312 9253 9174 427113 
1999 8837 25779 38220 39615 61708 62873 66549 65652 40800 26928 14744 17183 468888 
2000 8324 28970 40639 61593 70964 74544 78427 59999 41251 23687 10805 12744 511947 
2001 -4847 28695 16524 54474 67185 83844 78134 67148 42760 24763 17157 16797 492634
2002 11475 27068 38115 58712 68231 75928 86954 80845 37945 31374 14078 10061 540786 
2003 9012 8698 34238 48101 55410 53573 52923 50041 37115 12748 471 17320 379650 
2004 4624 21852 37469 47762 65236 66799 72969 58845 29767 7220 -1936 2093 412700 
2005 -10453 -6340 26451 41413 52570 58160 58310 36008 43023 14060 5956 5781 324939 
2006 5887 18901 23443 33458 46437 52785 55463 54649 34728 18006 6855 4286 354898 
2007 3046 17860 25871 35907 59726 55836 56020 56327 42589 16986 7756 -2577 375347 
2008 1675 20914 35940 42729 46145 55129 55639 50993 35113 21730 8168 820 374995 
2009 2120 8334 28773 35463 45013 43745 45666 34831 26568 10384 3070 998 284965 
2010 -10828 -4717 20564 25107 37421 43368 53829 52385 34154 11252 7403 -71 269867 
2011 1483 10929 25417 34965 40760 47861 46990 56493 40693 16325 412 -2240 320088 
2012 1396 22646 33727 33156 54177 56779 42939 49197 39142 23008 7045 -989 362223
2013 5116 21068 39723 44495 65329 67037 56603 58503 38503 26068 695 10427 433567 
2014 7695 19634 36211 49298 63698 66360 62985 34048 44413 24441 10114 5664 424561 
2015 3236 20962 31930 52312 46457 54203 55124 52560 36980 21537 13624 10106 399031 
2016 -3769 14455 29260 34447 46233 51387 51955 50235 29874 19693 9012 -4667 328115 
2017 -6144 8244 24129 35500 34100 47589 53730 48552 25188 20574 4974 4506 300942 
2018 4083 13829 29554 35280 50333 48822 52520 63874 41937 7099 9609 -2713 354227 
2019 -1195 16913 35311 38197 47365 52489 61567 53666 39763 15835 243 -9797 350357 
2020 5660 13790 4618 35165 52368 53077 59876 53005 39137 19871 4433 5085 346085 
2021 -4910 14391 37699 42687 51492 55806 63423 50272 33743 17660 6845 -229 368879 
