# USBR Lower Colorado Basin Annual reports: Palo Verde Irrigation Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 59140 75410 82990 85140 92230 108200 116400 99750 84750 54560 36650 32690 927910
1965 26330 57690 72320 46760 75350 99290 114200 106100 86450 48420 28160 14250 775320
1966 10920 45030 77790 84610 89400 101400 114500 104400 90120 38550 43610 37520 837850
1967 31390 64500 74290 76200 88800 96300 109100 91910 74360 54620 40400 28280 830150
1968 37780 60370 79240 87070 89910 95960 102400 101400 86360 51280 50300 41260 883330
1969 21380 61320 82670 86460 90920 95210 106900 114600 84680 53390 42960 48020 888510
1970 38410 56230 61880 92990 92230 92210 107500 87330 78580 60760 55370 46890 870380
1971 38910 61580 75200 89590 93680 90570 115800 86000 82160 54200 54730 54070 896490
1972 38860 59740 79930 95600 96560 91460 112500 94100 77930 33350 50550 55640 886220
1973 37360 39810 59980 101900 110100 102400 117900 104600 92510 61620 48140 43830 920150
1974 36650 65180 79110 97850 100600 102700 108900 100600 92230 54230 50080 43940 932070
1975 53818 60162 78489 91156 107307 84259 103935 101813 87988 67445 52140 45351 933863
1976 39011 41687 87782 91223 102666 100960 113774 109311 64493 50994 51012 41540 894453
1977 40376 59412 77317 96021 96120 110838 127162 97725 70486 51123 50444 45270 922294
1978 20398 50506 79995 108894 96121 106673 122203 96636 72201 50980 47074 36098 887779
1979 30102 53475 81609 105879 107150 107823 113813 99968 94772 57226 50200 49740 951757 
1980 31760 39472 83057 106534 85784 98858 116352 107387 89734 58337 46188 42992 906455
1981 41360 67941 72301 103935 105066 120855 130197 126488 102666 55524 41094 40126 1007553
1982 37468 61907 76878 108279 100147 106871 122025 107030 96299 56353 37798 30919 941974
1983 33975 45289 64658 84933 85350 92411 94851 71987 80607 47384 44046 41179 786664 # Last digit of 64658 unreadable
1984 33880 66860 81004 93224 94871 93443 87667 88176 86225 49869 39535 20151 834905
1985 26563 54848 81919 98858 97013 104907 109291 108180 70664 45999 45254 36400 879896
1986 36978 52948 81433 94553 90705 96735 102825 108288 81490 47312 42723 36986 872976
1987 33795 60098 72312 89723 90824 102269 107168 104550 76513 53701 35576 38041 864570 
1988 29245 53630 87512 71424 98064 110302 128451 99502 69795 51962 47299 51464 898650 
1989 27210 57920 82375 95129 96200 107486 121192 107248 82732 58743 48322 50869 935426 
1990 30920 54930 74300 82800 100900 111700 116400 103400 76330 62490 47640 55670 917480 
1991 29920 53070 43250 82250 92010 104900 109900 98760 78150 68490 45300 45920 851920 
1992 28590 44910 52710 82900 100600 108600 102200 62180 61330 50870 42000 31270 768160 
1993 6340 21130 59510 77360 85030 89130 98220 84860 69170 57410 38690 50250 737100 
1994 31460 40000 54980 71580 77730 90940 91850 103200 79920 65730 50580 42400 800370 
1995 13490 32330 69720 83520 95310 102800 110700 106900 81620 61540 46540 57330 861800 
1996 39170 57400 78400 97800 104500 107200 113600 103100 76930 68440 48870 57600 953010 
1997 32700 58990 75330 84360 105000 107300 108500 110100 74250 67120 49460 44410 917520 
1998 33700 25630 70190 93560 107100 111200 117900 112900 78530 71280 49030 47890 918910 
1999 37990 56950 74980 75720 101700 103800 108900 110500 83490 70250 55750 58840 938870 
2000 39860 61580 78700 99420 113500 115800 118500 108900 82470 67300 48320 48410 982760 
2001 20180 57230 46160 89440 107000 123800 119200 114200 89810 68870 53800 55050 944740
2002 43130 59370 75370 95900 108800 113200 127900 121600 78590 73350 53470 47930 998610 
2003 36210 41450 73160 92080 105400 107500 105700 103700 88250 64750 41290 57870 917360 
2004 39560 58710 80700 94590 116200 119600 126900 116700 88360 53160 35980 38580 969040 
2005 19420 22970 61400 82610 94260 101700 105400 81410 88620 56190 43990 42490 800460 
2006 36540 51620 61870 72490 91720 98680 102400 103700 78640 63980 45530 44150 851320 
2007 36710 52060 67870 77590 107900 107300 113000 110000 96320 62710 48280 37350 917090 
2008 31530 54740 76260 88090 93760 103600 106000 99350 83030 64800 46220 33840 881220 
2009 33230 39130 65160 74900 86000 86140 89230 81760 70630 52020 36560 32030 746790 
2010 16170 22800 53480 58620 76110 82260 95050 99510 79570 55190 44310 33530 716600 
2011 31720 41540 60520 73620 87720 95740 93440 105100 87610 60120 38390 34740 810260 
2012 31670 58190 75670 72970 100400 104200 93600 100800 90290 73870 51030 41190 893880 
2013 38430 55930 83250 89060 116100 117500 109200 109400 86740 74800 42820 49040 972270 
2014 43700 58150 80520 94280 112400 113700 114200 80800 88300 68430 49860 44290 948630 
2015 35630 52620 69160 93500 88680 97070 100000 94830 77680 61460 50320 45890 866840 
2016 25610 45260 62710 67820 85960 91900 96870 94810 72010 58870 42330 31070 775220 
2017 21570 37260 56450 69810 73910 88880 96140 89970 64840 58960 38040 37040 732870 
2018 30220 41800 61450 65740 85820 87350 91500 106700 82930 44910 43660 29290 771370 
2019 29430 45130 68760 72010 85190 91750 105400 98680 85240 60750 34680 22050 799070 
2020 35240 44410 37460 69840 91680 92910 102300 96870 81800 61260 39160 39130 792060 
2021 25810 43720 73250 78780 90720 95720 105500 93940 76100 54640 39690 30980 808850 
