# USBR Lower Colorado Basin Annual reports: California Totals Consumptive Use
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 284463 364526 457713 471369 486625 509167 553773 516023 471527 393665 285372 270510 5064733
1965 272422 324257 447909 419945 496242 504828 554827 563395 484776 401398 256030 173958 4899987
1966 171222 285730 442824 520369 538763 565010 575376 551496 458044 371727 298437 317914 5096912
1967 302994 361164 461326 442187 492504 518525 561663 523074 395787 402943 287399 137147 4886734
1968 283342 342761 448412 480593 497719 513637 502254 507965 467929 396744 322513 308645 5072533
1969 226657 363534 452649 461690 492706 473739 527560 531901 412673 403355 251360 298684 4896527
1970 295998 333358 406760 527750 502816 499641 530524 469322 418256 426692 320829 282989 5015018
1971 317808 352065 491703 517217 497825 465374 559265 475520 442456 411865 338548 304535 5174268
1972 369032 364020 506876 531951 534031 489043 567413 517379 461929 300942 304049 283883 5230635
1973 336720 260124 395955 564847 572380 517369 559106 527334 513230 440041 332731 297626 5317547
1974 249965 346221 477252 586293 572757 542265 589086 583282 525453 408391 268643 264099 5414040
1975 305630 316776 449514 488663 565324 458231 504068 514487 460425 400252 271429 248826 4983705 # Total could be 4963705
1976 275323 238061 505649 483839 530741 493182 551603 566049 313626 308410 208277 231524 4706594
1977 221795 352675 478176 544692 517749 544189 642359 461707 389153 354577 314230 275931 5097343
1978 134772 255664 410828 527732 466521 482846 540273 503335 423457 313575 245969 198258 4503340
1979 144982 261198 403888 559614 526623 504197 536333 502900 459868 358955 269881 259874 4788423
1980 208148 165767 403602 544012 463069 482119 559103 571947 462914 369578 257891 237218 4725496
1981 211829 311747 403808 551205 503954 502281 581342 526787 452837 325484 222023 202650 4795949 
1982 230638 283995 362120 527541 491147 451383 514883 471207 333399 303338 198229 131919 4299799 
1983 261539 167840 303187 458100 446683 434461 505443 404836 394814 343102 297002 228038 4245045
1984 263755 326587 463119 524470 504495 462611 449555 454392 424004 371443 271892 160780 4677103 
1985 210696 296548 437380 546923 525497 489082 519891 545274 393106 343838 277963 192550 4778749 
1986 221879 311686 441714 545389 511325 485311 512270 543865 405043 346555 274905 203696 4803676
1987 277939 320898 416510 518402 501723 499731 532254 527562 443696 355205 239829 258212 4891961 
1988 265451 290541 480097 468517 531843 508374 562631 507564 424526 375965 325281 298889 5039679 
1989 224847 330992 489626 557297 520782 488376 558882 507264 445715 416650 308196 295790 5144417 
1990 266498 324744 453634 516609 566020 529829 571408 513437 431655 399998 332597 313028 5219457
1991 241041 324619 335624 525419 566052 535167 569464 515508 423150 432526 324300 212725 5005595 
1992 241792 236636 320083 469672 525354 503960 526693 412662 379079 389028 321194 220035 4546192
1993 129765 176640 414678 545083 530319 507625 532389 500964 424248 409309 273547 297462 4742028
1994 291736 263898 435862 554334 523088 541607 563298 540518 451849 428386 320415 254409 5169400
1995 158046 250623 452458 485417 510721 541158 581800 557346 447299 402705 282706 255201 4925480 
1996 286610 329774 491228 576678 552099 528939 567098 516625 423927 424492 323129 302056 5322652
1997 256574 337530 494843 554721 562270 546991 582208 549294 386112 398014 327941 253622 5250119 
1998 288126 187139 426680 486291 520678 524438 605331 532266 435649 420430 322111 296091 5045228 
1999 275291 288104 457987 495909 562047 542969 533713 512068 438849 432719 339240 315484 5194380 
2000 299147 335657 472281 565920 590723 552780 580433 511463 353023 297296 319426 284064 5162211 
2001 235368 310677 366407 535717 593163 566663 589293 548496 457645 421254 342568 287466 5254718 
2002 289145 339988 459264 537194 576436 555056 615433 567644 444876 368918 335763 275891 5365609 
2003 246971 153644 416174 504884 478069 434218 473590 433069 388474 366376 258372 254905 4408746 
2004 221166 237242 392360 450334 501285 489702 484423 434337 354259 271190 254317 225570 4316185 
2005 100485 132078 337760 473454 511763 523274 537968 422475 428019 349081 314286 213615 4344258
2006 244984 253322 328403 433337 492627 484064 511635 470465 383406 312303 223065 197687 4335299 
2007 227318 275839 359914 457405 518079 482430 497339 476744 408129 298273 211888 157337 4370695 
2008 213982 286047 416618 504906 506188 475709 500197 444101 373128 344176 252512 181247 4498810 
2009 267120 244172 443569 481260 463414 420202 449168 409533 360987 288152 292636 237860 4358074 
2010 183385 174030 375260 389511 481904 441951 501023 467149 430782 348168 320482 231975 4345620 
2011 218239 188974 409563 467821 484968 478232 520926 489191 404435 299026 196058 155228 4312661 
2012 228158 277273 380935 509205 536664 501715 479910 434609 385103 318617 216935 147594 4416718 
2013 216806 201525 422252 472366 506130 493786 462052 417254 355558 400136 262915 265009 4475789 
2014 263854 251788 415742 481151 523387 493609 506040 408488 383090 370843 305952 245790 4649734 
2015 258934 262979 390407 478782 434775 458893 457516 460369 398263 398916 335176 285746 4620756 
2016 223907 248525 421500 428164 475997 472084 449881 413384 359802 359835 296041 231981 4381101 
2017 154193 183907 337284 399845 417226 438278 428840 392519 326208 362216 296444 289555 4026515 
2018 177404 217310 354906 441875 488852 472247 464248 464815 388710 339339 286089 169730 4265525 
2019 202959 188497 309787 390512 456030 441070 461068 439355 358511 296792 166174 129931 3840686 
2020 157468 179814 217744 369932 490854 476397 471224 419801 377851 357823 284572 256431 4059911 
2021 181235 184504 418449 469090 502162 476717 471768 428707 375258 360112 284082 252643 4404727 
