# USBR Lower Colorado Basin Annual reports: California Totals Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 333637 411331 514839 521251 536912 556629 600346 568553 519615 434945 320193 300981 5621232 # error: diff = -2000 expected =  5621232  got =  5619232
1965 298632 352718 487760 455115 534631 544505 600094 612261 531995 440912 288208 199007 5345838
1966 191808 307442 477083 558660 581232 608538 625054 603807 506596 412092 331565 350594 5554471
1967 330588 390271 502818 481823 536552 563365 612744 575285 443383 444810 324115 169772 5375545
1968 312133 373688 489499 524013 544198 559638 550994 559900 517854 442612 361912 347746 5584206 
1969 257935 394555 494267 506181 540891 520579 576577 583891 463469 448556 289408 337071 5413399
1970 326895 366403 446982 570518 548342 540034 573739 516546 462333 469144 358138 319327 5498484
1971 349518 384495 529817 556836 541628 503983 600619 519851 484505 451010 374971 341033 5638353 # error:  diff = 86 got sum = 5638267 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1971_2.png
1972 399488 396234 543931 571764 578330 529478 609507 560460 504792 344457 339982 323657 5702167 # error:  diff = 87 got sum = 5702080 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1972_2.png
1973 367710 290988 429294 602545 618054 560069 603989 574937 560230 482836 372862 333979 5797577 
1974 282707 378550 517345 627389 619739 585282 635005 630703 572848 452652 309569 302119 5914241 # error: diff = -333 expected =  5914241  got =  5913908
1975 342999 350862 488972 528995 612321 500582 549741 562484 510013 447039 312542 289387 5496007
1976 307583 273696 545002 528796 578187 539331 601262 617877 370691 354927 251018 273844 5242324
1977 260112 385543 517886 587072 566341 590533 690393 515138 436393 394575 351709 315678 5611483 # error:  diff = 110 got sum = 5611373 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1977_3.png
1978 166885 285270 448523 570275 513967 527772 586712 553779 467285 355464 284477 236184 4996703
1979 183114 292068 443126 603724 574743 550604 585528 554621 507179 403404 311321 299789 5309331 
1980 239821 199807 440721 588603 511876 528070 607598 623568 512742 418137 299716 275937 5246724 
1981 246291 345765 443746 593902 552419 549234 629635 575942 504642 373514 263483 240291 5318864 
1982 262146 315686 402693 572845 540213 497527 562335 524478 382663 349652 236989 170188 4817415
1983 293105 196706 339146 497483 488136 474863 547572 452895 442932 388180 335819 266264 4723101
1984 297850 365425 507637 568094 551909 510470 504927 505417 473939 419367 315183 203056 5223274 
1985 245805 330409 483806 594700 574935 538175 573175 599632 447486 396502 322476 224967 5332069
1986 255777 345730 488665 593705 560950 534597 565476 597959 459092 398792 318918 235961 5355660
1987 314866 355523 461740 564030 549769 548117 583549 579448 492119 402253 282335 296869 5430618 
1988 297009 325879 521889 512928 582559 559130 618218 564712 481940 425337 368009 344514 5602124
1989 260748 367367 533977 604544 573933 556695 618704 560039 501480 470513 361190 341180 5750370 
1990 304797 361092 497763 564799 618750 577180 629775 568094 486523 455000 380995 361764 5806532
1991 281911 363742 378842 569359 616122 582813 623139 569084 477711 490122 376181 257223 5586249 
1992 278763 277339 366507 521127 588153 560167 580932 455966 423545 437348 364618 263340 5117805
1993 155805 211138 459998 592254 584784 562053 589897 555176 479232 461048 323233 343020 5317638
1994 332708 302792 484621 605382 577733 593387 618332 595163 507205 483815 372320 304876 5778335
1995 193573 283959 497552 533185 562191 593523 641806 615151 505397 457742 329200 306217 5519496 
1996 324250 369546 536069 627752 611604 585961 627884 577745 484083 482658 376399 354181 5958133
1997 293158 373527 538688 605456 610080 603934 637139 608822 447350 468459 385802 305802 5878216 
1998 323838 220443 469107 533971 576685 577069 659834 598853 492103 470642 367611 339347 5629502 
1999 305712 328676 505211 536264 608361 590874 582668 563591 489006 480244 388014 365216 5743840 # error:  diff = 3 got sum = 5743837 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/1999_2.png
2000 335049 369888 509806 610900 646218 607144 631677 573325 403561 348218 366437 326893 5729116 
