# USBR Lower Colorado Basin Annual reports: California Totals Measured Returns
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2010 34280 34501 40140 40982 58252 51202 54456 56499 54827 52944 45691 36877 560651
2011 33871 30573 41350 43546 55808 55529 55154 64719 58268 56946 47275 44538 587577 
2012 35976 40056 47940 43052 49461 61020 68117 69642 66864 67657 57550 47681 655016
2013 39612 40465 47993 51625 59662 58371 64110 56713 60351 58642 53553 46292 637389
2014 42397 42794 54617 50673 55683 55392 62025 57786 57190 54119 50780 51384 634840 
2015 41901 37629 43917 47719 43085 52555 54755 54512 58992 54089 56825 55971 601950 
2016 31132 38087 37074 36040 49370 57415 59398 57327 48266 38893 41549 52288 546839 
2017 40199 38338 40167 36222 38605 39269 39108 38239 43828 40938 43733 39113 477759 
2018 36871 34398 34367 30125 35604 36814 37521 38938 39635 43904 44954 41230 454361 
2019 34844 29236 32614 33949 44466 41371 40685 55909 58452 57426 44806 48404 522162 
2020 43639 39208 43287 38104 40713 50278 50590 53646 56557 61989 49956 42545 570512 
2021 35877 39347 46412 49880 53482 59773 70954 74950 63639 50276 46182 43770 634542 
