# USBR Lower Colorado Basin Annual reports: California Totals Return
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 49174 46805 57126 49882 52287 47462 46573 52530 48088 41280 34821 30471 556499
1965 26210 28461 39851 35170 38389 39677 45267 48866 47219 39514 32178 25049 445851
1966 20586 21712 34259 38291 42469 43528 49678 52311 48552 40365 33128 32680 457559
1967 27594 29107 41490 39636 44048 44840 51081 52211 47596 41867 36716 32625 488811
1968 28791 30927 41087 43420 46479 46001 48740 51935 49925 45868 39399 39101 511673
1969 31278 31021 41618 44491 48185 46840 49017 51990 50796 45201 38048 38387 516872
1970 30897 33045 40222 42768 45526 40393 43215 47224 44077 42452 37309 36338 483466
1971 31710 32430 38114 39619 43803 38609 41354 44331 42049 39145 36423 36498 464085
1972 30456 32214 37055 39813 44299 40435 42094 43081 42863 43515 35933 39774 471532
1973 30990 30864 33339 37698 45674 42700 44883 47603 47000 42795 40131 36353 480030
1974 32742 32329 40093 41096 46982 43017 45919 47421 47395 44261 40926 38020 500201
1975 37369 34086 39458 40322 46997 42351 45673 47997 49588 46787 41113 40561 512302
1976 32260 35635 39153 44957 47446 46149 49659 51828 57065 46517 42741 42320 535730
1977 38317 32868 39710 42380 48592 46334 48034 53431 47240 39998 37479 39747 514140  # diff = -10 expected =  514140  got =  514130
1978 32113 29606 37695 42543 47446 44926 46439 50444 43828 41889 38508 37926 493363
1979 38132 30870 39238 44110 48120 46407 49195 51721 47311 44449 41440 39915 520908
1980 31673 34040 37119 44591 48807 45951 48495 51621 49828 48559 41825 38719 521228
1981 34462 34016 39938 42697 48465 46953 48293 49155 51805 48030 41460 37641 522915
1982 31508 31691 40573 45304 49066 46144 47452 53271 49264 46314 38760 38269 517616
1983 31566 28866 35959 39383 41453 40402 42129 48059 48118 45078 38817 38226 478056
1984 34095 38838 44518 43624 47414 47859 55372 51025 49935 47924 43291 42276 546171
1985 35109 33861 46426 47777 49438 49093 53284 54358 54380 52664 44513 32417 553320
1986 33898 34044 46951 48316 49625 49286 53206 54094 54049 52237 44013 32265 551984
1987 36927 34625 45230 45628 48046 48386 51295 51886 48423 47048 42506 38657 538657 
1988 31558 35338 41792 44411 50716 50756 55587 57148 57414 49372 42728 45625 562445
1989 35901 36375 44351 47247 53151 68319 59822 52775 55765 53863 52994 45390 605953
1990 38299 36348 44129 48190 52730 47351 58367 54657 54868 55002 48398 48736 587075
1991 40870 39123 43218 43940 50070 47646 53675 53576 54561 57596 51881 44498 580654 
1992 36971 40702 46423 51454 62799 56207 54239 55296 51645 51578 45644 46957 599914
1993 26040 34499 45319 47171 54465 54428 57508 54212 54984 51740 49687 45558 575610
1994 40972 38894 48759 51048 54645 51780 55033 54645 55356 55429 51905 50468 608935
1995 35527 33336 45094 47768 51470 52365 60006 57805 58098 55037 46494 51016 594016 
1996 37640 39773 44841 51074 59505 57023 60786 61120 60156 58166 53270 52125 635481 
1997 36584 35997 43845 50735 47810 56943 54931 59528 61238 70445 57861 52180 628097 
1998 35713 33304 42427 47680 56007 52631 54503 66587 56454 50211 45499 43257 584274 
1999 30420 40572 47225 40356 46314 47905 48954 51523 50157 47525 48773 49732 549460  # diff = -4 expected =  549460  got =  549456
2000 35902 34231 37525 44980 55496 54364 51244 61863 50538 50922 47011 42829 566904 
2001 30756 34796 37864 46158 53169 51391 57077 64366 64365 60087 52421 49072 601520 
2002 38918 37063 41792 44613 54992 46823 49053 53948 54329 59609 48745 51522 581407 
2003 31369 37911 45000 42846 58547 60405 58814 59688 56888 63691 54769 51182 621110
2003 3732 3852 7140 9078 9861 9619 9554 8906 8255 7290 4503 4954 86745 # Unmeasured
2004 39874 40246 42261 47499 57493 59922 56465 67849 66524 58280 49957 38554 624924
2004 3973 5211 7856 9019 10471 10227 10446 9933 7777 5879 4723 3799 89314 # Unmeasured
2005 40507 32232 36555 46921 57116 50707 58087 56024 54158 54827 50064 43196 580394
2005 2308 2548 6609 8456 9491 9516 9727 7847 8306 6039 4755 4062 79664 # Unmeasured
2006 35405 35716 37840 40906 59631 56124 48646 59209 52266 52993 46075 46527 571338
2006 3695 4754 6197 7639 9029 9062 9103 9089 7273 6416 4756 4043 81057 # Unmeasured
2007 40367 39207 49357 47897 50645 57540 58646 57770 59326 55934 50275 43583 610547
2007 3746 4985 7132 8186 10057 9951 9970 9653 8350 6666 5164 3688 87548 # Unmeasured
2008 34849 35289 41980 51906 50881 52097 55606 61858 60017 58439 48683 44765 596370
2008 3145 5178 7838 9360 9235 8452 9196 8407 7139 6311 4651 3200 82112 # Unmeasured
2009 42389 35324 46193 48669 48506 50590 50937 58927 56966 56237 45939 40231 580908
2009 3833 3786 7211 8537 8398 7178 7773 7117 6001 5848 4448 3114 73244 # Unmeasured
2010 34280 34501 40140 40982 58252 51202 54456 56499 54827 52944 45691 36877 560651
2010 1933 2489 5073 6247 7280 6997 8028 7950 6473 5417 4505 3226 65618 # Unmeasured
2011 33871 30573 41350 43546 55808 55529 55154 64719 58268 56946 47275 44538 587577
2011 3160 3826 7028 7662 8509 7892 8039 9429 6947 5777 4256 3217 75742 # Unmeasured
2012 35976 40056 47940 43052 49461 61020 68117 69642 66864 67657 57550 47681 655016
2012 3244 5220 7575 7441 8990 9090 8131 9040 7139 7140 5293 3895 82198 # Unmeasured
2013 39612 40465 47993 51625 59662 58371 64110 56713 60351 58642 53553 46292 637389
2013 3476 4711 7807 8880 10008 9967 9335 9086 6908 6654 4418 4704 85954 # Unmeasured
2014 42397 42794 54617 50673 55683 55392 62025 57786 57190 54119 50780 51384 634840
2014 3911 5120 7846 9040 9803 9487 9316 7699 7346 6547 4920 4389 85424 # Unmeasured
2015 41901 37629 43917 47719 43085 52555 54755 54512 58992 54089 56825 55971 601950
2015 3233 4913 7465 9443 7974 7830 7749 8711 7206 5839 4738 4017 79118 # Unmeasured
2016 31132 38087 37074 36040 49370 57415 59398 57327 48266 38893 41549 52288 546839
2016 2985 4564 7228 7947 9317 9167 10004 9665 8124 6766 4882 3618 84267 # Unmeasured
2017 40199 38338 40167 36222 38605 39269 39108 38239 43828 40938 43733 39113 477759
2017 2302 4331 6521 7778 8276 8903 8706 9547 7570 7027 4713 4248 79922 # Unmeasured
2018 36871 34398 34367 30125 35604 36814 37521 38938 39635 43904 44954 41230 454361
2018 3125 4829 7139 8271 8452 8508 8234 10532 8464 5642 5152 3430 81778 # Unmeasured
2019 34844 29236 32614 33949 44466 41371 40685 55909 58452 57426 44806 48404 522162
2019 3006 4380 6547 7246 8168 8478 9591 9351 8679 8906 4458 2994 81804 # Unmeasured
2020 43639 39208 43287 38104 40713 50278 50590 53646 56557 61989 49956 42545 570512
2020 4014 4910 5751 8658 8890 9262 9634 9887 8779 7779 4764 4039 86367 # Unmeasured
2021 35877 39347 46412 49880 53482 59773 70954 74950 63639 50276 46182 43770 634542
2021 2626 5078 7460 8899 9286 8853 9455 9203 8641 7135 4482 3446 84564
