# USBR Lower Colorado Basin Annual reports: Winterhaven Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# 1964 FIXME
# 1965
# 1966  1966_1
# 1967
# 1968
# 1969
# 1970
# 1971  1971_2
# 1972  1972_2
# 1973
# 1974
# 1975
# 1976
# 1977  1977_3
# 1978  1978_2
1979 9 9 9 9 9 10 9 9 9 9 9 10 110 # extrapolated from total
1980 10 11 11 10 11 11 10 11 11 10 11 11 128 # extrapolated from total
1981 8 8 9 11 13 15 16 16 14 11 10 9 140
1982 6 5 7 10 11 15 14 14 12 9 8 8 119
1983 5 4 6 10 11 15 14 14 12 8 7 7 113
1984 4 3 4 7 8 11 10 10 8 6 5 4 80
1985 6 5 6 8 10 13 12 12 10 8 6 4 101
1986 6 5 6 9 10 13 12 12 10 8 6 4 101
1987 7 6 7 11 12 16 15 15 11 10 7 5 122
1988 10 11 10 11 10 11 10 11 10 11 10 11 127 # extrapolated from total
1989 11 12 12 12 11 12 12 12 11 12 12 12 142 # extrapolated from total
1990 7 5 9 10 12 15 16 15 12 10 7 7 125
1991 6 10 9 10 11 11 13 12 10 10 13 14 129 
1992 4 9 8 10 12 12 12 12 14 12 11 10 126
1993 6 5 9 9 12 14 15 15 12 10 7 6 120
1994 9 9 10 11 10 16 15 13 12 10 10 9 134
1995 7 6 9 10 12 15 16 16 13 10 8 7 129
1996 7 6 10 11 13 16 17 17 13 11 8 8 136
1997 7 6 9 10 12 15 17 16 12 10 7 7 130
1998 7 6 10 11 13 16 17 17 13 11 8 8 135
1999 7 5 9 10 12 14 16 15 12 10 7 7 124
2000 7 5 9 10 12 14 16 15 12 10 7 7 124
2001 7 6 10 10 13 15 17 16 13 11 8 7 132
2002 7 5 9 10 12 15 16 16 12 10 7 7 128
2003 7 5 9 10 12 15 16 16 12 10 7 7 128
2004 5 7 9 10 12 14 16 15 12 10 7 7 124 
2005 4 6 8 8 10 12 13 13 10 8 6 6 104 
2006 4 6 8 8 10 12 15 13 10 8 6 6 106 
2007 5 6 8 8 10 12 13 13 10 9 6 6 106 
2008 5 6 8 8 10 13 14 13 10 9 6 6 108 
2009 4 5 7 8 10 12 13 11 10 8 6 5 99
2010 9 8 9 8 8 10 10 9 8 8 9 8 104 
2011 9 8 9 8 8 10 10 9 8 9 9 7 104 
2012 8 8 9 8 8 9 9 9 8 8 9 9 102 
2013 11 7 10 9 8 9 10 9 7 8 8 7 103 
2014 9 8 8 8 8 8 8 7 7 7 7 6 91 
2015 9 9 9 12 12 6 6 9 6 9 9 8 104 
2016 8 8 9 9 8 9 8 9 8 8 7 7 98 
2017 8 8 8 7 7 14 7 8 7 8 8 7 97 
2018 7 7 8 7 8 7 8 7 8 9 9 6 91 
2019 7 6 7 7 7 8 8 7 6 6 7 7 83 
2020 7 7 8 6 7 7 7 8 7 8 7 8 87 
2021 6 6 7 6 6 6 6 6 5 6 6 6 72 
