# USBR Lower Colorado Basin Annual reports: Bard Unit Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 2693 4183 4516 5439 5902 6729 6934 5539 4032 3174 2329 1848 53318
1965 1301 2815 5287 3480 6142 7023 6784 5162 2569 2676 1313 298 44850
1966 735 2034 5079 4788 6268 7041 6381 4500 2314 1865 1705 2274 44984
1967 2652 3093 3910 4320 4895 5700 5181 3902 1098 2835 1336 936 39860  # diff = -2 expected =  39860  got =  39858
1968 2172 3552 5452 4750 5647 6269 6365 4438 1925 2401 1760 1606 46337
1969 1060 3625 4772 4704 6642 6323 6781 4050 2348 3669 1039 2270 47283
1970 2044 3215 3238 4927 5235 5645 7069 4772 2817 3379 3234 1980 47555
1971 2570 3221 4416 4871 4339 4922 6272 3734 4039 3185 3433 2228 47230
1972 2742 3111 4613 5021 5901 5495 6088 5400 3261 1947 3329 2108 49016
1973 1982 2274 2704 5337 6054 4829 6550 5921 5053 4188 3136 1735 49763
1974 1781 3545 3809 4865 5619 5718 6076 4938 3482 2775 3097 1860 47565
1975 2344 3107 3944 5348 5524 3364 4893 5038 3617 3884 3148 2692 46903
1976 3022 2764 5210 4742 3943 5430 5180 6042 3593 3787 3796 2449 49958
1977 1020 3684 3248 3692 3979 6645 6911 4978 3535 2311 2056 1795 43854
1978 510 2981 4291 3668 5093 7174 7463 4703 3177 2149 1643 1333 44185
1979 1071 3620 3501 3709 5313 7486 7220 5682 2673 3484 2792 2359 48910
1980 1497 3154 4354 4492 4549 6055 7192 5848 3769 2774 1963 2029 47676
1981 2217 3646 3366 3978 4758 7135 8530 6198 3124 2370 2816 2604 50740  # diff = 2 expected =  50740  got =  50742
1982 2610 4258 3806 5333 3661 6529 6600 5315 3740 2918 1906 1135 47811 
1983 2124 2529 3630 4205 4497 5129 5276 3345 2685 2683 2377 2187 40667
1984 2610 3719 4300 4570 4886 4542 4068 3065 2701 3382 1556 1053 40452 
1985 2514 2995 4256 6113 5342 4205 4690 4353 2824 3825 2586 2590 46293 
1986 2514 2995 4256 6113 5342 4205 4690 4353 2824 3825 2586 2590 46293 
1987 2930 3542 4545 5789 4782 5116 5263 3593 3126 5343 2614 2405 49048
1988 1996 3273 4587 5164 5791 6196 5657 4285 4669 5378 3166 3064 53226
1989 2013 2735 3211 4640 4877 4199 3949 2426 2914 4613 2534 1906 40017
1990 2169 2999 4611 5908 6596 5956 5626 2994 4067 5596 3717 2647 52886
1991 1562 2871 3725 6059 7241 6264 5600 4638 4368 5511 4136 1991 53966 
1992 2233 2756 3434 5715 5227 5337 5115 3846 3342 4170 3608 1659 46442
1993 408 1619 4896 6672 7033 5371 4828 3650 4537 6177 2870 3449 51510 
1994 2971 3160 4847 7004 6031 7045 4456 4613 4207 5852 3410 2014 55610 
1995 1232 3926 4812 5259 6394 5831 4817 4035 4334 5946 3486 2771 52843 
1996 2665 3822 5173 7019 6979 5638 4653 3675 3904 6020 3790 3074 56412
1997 2622 3121 4806 5454 7334 6495 5961 3286 3463 5285 3516 1836 53179 
1998 2359 969 3960 5607 6227 6249 5799 4053 3874 5238 3045 2432 49812 
1999 2159 3076 4108 5189 6592 6041 4045 3443 3134 4998 3515 2501 48800  # diff = 1 expected =  48800  got =  48801
2000 2474 3369 5029 6801 7063 5067 4103 3037 4022 2537 4014 2818 50334 
2001 2424 2573 2420 4952 6531 4966 4485 3280 3622 4957 3745 2225 46180
2002 2975 2625 4330 5926 5689 4151 5580 3045 2652 4242 3702 2303 47221  # diff = -1 expected =  47221  got =  47220 /ark/Varuna/USBR_Reports/images/ca/consumptive_use/2002_1.png
2003 2256 1859 4945 5945 6312 4661 4507 2845 3077 4686 3288 2596 46977 
2004 2237 2313 4873 5340 2463 3396 3381 2591 2635 3487 3064 1677 37457 
2005 1186 1010 3424 4507 5460 4444 4104 2331 3395 3267 3294 2115 38537 
2006 2401 2076 3978 4854 5971 3493 3955 2125 2666 3472 3703 2063 40757 
2007 2467 1978 4122 5291 5192 5042 2668 3241 3779 4544 3369 1761 43454 
2008 1966 2441 4913 6068 5796 3529 3373 3299 3663 5120 3295 1105 44568
2009 2948 2051 5123 6461 6006 2544 2674 2488 3535 4949 2771 2000 43550
2010 1410 1388 3229 4957 5043 3939 4417 3350 1016 4797 3652 2353 39551 
2011 2606 2077 5969 6510 6154 3579 3426 4928 4512 4878 3448 1465 49552 
2012 2624 3421 5746 6569 5431 4065 4402 5292 3899 5067 3816 397 50729 
2013 2726 2599 5407 6571 5319 4946 4760 4179 3116 4425 2929 2535 49512 
2014 2966 2632 5442 5721 5373 5567 4795 3918 4490 3985 3728 2463 51080 
2015 2331 3136 6065 6518 5362 3517 3251 3900 3566 4257 3807 2851 48561 
2016 1706 3124 5041 4927 4856 4673 6280 2397 4136 4341 3979 2249 47709 
2017 1807 1960 3858 5041 3162 3157 2708 2404 3459 3880 3755 2795 37986 
2018 2517 2375 4627 6211 4996 3837 2609 2920 3834 3241 3605 2180 42952 
2019 1848 1357 2935 4299 4714 3469 2908 2338 3071 4265 3351 1706 36261 
2020 2282 1532 2495 3393 3599 3277 2774 3325 3291 3886 3559 2430 35843 
2021 741 2122 3672 2781 2919 3002 2234 2986 3189 3679 3768 2368 33461 
