# USBR Lower Colorado Basin Annual reports: Indian Unit Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 1877 3830 3599 4388 3974 5045 6485 4926 3838 2915 1310 1299 43486
1965 1132 2467 5014 2524 4060 4232 5494 5697 4077 2984 1814 379 39874
1966 973 2008 4867 4060 4647 5223 5571 6870 3742 3181 2588 3561 47292
1967 2777 4479 3952 4093 4792 5129 5678 5734 3535 5337 2567 1010 49083
1968 2489 4847 3516 3732 4192 5309 5543 5243 3283 4637 3528 2784 49102  # diff = 6000 expected =  43941  got =  49941
1969 1827 4005 3391 3736 2795 3376 4471 4988 4054 2717 1588 1765 38713
1970 2112 3384 3780 5713 3512 3905 4923 3117 3752 2733 2492 1835 41258
1971 1840 3722 4933 4730 3323 2555 4232 4330 4481 3018 2474 1644 41282
1972 1991 3197 4431 4738 3199 2681 4774 3008 3277 1567 2490 1939 37292
1973 2249 2920 3451 4632 3105 2471 2889 3803 4605 4647 2309 1474 38555
1974 1540 3222 3858 3498 3964 3579 4558 3939 3464 3819 2208 1019 38668
1975 2450 2755 4275 4460 4217 2103 3091 4516 5510 3399 3096 2577 42449
1976 3127 3156 4952 4099 3341 9588 4371 5543 4970 3520 2291 983 43941
1977 1190 3389 2746 2832 3531 4777 6043 3908 2259 1265 1260 951 34151
1978 343 2075 4754 3374 3188 6757 6070 3445 2098 1334 2031 634 36103
1979 727 2156 4597 4634 3999 6218 6988 3931 2181 1739 1188 900 39258 
1980 1149 2504 5301 3872 3332 6234 6896 5687 3876 1606 827 1148 42432
1981 1821 3437 5289 4391 3058 6027 6948 5932 2953 1681 704 1526 43767
1982 1640 3699 3292 4796 4632 3616 6126 4623 1750 3670 1557 604 40005
1983 1258 1578 2203 2481 2204 2158 2338 2270 1851 1874 1325 935 22485
1984 2223 2510 3282 2989 2576 2020 2090 2768 1626 2656 1262 749 26751
1985 1853 2429 3069 3364 2424 2033 3335 2986 1667 3515 1533 1688 29896 
1986 1853 2429 3069 3364 2424 2033 3335 2986 1667 3515 1533 1688 29896 
1987 1382 2404 2087 3402 2220 3004 3971 2682 3664 3245 2447 1873 32381
1988 2199 2844 3249 3182 4480 3708 4670 4415 3964 5590 3482 2105 43888
1989 3330 4419 4834 6349 5664 6173 5613 2813 5850 9373 5879 3261 63558
1990 2467 2794 3730 3419 3935 4111 5214 2569 4749 7607 6004 3039 49538  # diff = 100 expected =  49538  got =  49638
1991 2077 2931 2884 3212 5112 4308 3540 2748 4799 9200 6468 2334 49613
1992 2423 2553 2997 4952 3791 3476 3293 2404 7331 9041 4881 2430 49572
1993 988 2337 3886 6319 4774 3664 2772 2931 4214 6548 3728 3314 45475 
1994 2811 3041 5112 6640 4680 3788 2279 2774 4133 7794 4485 1837 49374
1995 1411 4106 5469 6339 4320 1706 1751 1837 2872 4617 2760 1751 38939 
1996 2502 2655 3582 4306 3226 905 2015 1670 2096 4777 3621 1841 33196 
1997 1553 2817 3663 4142 3648 1510 1338 2460 1866 3961 2719 1331 31008
1998 1752 1046 2919 4373 3694 1837 1830 2473 2137 3902 3283 2140 31386 
1999 2288 2221 3575 3493 3973 1122 1492 2178 1549 3367 3485 2610 31350
2000 1833 2034 3539 4533 3615 1470 2055 1196 2865 2110 2794 1741 29785 
2001 1985 2308 2744 5216 5561 2016 2402 2321 3328 6154 4215 2742 40992
2002 3176 3339 4869 6869 5626 2475 2509 2542 2895 5372 4598 2814 47084 
2003 3030 2368 5701 6775 5797 2303 2451 2118 2786 6055 3900 3068 46352 
2004 2694 2693 5022 6057 8508 3048 2382 2315 2791 4820 4113 1816 46259 
2005 1908 1096 4924 6624 6628 2824 2560 2574 2644 5848 4214 2959 44803
2006 2647 2333 3725 5288 4780 1529 1866 1859 2087 4937 3964 3172 38187 
2007 2901 2917 5450 6197 6738 2403 2295 2420 1938 4567 4347 2323 44496 
2008 2463 3867 6710 8758 6083 1956 2700 3000 1633 3829 2897 1353 45249 
2009 2344 2625 4773 6461 4581 1337 1869 2525 1443 4075 3070 1920 37023
2010 1400 1896 4101 5555 4945 1502 4165 3192 4795 4411 3008 1791 40761 
2011 2339 1752 5991 6536 5432 1635 3909 5123 1595 4416 3024 2495 44247 
2012 2350 2631 5977 6112 4907 2898 2774 4405 2103 4454 3437 3395 45443 
2013 1795 2497 4901 7462 5259 3628 2490 4550 3044 4817 3316 2608 46367 
2014 2276 2820 5812 7720 5592 3194 1992 5444 2083 4215 3611 2436 47195 
2015 1718 3261 6287 8316 4164 1824 1321 5543 3150 4810 3958 2695 47047 
2016 1302 3098 5848 7289 5532 3542 3266 3261 1762 4096 3653 2132 44781 
2017 1880 2044 5328 7394 5506 3144 1846 3436 2803 4619 3368 3072 44440 
2018 2321 2872 5465 7600 5586 2878 1582 3522 2222 2879 3668 2044 42639 
2019 2000 2129 4051 6453 6459 4058 3485 3331 2375 4373 3334 1970 44018 
2020 2782 2380 2416 6401 5872 3923 2634 3978 2949 4257 5633 3155 46380 
2021 2713 2403 4030 7183 6655 3544 1787 3076 2319 4434 3334 3062 44540 
