# USBR Lower Colorado Basin Annual reports: RETURNS FROM YUMA PROJECT Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1990 2518 3793 6095 7081 7470 7669 7913 2263 5625 9494 5800 1990 67711
1991 -22 3114 3154 6536 8749 6809 5774 4781 5904 10180 6294 589 61862
1992 1313 2325 3306 6927 4895 5367 5181 2942 7027 8573 3650 -187 51319 
1993 -1985 1906 5977 9939 8252 5268 4120 4205 5783 8441 2574 3144 57624
1994 2150 3201 5825 9643 6495 6788 2283 2807 3769 9988 3275 -16 56208 
1995 -326 4956 6052 7909 7361 4628 3595 2345 3668 6160 3030 790 50168 
1996 2016 3398 5239 7592 6456 3094 3251 1859 3378 6487 2530 1216 46516 
1997 668 2757 5117 6228 7182 4625 4534 2691 1968 4340 2295 -814 41591 
1998 1535 97 4305 7326 6390 4792 4726 3618 2884 5467 2645 1218 45003
1999 865 2107 4381 5937 7407 4170 2906 2579 1436 5213 3651 1767 42419
2000 1188 2665 5418 8022 6388 3695 2854 648 3779 1291 3471 1306 40725 
2001 1824 2718 2245 6947 9487 4237 4321 2688 4664 8380 3919 1846 53277
2002 3406 3320 6212 10306 8408 4134 5425 2672 2803 6459 5891 2358 61395 
2003 1844 998 6158 8157 6796 2723 3161 1332 2825 6295 2738 2026 45053 
2004 1858 1993 6428 6816 5846 3130 2648 1823 1923 3537 2705 713 39420
2005 536 -876 4597 6880 6731 3800 2974 1500 2927 5320 3410 2079 39878
2006 2850 1979 4759 6441 6609 2382 3084 1254 1914 4676 3627 1607 41182 
2007 2220 2244 5562 7396 7979 4213 1856 2391 2352 5055 4024 1288 46580 
2008 1499 3603 7482 9722 7003 2505 3025 3062 1877 4190 2452 -828 45592 
2009 1770 1658 5425 7629 5896 1158 1764 1930 2187 5252 2949 829 38447
2010 -380 616 3541 5926 5789 2833 5048 3380 2769 5276 3001 1347 39146 
2011 2757 1992 7986 8141 6738 2184 3260 5077 2339 5170 2677 708 49029 
2012 1912 2927 7365 7844 6354 3341 3390 5048 1911 4755 3012 612 48471 
2013 1484 2651 6485 9135 6133 4620 3241 4831 2285 4690 2593 2816 50964 
2014 3251 3015 6792 8927 6830 5097 3371 5590 2756 4200 3593 2148 55570
2015 1633 3519 7547 8926 5121 2152 1652 5694 2456 3232 3424 2265 47621
2016 802 3485 6837 7275 5412 4216 4981 2424 2449 4992 3539 1183 47595
2017 481 1348 5697 7960 5089 3084 2522 3581 3745 5186 3520 2703 44916
2018 2196 2468 6182 8762 5614 3317 1874 3470 2901 2916 3635 1135 44470
2019 1084 1259 4149 6841 6744 3804 3297 2297 2257 4657 2901 1085 40375
2020 2421 1519 1940 5915 5331 3392 2480 4070 2649 3960 4870 2039 40586
2021 798 2053 4732 5933 4944 2946 1134 2732 2471 4460 3279 2032 37514
