# USBR Lower Colorado Basin Annual reports: Calendar Year In Excess
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964
1965 9316 3601 8739 26360 1665 74 148 11452 79 6363 34864 85000 187661
1966 28517 11678 4250 533 2727 99 555 136 36380 33829 17914 19529 156147
1967 -2821 5681 419 758 796 -26530 204 134 24634 18360 25594 11748 58977
1968 1996 7803 419 82 150 223 7834 186 268 18803 18449 6524 62737
1969 8165 6064 307 205 246 214 134 247 4 20393 26565 3240 65784
1970 5741 14621 18459 118 311 209 173 238 0 19492 19311 4513 83186
1971 12327 1912 70 167 250 39 173 140 1299 22150 18608 4487 61622
1972 8608 5060 137 300 59 107 7440 96 17893 42633 18030 12175 112538
1973 8343 10654 9151 8860 12946 44 7574 1019 18114 18570 18276 11601 125152
1974 11878 10125 9326 9256 9329 4129 19041 18848 17116 19134 18236 18940 165358
1975 18848 17238 17674 23494 17708 18245 19043 19351 18592 19227 18861 19292 227573
1976 18983 8694 18628 25254 19143 18344 18984 19545 69258 19593 18354 19444 274224
1977 18610 16800 10994 18271 16954 17933 18400 84197 19987 18732 17359 20667 278904
1978 42160 15401 26114 16878 16184 15294 14220 14960 13555 22248 14233 15786 227033
1979 21659 35616 38300 14673 205908 176011 182139 183143 188745 220073 225947 153199 1645413 
1980 244001 181712 471526 483091 583427 519242 463880 449160 574277 675850 586411 417251 5649828
1981 311386 28933 31639 16211 14095 12023 11437 15905 12228 12334 12015 12692 490898
1982 12884 11607 16901 12630 20257 19379 13711 17724 13654 13859 13538 32872 199016
1983 597506 223530 20376 289563 558637 884314 1722338 1855140 1757854 1927177 1487589 1344789 12668813
1984 1532085 1349634 1032082 867289 996503 1116892 1255095 1116112 1084685 1129428 1164716 1274111 13918632 
1985 1339821 1282499 1039808 535687 720189 764169 730940 713020 899773 720311 682557 812228 10241002
1986 1007788 736348 841034 544198 969946 929757 746046 668751 706419 713903 614465 745126 9223781 
1987 1030559 703819 351467 70085 91182 60006 43663 64333 133788 183975 98251 213096 3044224 
1988 360924 134418 19101 21598 13917 11486 9394 68410 35191 36189 22656 25603 758887
1989 50628 14938 13211 10341 10697 7665 21276 25156 23692 22852 13998 13778 228232
1990 2760 25 276 431 334 259 278 21940 12500 2761 158 266 41988
1991 13912 237 647 247 209 108 59 451 2717 336 276 1674 20873 
1992 378 143 13796 13407 12141 386 83 17924 753 12545 1466 7710 80732
1993 129015 451669 1180811 795122 452938 199878 64253 52663 67664 143246 125747 29766 3692772
1994 152 78 674 119 3318 63 129 1964 775 671 3700 13877 25520
1995 7485 1083 65 19150 23216 75538 78315 5581 245 691 833 121 212323
1996 113 281 238 421 94 441 50 176 35 2446 126 911 5332
1997 109693 255296 172865 32405 124 919 1154 216660 305820 25615 18699 33207 1172457
1998 588274 650870 357184 125488 41051 9546 1786 9444 208526 141999 267573 616700 3018441
1999 342583 14941 4414 15708 10554 15878 33244 4841 187368 294144 205460 64970 1194105
2000 14958 7410 24011 12969 29643 13648 18291 29111 38195 74784 41749 32369 337138
2001 29676 31836 37609 12987 7790 2406 17037 17179 13787 17687 4785 7798 200577
2002 10844 2616 20068 16107 13909 9417 8058 4480 19994 9698 4230 3742 123163
2003 4196 26551 7240 11389 3788 118 664 992 2478 1169 1784 1486 61855
2004 555 10201 2282 14800 3505 374 1116 563 5139 38712 6221 9674 93142
2005 12588 33278 11511 1654 9269 467 2397 20556 2863 15930 978 4851 116342
2006 2513 1272 2754 884 988 718 2615 6180 4526 9566 1199 3017 36232
2007 1059 415 4 2331 708 257 523 1467 2511 5326 18 6984 21603
2008 12366 168 592 3261 2575 10 2224 15215 9869 9950 14604 20545 91379
2009 1676 9578 558 5927 9636 1216 1689 8934 3968 4333 1365 16043 64923
2010 52787 664 18056 14139 9941 246 3367 5039 3427 30186 4646 28826 171324 
2011 12684 17442 3471 11596 4472 743 1227 1776 1307 6707 2685 13844 77954 
2012 308 390 481 5835 1101 177 21366 5043 460 14373 1535 43761 94830 
2013 17679 1664 1132 955 1179 515 6533 16422 7150 14959 2869 913 71970
2014 355 881 2668 3239 833 666 1238 8169 346 10148 2661 947 32,151
2015 404 606 455 976 8422 420 956 473 602 567 485 463 14829
2016 157 308 286 276 819 211 216 275 200 253 225 6003 9230
2017 5420 183 240 217 1010 235 281 168 8172 319 246 195 16688
2018 210 0 128 92 197 24 260 155 506 4962 511 370 7416
2019 549 635 865 1105 489 245 78 262 5366 4630 20856 4597 39676
2020 332 6759 24074 14013 2498 378 678 1711 101 166 448 1019 52176
2021 5591 569 9202 477 1124 380 511 3410 5602 1159 191 639 28856
