# USBR Lower Colorado Basin Annual reports: Calendar Year Limitrophe
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2004 1005 752 982 294 556 381 383 479 405 924 938 978 8077
2005 820 701 603 303 360 200 278 433 893 1640 1358 1043 8632
2006 799 859 658 445 615 312 316 271 657 874 1075 896 7777
2007 811 773 685 314 507 489 639 589 831 767 871 872 8148
2008 644 821 639 357 728 406 398 379 890 673 938 667 7540
2009 754 699 564 295 330 578 365 483 537 962 1060 1193 7820
2010 898 685 428 458 469 417 310 396 506 902 731 548 6748
2011 577 435 462 385 349 285 455 474 491 1041 1199 1000 7153
2012 780 593 519 452 485 392 435 415 814 1510 1231 940 8566
2013 899 737 643 418 474 382 348 581 576 1205 1476 1067 8806
2014 845 762 763 475 417 243 369 394 330 396 406 336 5736 
2015 225 243 343 149 212 98 177 55 367 576 332 180 2957 
2016 160 149 170 106 91 117 104 182 308 707 478 494 3065
2017 348 295 399 165 198 111 240 88 767 604 226 339 3781
2018 284 251 294 215 335 239 178 182 480 437 448 667 4012
2019 604 635 340 306 212 114 103 248 306 280 509 339 3997
2020 285 263 306 174 172 137 128 154 197 457 347 462 3082
2021 480 281 511 273 225 284 146 244 278 449 609 698 4478
