# USBR Lower Colorado Basin Annual reports: Bypass Pursuant to Minute 242
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1990 13395 11653 12051 11726 7578 9218 9531 9600 11163 12506 12129 13117 133667
1991 13287 11058 13634 12536 10490 9177 12464 11657 11615 11990 11016 11760 140684
1992 12260 10945 10481 8436 10175 9548 9416 8202 7895 7897 2778 3076 101109 
1993 7090 9953 14202 10839 8747 1805 3014 2964 1238 1294 180 112 61438
1994 6410 12803 12371 11552 12579 8654 5950 8392 11213 10308 12544 11658 124434 
1995 11713 11184 9932 10296 11617 11308 12491 11400 8829 9731 6752 10223 125476 
1996 13488 12721 12430 12127 10588 8679 6307 3590 8208 9793 7968 6492 112391
1997 6829 8274 10159 8402 10558 10223 8156 5999 1437 5775 3399 9943 89154 
1998 10612 12714 11328 6637 7453 8765 6930 6563 8045 12127 11179 11416 113769 
1999 10803 8259 9403 8707 6551 6632 6226 6302 4897 4293 253 6349 78675
2000 8331 6913 7908 8221 8443 8379 10736 9670 9729 9265 9448 10401 107444 
2001 10072 8343 9176 8583 8650 8465 2212 4787 8313 8662 11926 14555 103744 
2002 13700 9355 2102 8892 9489 9093 10095 9283 9326 13179 14598 12637 121749 
2003 10542 8917 10090 8319 8611 9305 9664 9748 10195 10266 10038 9039 114734
2004 8585 8688 8889 7601 8215 8914 6322 7422 8200 8684 9878 9364 100762
2005 9379 8089 9305 9625 9990 9528 9289 8375 8957 10070 9591 6228 108426
2006 8679 7677 8437 7557 7407 8829 9071 9749 9970 10362 10071 9505 107314
2007 9038 8239 7985 7693 8189 8599 8756 8628 8913 9001 9625 10610 105276 
2008 10178 9452 9932 9619 9991 9729 7427 6927 10128 10370 10607 11074 115434 
2009 10024 9433 10164 9702 10422 9645 9525 6621 10286 11572 12548 4829 114771 
2010 11286 8969 12059 11616 9316 6829 4886 3863 10342 13799 12692 11807 117464 
2011 5905 5790 6960 11516 13637 13283 10048 9774 12621 13157 12710 15222 130623 
2012 10498 8708 9612 9155 8797 8885 8867 8932 9737 14792 14492 13746 126221 
2013 10739 8869 9226 9689 11121 7288 11151 11522 8052 7751 7569 7947 110923
2014 8452 7245 15538 14864 16025 14442 15076 12803 7291 11838 13035 7993 144602
2015 13579 12778 14150 12374 14039 13805 11182 11092 10602 16650 11529 10211 151991
2016 8850 15456 10638 12981 13895 11036 13283 11815 13612 18677 9517 10432 150191
2017 5693 9030 10698 11671 15308 11847 9773 10567 10598 9580 15132 6805 126701
2018 8405 7183 5895 9209 12438 9115 7057 10202 11145 13570 13851 14500 122569
2019 6345 5405 11667 7604 7745 10950 13976 13899 16876 16161 16006 16374 143007
2020 15847 14234 13685 12310 8351 6972 7599 9234 12589 12708 8858 8677 131063
2021 12088 11225 11073 8545 9220 8696 9571 12189 12150 12507 13754 13517 134535
