# USBR Lower Colorado Basin Annual reports:  Northerly International
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 125763 172199 196292 191749 101456 101519 111113 90299 81868 59353 87093 109418 1428122
2004 118103 159920 192260 202221 99857 99626 109819 87038 82927 99296 93258 117543 1461868
2005 131391 177873 206171 188141 102252 98785 112184 108872 80706 77113 88369 115294 1487151
2006 115827 139865 198718 183309 99289 119700 113585 87858 82486 67740 87620 112024 1407020 # diff = 1001 expected =  1407020 got =  1408021
2007 112500 138220 191216 186761 97902 107652 111155 86246 79921 65639 89356 114804 1381372
2008 119679 141982 193619 194235 99772 103296 109782 98098 89161 69464 103373 125311 1447772 # diff = -1948 expected =  1414995 got =  1413047
2009 107568 150674 195209 190561 110588 101720 108143 89956 80087 63657 91647 123237 1414995
2010 166000 131517 223080 199146 102140 101376 115000 90653 81568 90863 100774 136525 1538641 
2011 130382 162561 186453 188723 98785 105404 115715 86317 78997 49102 80580 95044 1378063 
2012 119658 147284 175715 170959 88615 92803 112409 87837 79466 57906 74871 120877 1328400 
2013 132063 147739 178244 171618 84454 85588 97293 96964 88222 59917 77673 88481 1308256 
2014 120128 148664 247085 229237 104787 100284 105866 92614 80951 54712 76272 85623 1446223 
2015 133884 159976 206479 196897 100354 94729 94960 80545 76433 48380 79908 90932 1363477 
2016 141099 167639 208385 190047 85574 79796 91010 88124 79305 48906 84110 100606 1364600 
2017 115253 148650 190803 169244 99745 115925 120191 91780 93454 53823 86758 96431 1382057 
2018 113522 134179 182069 163471 112353 124989 122082 93930 83837 58488 85763 95640 1370323 
2019 111806 132547 173537 158779 115469 127861 134837 100445 95696 59209 99982 74178 1384347 
2020 85917 124435 183617 158582 116723 128267 142213 119679 102273 55882 82149 81379 1381116 
2021 113305 116429 171744 159072 127944 133457 131419 109026 102974 57549 82499 79445 1384864 
