# USBR Lower Colorado Basin Annual reports: Calendar Year Satisfaction of Treaty
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964
1965 85286 80564 174302 183463 92421 142218 216561 228661 105806 55370 53585 81763 1500000
1966 60803 105392 181607 170354 92421 137821 223504 245652 100528 55370 53584 72964 1500000
1967 102960 89178 182410 180788 100528 156467 182409 202677 112558 55370 53584 81071 1500000
1968 129713 90799 186463 210784 92285 124038 186463 180788 96915 55370 53585 92797 1500000
1969 129714 93232 202677 210784 97285 125660 170249 169308 90799 55370 53584 101338 1500000
1970 121606 89178 202677 214838 97285 121606 170249 169308 78999 55370 53584 125300 1500000
1971 84500 105392 202678 186963 92284 137821 190517 181102 85605 55370 53584 124184 1500000
1972 109235 109446 202677 190517 92284 129713 178356 189103 81071 56181 54395 107022 1500000
1973 121606 101339 192138 173492 95339 132145 162142 158899 89482 79004 64872 129542 1500000
1974 92232 93232 190563 194737 106215 142925 192505 187866 89308 56333 54395 99689 1500000
1975 79903 96937 155199 192113 117254 121108 176628 168075 111442 76040 76433 128868 1500000
1976 89178 116742 182409 211595 108635 105392 145927 142685 90799 72964 79450 154224 1500060  # checked, diff = -60 expected =  1500060  got =  1500000
1977 90800 107013 179977 227809 102960 116742 169436 161331 90799 57560 58371 137200 1500000  # 0 in 102960 illegible, but using zero totals correctly
1978 76639 111067 180788 226999 94853 115931 183220 176734 91610 57560 56750 125849 1500000   # checked diff = -2000 expected =  1500000  got =  1498000
1979 80936 76350 175722 226912 110144 151626 229995 234640 141518 88683 56750 126725 1700000
1980 55370 108473 204931 225067 116652 163798 218337 248457 93507 62259 60309 142840 1700000
1981 55370 81731 211991 241042 155617 178542 220798 234825 105522 57209 54519 102834 1700000
1982 126192 121653 217827 230990 114202 105699 133612 140714 89308 56398 55857 107548 1500000
1983 64057 107506 230382 256382 132133 153054 173674 184881 124459 68100 68100 137272 1700000
1984 55370 51798 248062 225680 121406 174413 213546 233303 96537 67170 56749 155966 1700000
1985 55371 50013 99149 248962 145855 191228 246023 248707 105700 66297 66463 176232 1700000
1986 55371 50013 92285 226997 162142 183074 223159 223556 117749 87151 101339 177164 1700000 
1987 55371 62173 198624 219701 129714 175113 210784 222945 113499 77017 89178 145881 1700000
1988 58417 113256 224852 218618 124798 158616 218206 215150 89308 73852 87007 117920 1700000
1989 85074 103941 175154 216955 139775 111692 170339 174040 92064 64451 69754 96761 1500000
1990 103994 125255 175390 182238 110135 150213 164774 140486 90381 78639 81070 97425 1500000
1991 111495 113499 170667 189152 119253 146509 169089 141168 89470 73775 78639 97284 1500000
1992 117179 126168 183818 177259 111058 124184 158383 128234 95644 73775 86745 117553 1500000
1993 136548 143430 159095 142699 110782 117136 151813 124245 111858 69721 98906 133767 1500000
1994 124849 154035 204299 175113 129713 124039 127282 108824 100527 72964 82191 96164 1500000
1995 124463 163088 183314 157029 151189 118256 125994 95786 92420 80232 105392 102838 1500001
1996 100826 145880 186671 170465 180767 183197 147926 110120 89308 55371 64856 64615 1500002
1997 115090 127130 163345 187566 189022 157158 192635 126899 99036 110256 121606 110257 1700000
1998 56750 113499 181082 161403 192030 196292 210312 144212 105522 111900 113499 113499 1700000
1999 78135 164062 207550 201920 171251 159050 179086 123545 89308 92460 113499 120134 1700000
2000 156991 179548 194570 185874 140916 143402 145643 104679 93141 98737 113473 143026 1700000
2001 136798 160824 204111 187021 102809 119777 125941 96410 89308 67474 94169 115358 1500000
2002 132456 156901 195426 191223 107268 113473 119427 100753 92460 69485 99466 121662 1500000
2003 130285 154940 199770 193325 108570 111372 121513 99884 90358 71655 98904 119424 1500000
2004 128113 158443 199768 197528 108570 109271 119426 97713 89308 73669 98764 119427 1500000
2005 128111 152979 204112 197528 104228 109271 121598 97713 89308 74789 98764 121599 1500000
2006 123770 149056 206283 193325 108570 127251 121879 92705 89308 70097 98764 118993 1500000
2007 121599 149057 202851 195427 108570 117676 122860 95471 89307 74721 102966 119495 1500000 
2008 119428 154380 204112 198669 110741 115575 119428 93370 89307 73739 102966 118285 1500000 
2009 119428 152979 208455 199629 112754 112353 118342 92284 89307 72742 102966 118761 1500000 
2010 121598 140231 214968 195356 104228 112423 122685 95542 89308 75999 109322 118340 1500000 
2011 128113 155921 195426 192064 110741 119566 125942 94770 89307 55371 90122 92321 1449664  # Minute 318 Downward deliver adjustment starts here
2012 130284 158442 186740 177140 97665 102476 102616 92284 89308 55370 86157 88541 1367023   # Minute 319 deferred delivery starts here
2013 125151 155921 189998 183869 96626 97713 102985 92284 89307 55371 86155 97808 1373188 
2014 130285 160824 205198 193325 105313 111372 117256 92284 89307 55371 86155 97301 1443991
2015 145484 171611 218226 209085 104227 108220 106399 92284 89307 58470 92459 104228 1500000 
2016 154170 179771 220432 201730 96627 91409 102056 98799 91409 60536 96662 106399 1500000 
2017 120828 159843 202732 180717 109656 125661 130284 102056 95612 65142 98764 108705 1500000 
2018 124856 145325 194558 175176 123770 135537 132455 104227 93509 62971 96662 104281 1493327
2019 121598 142192 184569 169159 127027 138059 145484 110741 97310 62971 96662 104227 1500000
2020 93230 125941 168942 151655 123770 136588 149827 125073 110952 66228 91409 88992 1432606
2021 116373 123420 169804 166638 136189 140150 138949 112913 105993 64442 91409 88783 1455061
