# USBR Lower Colorado Basin Annual reports:  Southerly International
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2003 8718 9292 10718 12965 10902 9971 11064 10577 10968 13240 13365 11262 133042
2004 9560 7972 8808 9813 11662 9638 10001 10759 11115 12161 10753 10580 122822
2005 8488 7683 8849 10738 10885 10753 11533 8964 10572 11790 10015 10113 120383
2006 9658 10604 9660 10455 9654 7957 10592 10755 10691 11033 11245 9090 121395
2007 9347 10479 10954 10683 10869 9792 11589 10103 11066 13641 12757 10803 132083
2008 11471 11322 9515 6603 12058 11197 11460 10051 8425 12870 13259 12150 130381
2009 12310 10699 12228 11766 10910 10775 11523 11376 11511 12222 11401 10136 136857 
2010 7487 8693 9516 8099 10703 10870 10423 9446 10662 12613 12318 10093 120923
2011 9838 10240 11982 11972 11756 10450 10625 9755 11125 11935 11028 10121 130827 
2012 10154 10952 10985 11549 9666 9458 11138 9075 9487 10327 11488 10485 124764 
2013 9868 9109 12227 12787 12875 12257 11877 11120 7659 9208 9875 9173 128035 
2014 9667 12244 11805 10938 10048 11085 11599 7380 8370 10411 12138 12289 127974 
2015 11779 11998 11859 13013 12080 13796 12207 12080 12885 10081 12704 13579 148061 
2016 13067 12291 12165 11853 11770 11437 11146 10768 11982 11176 12300 11302 141257 
2017 10647 11082 11766 11463 10584 9793 10134 10343 9552 11035 12026 12131 130554 
2018 11259 10867 12249 11266 10336 9831 10434 10269 9476 8914 10961 8344 124204 
2019 9732 9645 11557 11180 11816 10161 9767 8444 6437 8112 7866 6529 111247 
2020 7359 8001 9090 6911 9338 8555 7938 6481 7896 9822 9248 8171 98810 
2021 8128 7279 6747 7742 9081 6788 7853 7050 8345 7603 8491 9279 94385 
