# USBR Lower Colorado Basin Annual reports:  Tijuana
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
2001 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 0 0 0 0 0 0 0 0 0 0 0 0 0
2003 0 0 0 0 0 0 0 0 0 231 230 230 691
2004 0 0 0 0 0 0 339 0 0 0 36 0 375
2005 0 0 0 0 0 0 0 0 0 176 0 0 176
2006 0 0 0 0 0 0 0 0 0 16 23 0 39
2007 0 0 0 0 0 0 0 0 0 0 0 0 0
2008 0 403 931 682 696 686 0 0 700 682 0 702 5482
2009 472 431 998 927 584 479 0 0 566 234 223 238 5152
2010 0 0 0 0 0 0 0 0 0 0 0 0 0
2011 0 0 0 0 0 0 0 0 0 0 0 0 0
2012 0 0 0 0 0 0 0 0 0 0 102 0 102
2013 0 0 0 0 0 0 0 0 0 0 0 0 0
2014 0 0 0 0 0 0 0 0 0 0 0 0 0
2015 0 0 0 0 0 0 0 0 0 0 0 0 0
2016 0 0 0 0 0 0 0 0 0 0 0 0 0
2017 0 0 0 0 0 0 0 0 0 0 0 0 0
2018 0 0 0 0 0 0 0 0 222 94 0 0 316
2019 0 0 0 0 0 0 234 234 237 0 0 0 705
2020 0 0 0 0 0 0 0 468 687 234 113 0 1502 
2021 0 0 0 0 0 0 0 0 0 0 0 0 0
