# USBR Lower Colorado Basin Annual reports: Basic  Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 1197 1040 1021 1370 1401 1526 1725 1739 1499 1430 1084 1133 16165
1965 1121 1087 1151 1200 1452 1607 1885 1833 1556 1192 868 1118 16070
1966 1202 964 1203 1405 1724 1657 1924 1936 1695 1623 1413 1333 18079
1967 1290 1184 1399 1388 1681 1803 1925 2073 1746 1605 1366 1370 18830
1968 1356 1444 1608 1705 1974 2138 2379 2503 2372 1997 1749 1690 22915
1969 1610 1429 1671 1893 2006 2454 2645 2511 2413 1942 1686 1761 24021
1970 1577 1414 1569 1739 1895 1907 3057 1342 1940 1695 1445 1317 20897
1971 1426 1429 1627 1659 1730 1968 2476 2199 1567 1453 1114 1039 19687
1972 1132 1076 1454 1472 1725 1977 2358 2198 2000 1528 1312 1452 19684
1973 1244 1211 1317 1563 1593 2029 2111 2231 2022 1745 1484 1271 19821
1974 1335 1237 1500 1625 1886 2265 1964 2124 1673 1334 1243 1155 19341
1975 888 907 1076 990 811 1002 1179 1162 1006 679 1209 1014 11923
1976 703 750 668 549 707 880 987 913 879 691 584 487 8798
1977 528 481 488 483 554 702 809 889 784 662 471 502 7353
1978 572 488 511 529 536 763 886 907 727 572 594 579 7664
1979 530 478 554 598 610 970 1043 1018 1036 773 606 749 8965
1980 665 645 598 636 612 590 1227 1098 955 830 714 578 9148
1981 562 654 610 475 656 842 861 886 796 660 573 537 8112
1982 551 473 455 383 489 577 619 685 569 483 391 405 6080
1983 524 397 522 673 463 572 665 638 675 558 388 447 6522 
1984 798 697 841 878 1212 1286 1178 1077 1185 985 927 783 11847
1985 893 804 927 945 908 1203 1163 1228 948 859 822 826 11526 
1986 767 697 844 872 1148 1178 1292 1356 1178 967 850 856 12005
1987 770 691 930 893 988 1356 1338 1519 1360 1114 951 810 12720
1988 752 816 752 841 1037 1185 1344 1197 1178 1301 1037 629 12069
1989 567 620 801 930 988 1009 1071 1041 575 639 619 539 9405
1990 499 437 402 448 382 481 553 541 508 492 424 402 5569
1991 624 431 433 217 315 498 552 576 549 580 525 522 5822 
1992 470 436 529 466 550 829 738 706 711 633 644 557 7269
1993 578 458 541 506 468 563 551 668 613 556 520 510 6532 
1994 497 418 504 510 544 621 731 732 653 647 691 575 7123 
1995 503 421 386 440 453 481 509 504 478 484 436 390 5485 
1996 401 345 362 349 461 418 423 428 437 445 410 509 4988
1997 685 530 415 412 521 539 642 681 765 543 468 529 6730 
1998 584 545 501 617 450 439 563 516 506 434 631 553 6339 
1999 421 395 397 371 482 450 568 565 516 456 441 427 5489
2000 388 360 407 409 427 500 541 551 428 557 347 371 5286
2001 378 299 374 314 316 581 480 549 516 577 386 440 5210 
2002 516 543 606 504 422 374 387 419 408 363 390 440 5372 
2003 393 460 537 449 427 383 536 497 436 458 371 385 5332 
2004 435 404 473 538 475 482 654 646 516 411 370 457 5861 
2005 466 414 427 504 454 471 533 556 554 487 407 547 5820 
2006 485 336 349 576 615 537 692 641 578 536 436 403 6184 
2007 417 344 374 396 534 513 525 620 581 540 368 484 5696
2008 403 396 397 486 619 583 547 704 506 508 301 498 5948
2009 585 474 459 470 497 380 413 430 423 439 367 418 5355
2010 311 299 311 378 366 413 530 508 483 448 456 576 5079 
2011 425 407 423 507 462 560 474 500 541 412 435 439 5585 
2012 395 577 518 423 501 525 464 459 467 405 380 441 5555 
2013 307 283 304 315 426 440 649 738 544 493 443 425 5367 
2014 466 417 365 400 505 524 657 682 552 688 502 430 6188 
2015 370 338 337 387 402 468 665 500 478 499 380 429 5253 
2016 313 364 372 383 383 513 625 484 483 355 343 364 4982 
2017 289 289 318 291 361 389 498 466 488 362 327 373 4451 
2018 329 303 339 328 409 501 452 462 496 443 453 362 4877 
2019 332 281 299 343 413 511 502 477 510 539 468 374 5049 
2020 384 316 306 342 351 322 365 441 372 398 373 347 4317 
2021 327 356 321 348 408 407 461 416 410 376 355 389 4574 
