# USBR Lower Colorado Basin Annual reports: Big Bend Water Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1984 0 0 0 0 0 0 0 0 0 12 8 11 31  # Start Diversion Data
1985 26 49 51 73 99 119 112 91 85 78 63 49 895
1986 55 51 69 86 96 123 137 135 115 107 97 83 1154
1987 94 90 104 123 148 165 206 202 166 163 134 123 1718
1988 123 124 155 156 189 228 251 232 238 231 192 179 2298
1989 183 174 207 234 283 303 363 435 394 304 307 252 3439
1990 221 231 277 298 374 412 430 457 320 344 301 256 3919
1991 269 265 260 321 388 407 478 456 373 356 307 247 4127
1992 272 259 283 337 392 421 470 477 435 387 328 280 4341
1993 259 252 255 330 421 408 466 491 423 401 355 326 4387
1994 354 298 374 390 422 465 492 513 452 423 340 310 4833 # End Diversion Data
1995 253 251 252 301 397 495 440 516 453 414 320 275 4367 
1996 265 249 331 356 479 423 489 475 408 348 278 238 4339 
1997 241 250 302 196 376 283 224 100 214 182 144 120 2632 
1998 111 49 113 134 195 215 268 270 195 214 136 135 2035 
1999 119 119 174 154 198 221 218 227 194 209 159 170 2162 
2000 130 110 152 162 209 213 240 230 207 176 158 181 2168 
2001 128 100 109 159 244 257 238 264 275 177 123 102 2176 
2002 90 87 114 136 183 204 251 232 234 289 258 277 2355 
2003 124 83 115 156 202 251 206 222 283 257 110 160 2169 
2004 87 74 103 124 197 219 276 294 272 202 126 118 2092 
2005 108 64 123 181 178 192 210 195 237 210 157 142 1997 
2006 144 133 122 148 202 233 260 276 241 181 162 142 2244 
2007 133 110 138 157 204 223 217 225 198 175 137 110 2027 
2008 94 95 117 166 200 228 237 223 190 177 131 126 1984
2009 132 97 138 169 234 232 255 260 228 202 158 130 2235 
2010 120 111 128 162 192 227 255 254 217 195 165 137 2163 
2011 147 128 142 164 188 229 243 257 212 205 183 145 2243 
2012 156 159 214 194 287 272 263 257 230 206 178 131 2547 
2013 126 117 141 169 218 238 257 241 200 202 138 129 2176 
2014 129 110 143 178 215 241 252 236 208 196 148 103 2159 
2015 64 55 88 94 133 179 228 192 187 196 129 107 1652
2016 82 84 113 145 146 177 194 199 176 196 141 134 1787
2017 105 115 139 159 187 213 240 212 193 193 129 123 2008 
2018 107 89 100 139 164 203 264 205 201 184 134 110 1900 
2019 85 71 104 125 145 171 184 189 161 140 112 84 1571 
2020 89 90 101 117 132 199 231 223 202 169 115 114 1782 
2021 79 102 112 125 145 162 121 159 154 123 110 95 1487 
