# USBR Lower Colorado Basin Annual reports: Big Bend Water Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1984 0 0 0 0 0 0 0 0 0 12 8 11 31
1985 26 49 51 73 99 119 112 91 85 78 63 49 895
1986 55 51 69 86 96 123 137 135 115 107 97 83 1154
1987 94 90 104 123 148 165 206 202 166 163 134 123 1718 
1988 123 124 155 156 189 228 251 232 238 231 192 179 2298 
1989 183 174 207 234 283 303 363 435 394 304 307 252 3439 
1990 221 231 277 298 374 412 430 457 320 344 301 256 3919
1991 269 265 260 321 388 407 478 456 373 356 307 247 4127 
1992 272 259 283 337 392 421 470 477 435 387 328 280 4341 
1993 259 252 255 330 421 408 466 491 423 401 355 326 4387 
1994 354 298 374 390 422 465 492 513 452 423 340 310 4833 
1995 292 316 346 404 481 500 519 628 553 523 424 327 5313 # Real CU data here
1996 340 333 429 444 501 513 567 569 490 439 368 322 5315 
1997 329 338 402 416 486 494 528 409 482 455 363 331 5033  # Real CU data here
1998 322 274 357 387 462 476 538 544 444 463 356 342 4965 
1999 348 339 431 409 459 468 496 523 464 471 388 366 5162  # Real CU data here
2000 359 341 409 425 464 476 527 521 469 448 387 406 5232
2001 372 329 375 426 491 507 527 558 492 445 392 339 5253 
2002 343 331 400 432 456 489 557 552 508 568 510 522 5668 
2003 392 342 394 425 492 531 544 545 502 460 323 365 5315 
2004 305 311 357 383 454 470 579 560 485 410 307 300 4921 
2005 299 252 336 392 404 426 472 455 464 438 368 334 4640 
2006 352 334 350 376 432 464 523 528 465 414 359 323 4917 # error:  diff = 3 got sum = 4920 2006_1
2007 326 305 363 382 429 456 475 474 421 392 340 290 4653 
2008 289 286 336 376 420 434 472 458 397 377 308 280 4433 
2009 296 256 313 344 424 426 480 479 424 384 322 275 4423 
2010 281 268 306 343 377 414 482 470 405 381 325 293 4345 
2011 308 275 323 341 373 408 461 459 389 377 341 284 4339 
2012 307 306 381 372 464 457 476 468 413 388 336 278 4646 
2013 274 263 314 338 384 408 462 433 369 358 277 254 4134 
2014 261 250 306 347 381 410 450 424 372 353 291 233 4078 
2015 231 229 286 293 327 383 454 399 363 371 279 239 3854 
2016 227 239 285 314 321 359 425 417 359 373 292 273 3884 
2017 255 247 300 322 359 393 462 413 377 368 287 260 4043 
2018 249 233 270 310 329 372 473 390 367 354 287 252 3886 
2019 237 217 269 293 318 356 400 378 343 311 272 245 3639 
2020 248 238 226 226 293 361 392 388 354 316 237 229 3508 
2021 200 216 244 260 292 318 302 311 291 260 238 220 3152 
