# USBR Lower Colorado Basin Annual reports: Boulder  Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1964 99 106 142 187 239 298 375 349 275 224 122 97 2513
1965 103 104 130 132 240 295 348 342 267 210 108 78 2355   # diff = 2 expected =  2355  got =  2357
1966 84 87 154 200 287 323 370 359 258 168 129 78 2497
1967 87 110 259 269 417 354 368 321 253 221 137 83 2879
1968 98 95 148 193 256 334 366 322 291 200 137 110 2550
1969 89 79 137 213 275 328 338 356 263 157 117 79 2431
1970 107 113 148 209 298 367 383 338 291 219 167 103 2743
1971 120 120 187 224 250 375 335 381 312 222 144 100 2770
1971 0 0 0 0 0 0 0 0 0 0 25 0 25
1972 88 151 220 226 262 269 310 287 197 169 121 106 2406
1972 38 0 27 24 75 110 189 149 89 75 58 23 857
1973 96 96 117 188 271 282 298 290 295 280 176 115 2504
1973 22 30 55 100 186 277 327 247 141 81 70 65 1601
1974 88 119 156 190 211 273 258 277 230 178 115 97 2192
1974 28 40 89 111 254 293 256 247 231 111 51 42 1753
1975 105 88 116 141 214 253 265 245 186 137 132 101 1983
1975 37 54 66 109 177 269 294 273 199 206 98 65 1847
1976 106 89 105 155 192 236 240 241 160 141 133 102 1900
1976 75 83 124 154 227 232 243 460 152 141 87 75 2053
1977 72 96 126 142 156 202 116 120 98 70 78 78 1356        # diff = -2 expected =  1356  got =  1354
1977 68 105 92 163 158 288 449 373 311 271 162 105 2545
1978 51 32 35 54 81 79 122 86 63 68 44 37 752
1978 64 101 118 202 287 472 436 453 369 302 157 113 3074
1979 28 37 47 53 66 95 97 90 82 52 49 43 739
1979 94 104 152 282 386 479 521 393 421 373 212 165 3582
1980 49 43 55 62 84 88 81 80 47 57 52 58 756
1980 98 100 186 289 384 506 503 532 459 340 241 184 3822
1981 50 57 55 76 80 67 37 38 26 58 51 48 643
1981 166 140 176 340 422 560 640 530 452 323 247 174 4170
1982 48 49 53 51 62 103 101 96 87 10 5 11 676
1982 158 144 208 325 412 455 512 413 361 400 271 201 3860
1983 195 167 283 340 567 746 786 618 584 441 343 255 5325
1984
1985
1986
1987
1988
1989
1990 4 0 0 3 0 0 0 0 0 0 0 0 7   # City of Boulder City starts here
1991 0 0 0 0 0 0 0 0 0 0 0 0 0
1992 0 0 0 0 0 0 0 0 0 0 1 2 3
1993 0 5 10 10 15 17 24 35 18 11 6 6 157
1994 5 4 10 15 15 34 36 43 33 26 17 8 246
1995 0 5 9 23 35 32 39 35 28 24 27 23 280
1996 16 9 14 24 34 36 43 37 24 21 13 8 279
1997 5 5 10 21 25 26 32 21 15 3 6 2 171
1998 6 2 9 7 21 19 20 23 14 1 6 4 132
1999 5 8 11 16 18 22 20 26 21 18 8 6 179
2000 5 4 10 17 22 27 37 37 23 22 12 7 223
2001 7 6 7 31 42 59 79 58 56 39 43 39 466
2002 82 48 80 107 128 127 159 88 81 22 18 18 958
2003 10 0 0 12 0 0 0 0 0 0 0 0 22
