# USBR Lower Colorado Basin Annual reports: bureau of reclamation Consumptive Us
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1985 # No data
1986 1 0 0 1 0 1 1 0 0 0 0 1 5
1987 1 0 0 1 2 2 3 7 6 9 7 8 46
1988 7 1 1 2 2 3 2 2 2 2 2 1 27
1989 0 2 2 2 2 2 2 2 1 2 19
1990 # No data
1991 # No data
1992 # No data
1993 # No data
1994 # No data
1995 # No data
1996 # No data
1997 5 6 7 8 9 10 10 9 9 8 6 3 90
1998 4 3 2 3 3 3 6 9 8 7 7 7 63
1999 8 2 9 8 11 11 7 8 8 6 1 2 81
2000 3 1 2 6 4 6 7 6 3 4 3 1 46
2001 2 2 3 2 4 4 2 5 4 2 3 4 38
2002 3 3 3 3 7 4 7 9 6 5 6 4 61
2003 2 3 3 3 2 3 3 3 3 3 3 3 33
2004 3 3 4 4 4 4 6 7 6 4 3 2 50
2005 3 3 4 3 3 4 4 5 3 1 1 1 35
2006 1 2 2 3 3 4 5 4 3 3 1 1 32
2007 1 0 1 0 1 2 2 2 2 2 2 1 16
2008 2 1 2 1 1 2 2 2 2 2 1 0 18
2009 0 0 0 0 1 2 2 2 1 1 1 0 10
2010 2 0 1 3 2 2 4 2 3 2 1 1 23
2011 1 2 2 2 2 1 0 0 1 1 0 0 12
2012 0 1 1 0 0 0 1 1 1 1 0 1 7
2013 1 1 2 1 1 1 1 1 2 2 1 2 16
2014 1 1 2 2 4 1 2 2 3 1 2 2 23 
2015 1 2 2 1 3 2 2 2 1 1 2 2 21 
2016 2 2 3 3 3 4 5 4 4 3 3 3 39 
2017 3 3 4 4 5 4 4 3 4 3 3 3 43 
2018 2 1 3 3 4 5 4 4 4 3 4 2 39 
2019 2 2 3 3 3 3 3 4 3 3 2 2 33 
2020 2 1 1 1 1 1 2 2 2 1 2 2 18 
2021 1 2 1 2 2 2 2 2 2 2 2 3 23 
