# USBR Lower Colorado Basin Annual reports: bureau of reclamation Diversion
# Boulder Canyon Project, Hoover Dam up to
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
# Might be more data under Hoover Dam before this
1985 10 7 11 13 18 8 8 6 6 7 7 8 109
1986 10 8 8 7 11 10 27 15 13 12 11 11 143
# FIXME cu starts here
1987 10 9 10 11 11 12 12 7 6 9 7 8 112
1988 7 8 7 8 10 10 9 3 4 5 3 3 77
1989 2 1 3 3 3 5 4 7 6 9 2 3 48
1990 1 1 2 4 3 3 2 2 2 2 1 1 24
1991 1 1 2 1 2 3 3 5 8 3 2 1 32
1992 1 1 1 2 3 4 4 4 3 3 2 1 29
1993 0 8 6 7 11 21 21 0 15 12 7 9 117
1994 9 18 5 8 11 4 3 0 4 3 3 3 71
1995 3 2 0 1 4 1 0 0 0 0 0 0 11
1996 11 8 10 10 13 14 14 13 10 9 7 7 126
1997 7 6 7 8 10 11 11 10 10 10 9 7 106
1998 7 5 5 5 6 6 9 11 11 10 9 10 95
# Consumptive use here
1999 10 4 12 12 14 15 11 11 10 8 4 5 116
2000 5 5 6 7 8 10 11 9 6 7 5 4 83
2001 5 5 7 5 6 6 4 7 6 4 5 6 65
2002 5 4 6 6 9 8 9 11 8 7 8 6 88
2003 4 5 5 4 4 5 5 5 5 4 5 5 55
2004 5 4 6 6 6 7 9 10 9 7 6 5 80
2005 5 5 7 6 6 8 8 9 6 4 4 4 72
2006 2 3 4 5 6 7 8 7 6 5 3 3 59
2007 3 3 4 4 5 5 6 6 5 6 5 4 56
2008 4 4 4 4 4 5 5 5 5 5 4 3 52
2009 3 2 4 4 5 6 6 5 4 4 4 3 50
2010 5 3 4 6 5 6 8 7 7 6 4 4 65
2011 4 4 4 5 4 3 3 3 3 3 2 2 40
2012 2 2 3 2 2 2 3 3 3 3 2 2 29
2013 2 2 3 3 3 3 3 3 4 3 3 3 35
2014 2 2 3 4 5 2 4 4 4 3 3 3 39 
2015 2 3 4 3 4 4 4 4 3 3 3 3 40 
2016 3 3 5 5 5 6 7 6 6 5 5 5 61 
2017 5 5 6 6 7 6 6 6 6 5 5 5 68 
2018 4 3 5 5 6 7 6 7 6 5 6 4 64 
2019 4 4 5 5 5 5 6 6 5 5 4 4 58 
2020 4 3 3 2 2 2 3 4 3 2 4 3 35 
2021 2 3 3 3 4 4 4 4 4 3 3 4 41 
