# USBR Lower Colorado Basin Annual reports: Henderson Diversion
Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Total
1972 0 0 0 0 0 0 0 0 0 0 4 0 4
1973 14 5 121 137 258 292 279 201 133 57 46 211 1754
1974 58 7 15 20 41 74 382 404 345 241 180 178 1945
1975 175 161 40 159 262 103 195 181 140 108 25 9 1558
1975 119 106 294 248 253 684 742 710 554 461 374 307 4852
1976 10 11 16 20 33 363 429 407 305 256 44 7 1901
1976 300 294 433 484 745 546 546 498 352 288 374 358 5218
1977 9 11 13 18 260 382 441 387 306 282 77 9 2195
1977 305 355 427 595 363 485 590 529 458 379 391 337 5214  # 379 is a guess
1978 7 8 13 17 263 417 530 435 309 217 85 17 2318
1978 277 268 331 533 527 607 670 641 560 476 412 346 5647
1979 13 12 29 97 331 437 614 502 477 353 56 58 2979
1979 296 322 399 604 540 640 575 481 514 484 487 389 5731
1980 21 28 72 157 305 531 568 682 455 405 259 223 3706
1980 331 344 412 556 526 629 597 564 527 429 385 300 5600
1981 224 199 179 387 522 767 949 720 606 394 295 211 5453
1981 216 266 359 490 479 571 520 528 477 364 397 279 4946
1982 186 154 164 271 460 583 836 761 585 442 296 332 5070
1982 291 291 448 524 608 613 482 606 519 480 347 260 5469
1983 224 171 292 404 664 990 1091 793 787 415 282 537 6650
1983 290 285 365 490 507 501 468 405 473 442 355 72 4654
1984 # Moved to Griffith pumps until 1990
1985
1986
1987
1988
1989 # Well pumping in addition to water from Griffith starts here
1990 195 105 49 63 188 379 342 296 265 274 273 387 2816
1991 263 320 352 482 248 521 559 582 535 323 305 348 4838
1992 760 781 486 314 393 797 1146 1458 928 996 831 720 9610
1993 766 527 579 585 836 738 772 734 716 708 659 662 8282
1994 1049 881 1045 939 1138 853 887 1186 844 1505 608 557 11492
1995 497 368 556 1172 1577 1630 1634 1541 1443 1080 849 654 13001
1996 840 1015 919 932 1536 1789 1957 1828 1645 1436 1069 876 15842
1997 827 542 706 936 1560 1586 1633 1608 1412 1064 579 560 13013
1998 626 375 923 1092 1989 1864 1915 1813 1393 1073 710 510 14283
1999 532 311 575 737 953 1224 1401 1321 1200 1268 1263 917 11702
2000 800 713 714 982 1282 1312 1390 1666 1405 1199 875 729 13067
2001 490 420 792 828 1233 1453 1667 1821 1522 1312 876 375 12789
2002 662 547 967 1414 1612 1694 1744 1620 1217 680 573 476 13206 
2003 393 516 508 643 1329 1583 1368 1219 845 427 474 556 9861 
2004 546 447 781 1316 1692 1620 1562 1436 1600 781 670 712 13163 
2005 420 539 585 1015 1052 833 1564 1399 1541 1591 1188 846 12573 
2006 707 491 886 1401 1680 1471 1973 1753 1579 1220 947 773 14881 
2007 768 485 1027 1514 1975 1485 1854 1343 1210 1039 1056 995 14751 
2008 775 706 1066 1487 2124 1817 2094 1597 1345 1530 1116 870 16527
2009 778 739 912 723 1756 2028 1650 1778 1582 1631 1230 1120 15927
2010 963 510 1140 1566 1261 1212 1476 1326 1201 1190 1211 788 13844 
2011 981 913 1428 1654 1672 1673 1251 1230 1292 1297 1291 1112 15794 
2012 734 714 1577 1556 1661 1933 1178 928 1259 956 1182 1237 14915 
2013 1118 1054 1322 1489 1751 1816 1062 1140 1109 1591 1272 1055 15779 
2014 1103 985 1179 1465 1705 1194 1167 1339 1206 1569 1057 1145 15114 
2015 1085 1127 794 1386 1371 1794 928 959 921 1070 920 1043 13398 
2016 925 918 1091 1151 956 1135 782 1131 1058 990 1288 987 12412 
2017 860 857 1084 970 972 1003 1155 1329 1203 1207 1156 825 12621 
2018 708 516 381 1230 708 427 513 1124 781 1259 1623 1609 10879 
2019 1437 1297 1502 1594 1127 414 952 548 461 930 1411 1441 13114 
2020 1510 1361 1435 1346 1609 1674 1712 1585 1303 1271 873 446 16125 
2021 89 570 907 1202 1023 442 1596 1650 1554 1338 1422 1465 13258 
